調査項目,回答,全体(人),利用していない(人),居宅介護（ホームヘルプ）(人),重度訪問介護(人),同行援護(人),行動援護(人),重度障害者等包括支援(人),短期入所（ショートステイ）(人),療養介護(人),生活介護(人),施設入所支援(人),自立訓練(人),就労移行支援(人),就労継続支援（A型）(人),就労継続支援（B型）(人),就労定着支援(人),自立生活援助(人),共同生活援助（グループホーム）(人),計画相談支援(人),地域相談支援(人),移動支援(人),地域活動支援センター(人),福祉ホーム(人),児童発達支援(人),医療型児童発達支援(人),放課後等デイサービス(人),居宅訪問型児童発達支援(人),保育所等訪問支援(人),訪問看護(人),訪問リハビリテーション(人)
障害福祉サービスの利用状況,,3226,2117,222,29,70,81,29,141,34,85,43,65,42,23,89,19,45,33,51,57,76,81,25,55,11,208,8,5,179,165
障害者の年齢,7-17歳,507,272,21,4,17,17,5,30,6,5,3,4,3,5,1,0,5,2,14,12,16,12,5,47,8,143,7,5,11,11
障害者の年齢,18-19歳,33,19,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,3,1,0,0,1,0,1,3,0,0,3,0
障害者の年齢,20-29歳,273,171,15,1,4,12,2,14,1,9,4,6,15,4,23,6,9,4,7,7,11,8,1,4,0,5,0,0,7,4
障害者の年齢,30-39歳,336,222,22,9,4,11,4,11,1,7,1,11,7,8,24,6,8,10,9,8,13,12,4,2,2,2,0,0,13,9
障害者の年齢,40-49歳,377,260,15,5,9,6,7,3,5,7,6,4,9,4,18,5,2,3,6,3,7,12,3,1,0,0,0,0,19,18
障害者の年齢,50-59歳,588,467,30,2,9,9,3,9,4,13,6,10,6,0,12,2,6,4,6,7,10,9,2,0,0,4,0,0,25,26
障害者の年齢,60-69歳,454,352,27,3,5,4,2,11,3,11,5,6,0,1,8,0,9,2,2,4,8,7,4,0,0,7,0,0,20,23
障害者の年齢,70-120歳,658,354,92,5,22,21,5,62,13,32,18,24,2,1,0,0,6,8,4,15,11,21,5,1,0,44,1,0,81,74
障害者の性別,男性,1698,1133,105,16,38,38,14,68,12,47,18,28,22,10,53,8,26,17,30,23,47,42,16,31,7,119,3,5,71,67
障害者の性別,女性,1404,890,112,12,31,42,13,71,21,35,24,36,19,11,34,11,18,15,21,32,28,39,8,22,4,82,4,0,106,96
障害者の性別,無回答・その他,124,94,5,1,1,1,2,2,1,3,1,1,1,2,2,0,1,1,0,2,1,0,1,2,0,7,1,0,2,2
障害種別,視覚障害,247,171,21,2,10,8,3,8,5,5,4,2,3,1,1,1,6,0,2,8,5,7,5,4,0,8,0,0,8,9
障害種別,聴覚・平衡機能障害,300,220,24,3,5,11,3,20,4,7,4,7,3,2,1,1,5,1,2,9,3,5,4,1,0,10,0,0,9,13
障害種別,音声・言語・そしゃく機能障害,135,62,20,3,7,5,4,19,2,7,10,4,0,1,1,1,4,3,1,7,6,3,1,2,0,7,0,0,17,24
障害種別,肢体不自由（上肢）,387,196,57,9,13,16,6,30,10,35,9,15,4,2,6,0,6,4,6,9,15,8,4,2,1,28,0,1,46,67
障害種別,肢体不自由（下肢）,684,368,100,11,20,22,3,52,13,42,19,26,4,0,8,0,6,7,10,16,28,15,8,7,1,54,3,1,88,99
障害種別,肢体不自由（体幹）,308,136,57,9,13,16,10,41,11,24,15,12,3,1,6,1,6,3,7,13,15,14,6,3,2,22,1,2,45,55
障害種別,肢体不自由（脳原性運動機能障害）,82,30,15,5,2,4,2,11,2,7,3,6,2,0,1,0,5,3,3,10,10,3,3,1,0,5,1,1,10,20
