調査項目,回答,全体(人),身体障害者手帳　1級(人),身体障害者手帳　2級(人),身体障害者手帳　3級(人),身体障害者手帳　4級(人),身体障害者手帳　5級(人),身体障害者手帳　6級(人),療育手帳（愛の手帳）1度（最重度）(人),療育手帳（愛の手帳）2度（重度）(人),療育手帳（愛の手帳）3度（中度）(人),療育手帳（愛の手帳）4度（軽度）(人),精神障害者保健福祉手帳　1級(人),精神障害者保健福祉手帳　2級(人),精神障害者保健福祉手帳　3級(人),持っていない(人)
障害者手帳の有無及び種類,,3226,461,248,225,224,92,85,24,96,79,170,23,216,242,1123
障害者の年齢,7-17歳,507,30,30,13,11,5,12,8,47,41,86,1,10,19,211
障害者の年齢,18-19歳,33,2,1,2,1,0,2,0,3,2,5,0,2,4,10
障害者の年齢,20-29歳,273,30,19,17,10,4,7,5,13,15,35,5,22,25,83
障害者の年齢,30-39歳,336,30,14,17,14,7,4,5,18,11,18,5,41,42,122
障害者の年齢,40-49歳,377,38,28,30,15,8,7,4,9,4,7,3,53,58,123
障害者の年齢,50-59歳,588,94,47,48,47,19,20,2,5,2,10,2,58,69,178
障害者の年齢,60-69歳,454,105,54,30,49,27,16,0,0,3,3,2,26,20,127
障害者の年齢,70-120歳,658,132,55,68,77,22,17,0,1,1,6,5,4,5,269
障害者の性別,男性,1195,260,143,125,126,49,50,13,58,51,97,11,103,147,0
障害者の性別,女性,867,196,101,96,94,40,30,11,37,26,70,11,111,88,0
障害者の性別,無回答・その他,41,5,4,4,4,3,5,0,1,2,3,1,2,7,0
障害種別,視覚障害,247,40,18,14,8,14,8,1,0,1,3,2,2,3,137
障害種別,聴覚・平衡機能障害,300,32,28,30,17,8,19,1,2,1,5,3,2,1,160
障害種別,音声・言語・そしゃく機能障害,135,32,15,8,8,3,3,3,2,2,3,3,1,5,57
障害種別,肢体不自由（上肢）,387,97,70,44,37,18,26,4,4,1,6,3,5,3,84
障害種別,肢体不自由（下肢）,684,128,116,74,90,38,36,5,8,4,4,5,12,6,188
障害種別,肢体不自由（体幹）,308,77,44,30,17,18,10,5,7,3,4,4,3,4,108
障害種別,肢体不自由（脳原性運動機能障害）,82,28,11,4,3,4,2,6,4,3,0,2,1,1,24
障害種別,内部障害,619,247,33,49,69,10,6,1,2,1,6,0,11,9,185
障害種別,知的障害,552,36,14,19,17,5,7,19,91,72,141,8,21,20,127
障害種別,精神障害,824,19,13,22,12,4,2,1,6,5,27,17,198,219,312
