調査項目,回答,全体(人),視覚障害(人),聴覚・平衡機能障害(人),音声・言語・そしゃく機能障害(人),肢体不自由（上肢）(人),肢体不自由（下肢）(人),肢体不自由（体幹）(人),肢体不自由（脳原性運動機能障害）(人),内部障害(人),知的障害(人),精神障害(人),その他(人),肢体不自由(人)
障害種別,,3226,247,300,135,387,684,308,82,619,552,824,68,1033
障害者の年齢,7-17歳,507,38,44,19,19,34,25,7,27,258,115,12,60
障害者の年齢,18-19歳,33,1,3,0,2,1,2,0,3,11,13,3,4
障害者の年齢,20-29歳,273,23,21,14,22,19,22,9,30,101,97,5,42
障害者の年齢,30-39歳,336,23,31,11,27,32,21,7,35,70,149,4,61
障害者の年齢,40-49歳,377,28,26,12,42,50,32,11,74,39,159,8,89
障害者の年齢,50-59歳,588,48,47,19,87,141,63,15,138,31,189,5,199
障害者の年齢,60-69歳,454,36,38,13,81,143,35,11,146,13,67,9,202
障害者の年齢,70-120歳,658,50,90,47,107,264,108,22,166,29,35,22,376
障害者の性別,男性,1698,132,130,57,209,306,157,38,355,332,411,37,501
障害者の性別,女性,1404,97,146,71,169,359,141,41,243,201,385,29,505
障害者の性別,無回答・その他,124,18,24,7,9,19,10,3,21,19,28,2,27
車椅子の必要性,必要とする,396,26,33,49,163,274,142,51,20,39,23,12,396
車椅子の必要性,必要としない,637,20,32,34,224,410,166,31,27,25,32,13,637
障害者手帳の有無,持っている,2103,110,140,78,303,496,200,58,434,425,512,39,724
障害者手帳の有無,持っていない,1123,137,160,57,84,188,108,24,185,127,312,29,309
障害種別,身体障害者手帳　1級,461,40,32,32,97,128,77,28,247,36,19,9,186
障害種別,身体障害者手帳　2級,248,18,28,15,70,116,44,11,33,14,13,4,158
障害種別,身体障害者手帳　3級,225,14,30,8,44,74,30,4,49,19,22,6,118
障害種別,身体障害者手帳　4級,224,8,17,8,37,90,17,3,69,17,12,2,117
障害種別,身体障害者手帳　5級,92,14,8,3,18,38,18,4,10,5,4,1,63
障害種別,身体障害者手帳　6級,85,8,19,3,26,36,10,2,6,7,2,0,52
障害種別,療育手帳（愛の手帳）1度（最重度）,24,1,1,3,4,5,5,6,1,19,1,1,11
障害種別,療育手帳（愛の手帳）2度（重度）,96,0,2,2,4,8,7,4,2,91,6,1,13
障害種別,療育手帳（愛の手帳）3度（中度）,79,1,1,2,1,4,3,3,1,72,5,2,10
障害種別,療育手帳（愛の手帳）4度（軽度）,170,3,5,3,6,4,4,0,6,141,27,4,13
障害種別,精神障害者保健福祉手帳　1級,23,2,3,3,3,5,4,2,0,8,17,1,7
障害種別,精神障害者保健福祉手帳　2級,216,2,2,1,5,12,3,1,11,21,198,3,14
障害種別,精神障害者保健福祉手帳　3級,242,3,1,5,3,6,4,1,9,20,219,7,11
障害種別,障害者手帳は持っていない,1123,137,160,57,84,188,108,24,185,127,312,29,309
受傷の時期,生まれたとき,852,115,107,41,69,91,78,27,87,317,152,22,188
受傷の時期,生まれた後,2374,132,193,94,318,593,230,55,532,235,672,46,61
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,12,10,6,1,2,5,1,11,22,28,2,6
学校の種別,小学校の普通学校（通級による指導あり）,38,4,5,4,1,8,2,0,0,4,14,4,11
学校の種別,小学校の普通学校（特別支援学級）,86,3,3,2,4,3,4,3,3,62,11,3,8
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,2,6,1,4,6,7,1,2,36,1,0,11
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,2,8,1,0,2,0,0,5,14,13,0,2
学校の種別,中学校の普通学校（通級による指導あり）,16,2,0,2,0,1,2,0,1,4,5,0,3
学校の種別,中学校の普通学校（特別支援学級）,39,2,1,2,3,2,2,0,1,29,7,1,5
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,1,3,2,6,6,4,2,0,33,3,2,9
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,3,7,0,0,0,0,0,5,14,25,0,0
学校の種別,高等学校の普通学校（通級による指導あり）,12,2,1,0,0,1,0,0,1,0,7,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,0,2,0,0,3,1,1,1,37,5,1,5
学校の種別,大学・短期大学,37,3,5,2,3,3,4,1,7,5,16,1,7
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,1,0,0,2,1,0,0,0,12,2,1,2
学校の種別,職業能力開発校、障害者職業能力開発校等,7,0,0,0,0,0,0,0,0,6,2,0,0
学校の種別,なし,136,13,5,6,8,9,9,5,12,52,50,2,16
仕事の有無,仕事をしている,1227,112,138,34,129,199,94,24,283,122,349,24,324
仕事の有無,仕事をしていない,1821,128,157,98,248,469,202,57,318,352,412,42,678
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,7,5,3,10,16,12,1,18,78,63,2,31
平日・日中の居場所,自分の家,1843,150,165,78,264,474,204,50,408,167,473,41,702
平日・日中の居場所,職場（一般企業など）,677,60,79,16,58,93,36,6,160,70,194,6,151
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,1,0,1,5,7,7,1,8,59,33,2,16
平日・日中の居場所,学校,362,11,29,14,10,26,17,3,19,200,82,9,43
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,16,17,16,27,37,28,14,10,34,24,6,64
平日・日中の居場所,入所施設,69,7,6,5,14,34,13,7,4,19,10,2,41
平日・日中の居場所,その他,38,2,4,5,9,13,3,1,10,3,8,2,16
放課後の居場所,自分の家,345,25,30,14,11,20,17,5,21,165,95,5,34
放課後の居場所,習いごと（塾や英会話等の学習系）,75,5,14,1,2,8,2,0,10,19,17,1,12
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,3,13,5,0,4,2,0,4,19,11,3,6
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,4,9,2,6,7,6,1,3,5,7,1,17
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,1,4,2,8,18,10,4,5,123,19,4,27
放課後の居場所,学童保育,34,1,4,2,0,8,3,0,1,16,5,1,11
放課後の居場所,広場や公園,35,0,5,2,0,7,4,1,2,12,4,1,12
放課後の居場所,学校（校庭や体育館）,35,1,4,0,0,1,1,0,2,16,11,1,2
放課後の居場所,児童館や図書館などの公共施設,16,0,2,0,0,0,1,1,1,8,5,0,2
放課後の居場所,その他,8,0,0,1,0,0,0,0,1,1,6,0,0
障害福祉サービスの利用状況,利用していない,2117,171,220,62,196,368,136,30,508,239,589,36,475
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,21,24,20,57,100,57,15,27,30,40,9,143
障害福祉サービスの利用状況,重度訪問介護,29,2,3,3,9,11,9,5,2,7,2,0,20
障害福祉サービスの利用状況,同行援護,70,10,5,7,13,20,13,2,5,18,9,3,28
障害福祉サービスの利用状況,行動援護,81,8,11,5,16,22,16,4,10,27,9,4,37
障害福祉サービスの利用状況,重度障害者等包括支援,29,3,3,4,6,3,10,2,3,5,1,0,16
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,8,20,19,30,52,41,11,9,51,20,4,86
障害福祉サービスの利用状況,療養介護,34,5,4,2,10,13,11,2,4,1,6,1,24
障害福祉サービスの利用状況,生活介護,85,5,7,7,35,42,24,7,8,20,9,2,62
障害福祉サービスの利用状況,施設入所支援,43,4,4,10,9,19,15,3,2,9,6,0,28
障害福祉サービスの利用状況,自立訓練,65,2,7,4,15,26,12,6,7,12,10,3,37
障害福祉サービスの利用状況,就労移行支援,42,3,3,0,4,4,3,2,3,8,26,1,6
障害福祉サービスの利用状況,就労継続支援（A型）,23,1,2,1,2,0,1,0,2,8,10,0,3
障害福祉サービスの利用状況,就労継続支援（B型）,89,1,1,1,6,8,6,1,10,41,35,1,13
障害福祉サービスの利用状況,就労定着支援,19,1,1,1,0,0,1,0,0,6,12,0,1
障害福祉サービスの利用状況,自立生活援助,45,6,5,4,6,6,6,5,7,9,21,1,13
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,0,1,3,4,7,3,3,4,17,8,1,11
障害福祉サービスの利用状況,計画相談支援,51,2,2,1,6,10,7,3,4,22,16,3,14
障害福祉サービスの利用状況,地域相談支援,57,8,9,7,9,16,13,10,7,14,9,3,25
障害福祉サービスの利用状況,移動支援,76,5,3,6,15,28,15,10,14,31,9,4,34
障害福祉サービスの利用状況,地域活動支援センター,81,7,5,3,8,15,14,3,9,15,29,4,30
障害福祉サービスの利用状況,福祉ホーム,25,5,4,1,4,8,6,3,2,3,1,0,17
障害福祉サービスの利用状況,児童発達支援,55,4,1,2,2,7,3,1,2,37,9,1,11
障害福祉サービスの利用状況,医療型児童発達支援,11,0,0,0,1,1,2,0,0,5,2,1,4
障害福祉サービスの利用状況,放課後等デイサービス,208,8,10,7,28,54,22,5,10,126,29,5,70
