実数・増減率,年次コード,年次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／食料／穀類（円）,生計支出／消費支出／食料／魚介類（円）,生計支出／消費支出／食料／肉類（円）,生計支出／消費支出／食料／乳卵類（円）,生計支出／消費支出／食料／野菜・海藻（円）,生計支出／消費支出／食料／果物（円）,生計支出／消費支出／食料／油脂・調味料（円）,生計支出／消費支出／食料／菓子類（円）,生計支出／消費支出／食料／調理食品（円）,生計支出／消費支出／食料／飲料（円）,生計支出／消費支出／食料／酒類（円）,生計支出／消費支出／食料／外食（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／住居／家賃地代（円）,生計支出／消費支出／住居／設備修繕・維持（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／光熱・水道／電気代（円）,生計支出／消費支出／光熱・水道／ガス代（円）,生計支出／消費支出／光熱・水道／他の光熱（円）,生計支出／消費支出／光熱・水道／上下水道料（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／家具・家事用品／家庭用耐久財（円）,生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）,生計支出／消費支出／家具・家事用品／寝具類（円）,生計支出／消費支出／家具・家事用品／家事雑貨（円）,生計支出／消費支出／家具・家事用品／家事用消耗品（円）,生計支出／消費支出／家具・家事用品／家事サービス（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／被服及び履物／和服（円）,生計支出／消費支出／被服及び履物／洋服（円）,生計支出／消費支出／被服及び履物／シャツ・セーター類（円）,生計支出／消費支出／被服及び履物／下着類（円）,生計支出／消費支出／被服及び履物／生地・糸類（円）,生計支出／消費支出／被服及び履物／他の被服（円）,生計支出／消費支出／被服及び履物／履物類（円）,生計支出／消費支出／被服及び履物／被服関連サービス（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／保健医療／医薬品（円）,生計支出／消費支出／保健医療／健康保持用摂取品（円）,生計支出／消費支出／保健医療／保健医療用品・器具（円）,生計支出／消費支出／保健医療／保健医療サービス（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／交通・通信／交通（円）,生計支出／消費支出／交通・通信／自動車等関係費（円）,生計支出／消費支出／交通・通信／通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教育／授業料等（円）,生計支出／消費支出／教育／教科書・学習参考教材（円）,生計支出／消費支出／教育／補習教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）,生計支出／消費支出／教養娯楽／教養娯楽用品（円）,生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）,生計支出／消費支出／教養娯楽／教養娯楽サービス（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／消費支出／その他の消費支出／こづかい（円）,生計支出／消費支出／その他の消費支出／交際費（円）,生計支出／消費支出／その他の消費支出／仕送り金（円）,生計支出／土地家屋購入（円）,エンゲル係数（％）,選択的支出係数（％）,公共的料金負担率（％）,公共的料金負担率／公共料金等負担率（％）,公共的料金負担率／準公共料金等負担率（％）
Jissu,nen,実数_平成29年,728,2.94,1.28,60.2,330949,327903,85446,6465,6535,7806,4286,10438,3448,3694,5867,11373,4610,3590,17335,23960,14454,9506,21024,9585,5849,319,5271,12153,4099,1084,880,2408,2820,862,14135,130,5993,2747,1105,160,1025,1909,1066,15518,2647,1495,2464,8913,36746,8814,15192,12741,19626,15285,227,4113,37292,2452,7268,3978,23595,62002,25956,9951,22802,3294,3046,26.1,46.1,26.9,17,9.9
Jissu,nen,実数_平成30年,717,2.92,1.34,59.7,323328,322314,86107,6645,6299,7805,4127,10552,3437,3638,6123,11652,4895,3221,17714,23945,14782,9163,21383,10121,5765,308,5190,10722,3431,576,784,2304,2804,823,13654,120,5923,2544,1111,126,971,1847,1012,16097,2621,1300,2492,9684,35656,9201,13620,12835,20417,15467,186,4763,36071,2214,6958,3810,23089,58264,25614,9108,21541,2001,1013,26.7,45.6,27.6,18.2,9.4
Jissu,tuki,実数_平成30年 1月,705,2.91,1.35,60.6,315704,312852,82621,6192,6041,7933,4220,10583,3342,3549,5986,11226,4402,3093,16054,20844,15337,5507,26965,12237,8428,913,5387,10248,3242,544,935,2313,2465,749,15042,117,7361,2334,1154,230,1304,1932,610,13103,2724,1133,2282,6964,31895,7519,10685,13691,12676,7613,49,5014,34229,1371,6511,3795,22552,65229,23088,8439,32085,1617,2852,26.4,42.7,26.9,18.3,8.6
Jissu,tuki,実数_平成30年 2月,713,2.9,1.33,60.3,286739,286501,79361,6193,6080,7456,4086,10305,3567,3493,6020,11198,3912,2678,14373,14570,11555,3014,29088,13452,9174,796,5666,8299,2057,436,655,1856,2455,841,10021,72,4464,1691,816,120,701,1421,736,16361,2651,1719,2959,9032,35858,6044,17760,12053,10035,6824,108,3102,32037,1177,6328,3563,20969,50871,23418,9163,16116,2175,238,27.7,42.6,28.4,20.6,7.8
Jissu,tuki,実数_平成30年 3月,723,2.88,1.34,60,335044,335044,85682,6804,6350,7797,4139,10487,3502,3551,6670,11496,4412,3259,17215,29391,12751,16640,26760,12491,8588,401,5282,11062,3601,537,738,2370,2636,1180,14672,167,7583,2342,997,116,795,1523,1149,18899,3433,1247,2214,12004,31307,7876,11597,11834,19480,14018,587,4874,35904,2650,8432,4170,20653,61888,25701,8784,24521,2882,-,25.6,42.6,26.7,18.2,8.5
Jissu,tuki,実数_平成30年 4月,718,2.9,1.33,60.1,368996,368996,83208,6767,6006,7490,4172,10124,3191,3499,5886,10712,4570,3229,17563,22872,11995,10877,22664,10644,7415,65,4540,10450,2844,751,763,2556,2765,770,15518,303,6528,2973,1078,103,970,1879,1685,19581,2590,1578,2862,12552,39180,11786,15344,12049,55700,51477,660,3563,38118,2719,8386,3511,23502,61704,30460,8141,19667,3436,-,22.5,51.8,34.9,17,17.9
Jissu,tuki,実数_平成30年 5月,718,2.94,1.34,60.2,306021,306021,86595,6912,6236,7868,4244,10463,3086,3645,6303,11378,5165,3262,18032,19370,14120,5250,20029,8582,5863,30,5553,11506,3490,736,956,2610,3029,685,13823,-,5000,3138,1166,89,992,2065,1373,13787,2464,1546,1656,8122,32562,8183,11186,13193,21876,17924,75,3876,35428,1361,7407,3549,23111,51046,24348,7757,16187,2754,-,28.3,47.3,28.9,18.9,10
Jissu,tuki,実数_平成30年 6月,717,2.98,1.36,59.3,285342,285342,83744,6710,5790,7733,4055,10355,3283,3652,5681,10710,5056,3400,17320,20735,14802,5933,17560,7596,4840,23,5101,9089,2242,568,544,1900,3096,737,12340,249,4507,2719,1012,137,800,1907,1008,16753,2403,1453,2476,10421,32129,7421,13087,11621,11158,7608,46,3504,29273,1707,6141,3449,17976,52561,24745,8898,17776,1141,-,29.3,43.4,27.2,19.4,7.8
Jissu,tuki,実数_平成30年 7月,723,2.95,1.36,59.2,341823,336710,87851,6467,5382,7462,4190,10775,3642,3457,6097,11853,6100,3459,18965,28299,16147,12152,17737,8122,4318,16,5280,13404,5831,512,845,2281,3026,909,14072,105,5070,3313,1391,117,801,2102,1173,17777,2510,1459,3381,10428,46160,8462,24649,13049,15340,8961,74,6304,36409,2170,6412,3728,24098,59663,26138,8563,23459,1503,5113,26.1,46,23.9,16.9,7
Jissu,tuki,実数_平成30年 8月,723,2.93,1.35,59.1,319574,315620,87646,6484,5378,7434,4191,10687,3572,3577,6176,11408,5791,3458,19491,25852,17772,8081,19201,10609,3349,54,5189,11407,4494,489,409,2147,2898,969,9795,50,3587,2193,1055,107,571,1530,703,13472,2557,1192,2072,7651,36173,13135,10130,12908,11304,6209,141,4954,43945,2483,6249,3752,31461,56825,25109,9742,19006,2969,3954,27.8,45.1,26,18.8,7.2
Jissu,tuki,実数_平成30年 9月,715,2.96,1.37,59.1,312955,312955,85062,6552,6026,7737,4108,10809,3529,3650,5740,11149,4929,2925,17909,23585,15691,7894,19403,11293,3150,114,4846,9921,3381,260,758,2281,2709,533,11334,11,4959,1773,997,120,698,1726,1049,14762,2273,962,2255,9272,35505,11369,11996,12141,25511,20915,168,4428,35678,3493,6115,3843,22227,52194,24833,8830,17000,1532,-,27.2,46.5,29.3,18.7,10.6
Jissu,tuki,実数_平成30年10月,725,2.92,1.36,59.4,327280,327280,87394,6695,6168,7722,4081,11010,3519,3629,5810,12094,5011,3105,18549,26716,18095,8621,19059,9650,3745,138,5527,9162,2058,531,770,2128,2803,872,14523,20,6605,2513,1157,123,965,2209,931,14791,2400,1202,2275,8914,35282,11365,10876,13041,29959,24233,126,5600,33678,1089,5891,4007,22690,56715,27795,10183,17270,1467,-,26.7,47.5,30.8,18.4,12.4
Jissu,tuki,実数_平成30年11月,708,2.89,1.31,59.2,314301,314301,82861,6264,5783,7558,3861,9780,3134,3607,5735,11544,4480,2873,18242,24925,14328,10597,17503,8222,4265,370,4646,10756,3869,465,728,2183,2652,861,16179,31,7662,3067,1080,147,1306,2007,878,17709,2485,917,3174,11133,34464,8646,11568,14250,16698,10095,101,6502,33500,2312,5737,4147,21304,59705,23897,8864,25543,1401,-,26.4,46.9,25.4,17.8,7.6
Jissu,tuki,実数_平成30年12月,716,2.87,1.29,60.2,366151,366151,101260,7701,10344,9475,4177,11240,3876,4344,7367,15061,4911,3905,18858,30179,14787,15392,20625,8548,6041,776,5260,13362,4059,1080,1307,3022,3118,775,16523,315,7748,2477,1427,102,1744,1857,852,16165,2956,1197,2299,9714,37357,8605,14556,14195,15261,9727,100,5433,44654,4032,9883,4209,26530,70765,27840,11930,29862,1132,-,27.7,44.1,22.7,16.2,6.6
meimoku,nen,対前年（同月）名目増加率_平成19年,-,-,-,-,10.2,-0.6,-1.8,-2.5,-1.6,0.6,-3.9,-2.9,1.7,1.7,-0.1,-5.5,-0.8,-0.9,-1.5,-4.3,-3.7,-6.2,-3,-1.6,-4.5,-22.1,-1.7,-7.6,-15.7,-18.5,-12.5,4.2,3.6,-14.6,0.9,-19.7,0.8,2.5,0.1,-14.1,0.7,7.4,-1.8,5.1,-7.4,-9.4,-1.8,11.1,-2,-6.8,1.1,-1.4,2.8,2.7,8.3,2.8,1.3,8.4,2.5,-6.9,1.6,1.5,7,-7.4,6.8,-35.2,407.3,,,,,
meimoku,nen,対前年（同月）名目増加率_平成20年,-,-,-,-,-11.8,-1.9,1.5,3.1,-1.8,7.8,0.8,3.8,1.5,5.4,3.6,-0.3,-4.1,-4,1,-10.2,-14,0.6,6.2,8.7,7.7,6.4,0.2,0.9,7.9,-13,-9.2,2,1.6,-7.5,-7.3,-32.2,-7.9,-6.7,-7.2,-19.6,-3.9,-10.1,3.2,-6.7,6.1,8.3,-11,-9.2,0.2,-0.7,1.3,-0.4,4.3,4.6,-9.7,4.2,0.5,-14.3,-0.8,1.6,3.2,-7.1,-8.2,-10.7,-7.8,47.7,-83.4,,,,,
meimoku,nen,対前年（同月）名目増加率_平成21年,-,-,-,-,3.4,3.7,3.1,4.1,-0.2,-1.7,4.8,-0.8,1.4,3.1,4,4.1,6.4,8,6,12.3,5.7,28.5,-2.2,-4.3,1.3,-25.9,-0.9,8.9,9.7,26.7,15,1.8,3.3,23.6,5.8,85.3,3.6,4.2,-1.7,-1.7,11.3,11.1,3.6,6.5,24.7,-1.2,20.2,0.7,5,1.7,5,7.8,-3,-4.7,-0.4,2.1,2.4,20.5,0.4,2,0.6,3.6,6.9,-4,3.7,13.9,-10.6,,,,,
meimoku,nen,対前年（同月）名目増加率_平成22年,-,-,-,-,-0.4,-0.2,-2.6,-5.2,-6.2,-1.1,-1.1,-0.1,-1.6,-3.7,0.7,0.5,-1.4,-8.4,-4.1,-1.5,-3.7,2.8,2.5,6.5,-4,22.3,2.8,0.1,8.7,-26.9,-34,0.8,-0.1,25.3,-1.2,-42.1,3.1,-1.8,-0.3,-15.4,-6.3,-0.5,-3.9,-2.4,12.1,20.3,-10.5,-6.1,1.9,3.7,1.7,0.9,2.3,-1.3,45.6,10.3,6.1,34.1,0.8,0.2,4.1,-2.7,4.5,-1.9,-9,-10.3,-10.4,,,,,
meimoku,nen,対前年（同月）名目増加率_平成23年,-,-,-,-,-2.8,-5.2,-1.1,-1.1,-2.3,-0.9,-3.2,-2,-0.7,2.6,-1.9,0.3,7.6,-3.5,-2.6,-6.4,1.4,-21.4,-5.2,-7.1,-4.3,5,-3.7,-3.7,-10.1,15.8,43.6,-5.3,1.8,-26,-11,-20.5,-14.8,-8.7,-0.6,28.7,-4.1,-9.2,-17.6,2.8,-1.4,-8.6,-4.3,7.7,-6.7,-12.2,-5.2,-4.2,2.2,7.1,-30.3,-8.3,-14.4,-42.3,-7,-8.2,-11.6,-5.7,-7.2,-10.9,1.2,-25,129.3,,,,,
meimoku,nen,対前年（同月）名目増加率_平成24年,-,-,-,-,0.2,2.4,1.3,-0.7,-1.6,-2.2,3.7,-1.1,0.7,-1.4,-2.5,4.7,1.7,8.4,4.2,8.1,-4.7,39.6,8.9,10.9,13.8,15.4,-0.7,3.5,-4.9,47,5.5,5.1,1.4,-3.4,5.9,-4,4.1,8.6,5.1,-14.1,6.1,6.7,13,0.3,4.2,12,6.3,-3.7,5.2,11.4,6.1,-0.4,-2.8,-2.7,1.8,-3.3,-0.2,-15.9,2.3,-5.8,2.4,0.6,6.9,0.9,-4.3,-16.7,-49.3,,,,,
meimoku,nen,対前年（同月）名目増加率_平成25年,-,-,-,-,4.9,3.6,1.7,0.5,-2.2,5.2,0.6,0.7,0.5,0.7,5.8,-1.2,4.8,-2.1,3.9,15.5,14.4,17.3,2.1,8.7,-4.1,-15.5,-0.9,1.5,10.1,-32,28.3,-6.1,3.9,2.9,3.4,1.8,4.3,2.7,1.1,13.9,-0.9,8.6,-2.2,0.7,1,-5.9,5.2,0.4,7,2.2,13.3,2.9,-9.1,-7.2,-8.6,-14.9,4.2,-7,1.3,0.8,7,4.3,7,-11,3.3,81.7,69.1,,,,,
meimoku,nen,対前年（同月）名目増加率_平成26年,-,-,-,-,-5.2,-2.8,1.1,-2,3.7,7.7,6.2,3.2,5.8,4.7,1,4.1,-3.9,2.9,-5.7,-13.8,-16.3,-9.8,1.2,0.7,4,18.3,-2.4,5.8,10,1.9,-10,4.3,4.8,19.9,-0.3,77.6,-1.9,-1.5,-5.2,-21.1,5.2,3.8,-4.2,-2.2,5,2.3,-7.9,-3.3,-2.7,-7.2,-1.6,-0.7,-12.6,-15.9,-12.2,-1.7,0.5,-4.6,7.9,-0.9,-0.8,-5.7,-3.4,-3.9,-5.9,-30.1,-71.3,,,,,
meimoku,nen,対前年（同月）名目増加率_平成27年,-,-,-,-,1.2,0.9,3.2,-0.4,3.2,2.4,6.6,5.4,6.9,1,2.3,2.5,-0.6,-0.7,5.1,-1.3,7.7,-14.9,-2.4,-3.6,-1.2,-38.6,1.5,-6.4,-11.2,9.2,-16.2,-4.1,-2.1,-7.9,-0.1,-22.8,8.3,-2.1,-2.9,0.7,-7.9,-6.3,-10.2,-0.5,-4.1,-1.7,-5,2,-3.5,0.7,-13,6.3,24.1,31.7,12.9,2.6,-1.9,-13,-7,-2.3,0.7,0.5,-1.7,-7.3,0.3,62.3,35.6,,,,,
meimoku,nen,対前年（同月）名目増加率_平成28年,-,-,-,-,-2.9,-1.9,1,-1,-0.3,0.8,2.2,-1.9,-0.8,0.7,-0.5,8.7,4.9,-3.9,0.3,-1.7,-5.5,5.6,-11.8,-12.8,-18,-16.7,-1,0.6,0.1,5.4,1,-4.2,6.1,-6.4,-4.8,-19.7,-8.3,-3.5,3.5,-17.5,-10.5,-2,11.3,-1.3,-1.7,0.6,9.7,-4.2,-5.5,0.4,-14.4,0.4,5,2.4,-22.1,16.6,-3.2,-3.1,1.3,-6,-4,-1.4,1.5,6.1,-7.6,-3.1,-75.4,,,,,
meimoku,nen,対前年（同月）名目増加率_平成29年,-,-,-,-,2.9,2.3,1,0.5,-3.6,3.9,-0.3,-0.6,-1.1,3.2,1.1,2,0,8.1,1.2,-3,-7.6,4.8,2.2,1.3,1.9,36.3,2.7,8.3,13.2,15.6,7.1,7.9,1,5.6,-2.5,-30.5,-0.4,-2.7,-6.7,35.6,0.7,-3.6,-8.6,3.1,3,14.9,0,2.3,9.9,0.1,26.4,1,-1.6,1,15.2,-11,2.6,23.3,5.4,-1.6,0.7,3,-0.3,-2.4,11.8,-8.3,170,,,,,
meimoku,nen,対前年（同月）名目増加率_平成30年,-,-,-,-,-2.3,-1.7,0.8,2.8,-3.6,0,-3.7,1.1,-0.3,-1.5,4.4,2.5,6.2,-10.3,2.2,-0.1,2.3,-3.6,1.7,5.6,-1.4,-3.4,-1.5,-11.8,-16.3,-46.9,-10.9,-4.3,-0.6,-4.5,-3.4,-7.7,-1.2,-7.4,0.5,-21.3,-5.3,-3.2,-5.1,3.7,-1,-13,1.1,8.7,-3,4.4,-10.3,0.7,4,1.2,-18.1,15.8,-3.3,-9.7,-4.3,-4.2,-2.1,-6,-1.3,-8.5,-5.5,-39.3,-66.7,,,,,
meimoku,tuki,対前年（同月）名目増加率_平成30年 1月,-,-,-,-,-6.1,-7,2.2,4.4,-4.5,5,2.2,7.2,-6.7,0.1,1.6,6.1,2.7,10.7,-2,-1.5,-7.9,22.6,9.8,15.9,8,4.3,1.3,-45.3,-49.6,-90.3,-7.6,-13.4,2.3,22,-9.4,200,-3.7,-17.7,-5.6,49.4,2.4,-11.7,-50.8,-4.2,12.7,-11.2,-23,-0.9,-12.4,-5.3,-30.5,4.6,-16.1,-21.1,-63.4,-5.8,-3.8,-27.8,-10.5,-5.7,0.7,-11.4,-24.9,-19.6,6.4,-28.3,...,,,,,
meimoku,tuki,対前年（同月）名目増加率_平成30年 2月,-,-,-,-,-7.1,-7.2,2,1.5,0.1,3.9,-1.9,5.8,-2,2.6,-0.6,10.5,1.5,-0.4,-2.7,-38.8,-26.8,-62.4,9.3,14.9,10.2,20.6,-4.4,-13.1,-38.3,-15.7,-1.5,-9.2,2.9,38.8,-12.4,-87.4,-6.7,-20.5,19,13.2,-26.6,-6.5,7.8,-0.7,5.2,22.3,9.3,-8.3,6.6,4.8,11,1.6,-62.3,-68.3,10.2,-37.8,10.4,-49,28.7,-8.1,16.9,-5.5,-16,-2.1,5.8,63.5,...,,,,,
meimoku,tuki,対前年（同月）名目増加率_平成30年 3月,-,-,-,-,0.7,0.7,0.8,3.3,-5,3.1,-2.6,2,3.6,-4.4,9.1,4.3,0.7,1.4,-3.5,28.1,-13.6,103,7.9,11.9,4.9,-31.2,8.2,8.4,5.4,47.9,-22.1,-4,3.6,155.4,-11.2,...,-11,-12.5,21.6,-33.3,-10.7,-38,15.6,18.3,23.3,-27.2,-19,37.3,-14.9,-15.5,-20.1,-8.8,31,67.9,-41.8,-11.6,-1.7,-43.9,21.4,9.6,-2,-10.3,-5.6,-9.9,-7.9,-46.4,-,,,,,
meimoku,tuki,対前年（同月）名目増加率_平成30年 4月,-,-,-,-,-8.1,1.1,-2.5,-1.5,-9.1,-3.9,-3.1,-3,-2.5,-5.7,0,-0.1,0.5,-13.4,0.3,3.8,-16.7,42.4,-3.8,1.7,-4.1,-66.5,-12,1.3,-11.2,29.9,22.5,3.9,0.8,8.1,4.9,...,13.8,-1.7,-4.9,-23.1,-8.7,-15.6,14.3,26.7,4.8,-6.4,-6.2,52.3,18.1,-2.1,60.8,3.9,-8.9,-8.4,6.1,-16.9,-0.8,35.2,18,-8.7,-7.7,1.8,21.6,-15.7,-3.2,-38.5,-100,,,,,
