項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7638,-,-,3979,-,-
世帯人員(人),2.98,-,-,3.32,-,-
有業人員(人),1.35,-,-,1.78,-,-
世帯主の配偶者のうち女の有業率（％）,38.6,-,-,51.7,-,-
世帯主の年齢 (歳),59.3,-,-,49.6,-,-
実収入,-,-,-,558718,4.7,3.5
経常収入,-,-,-,549950,4.6,3.4
勤め先収入,-,-,-,512604,3.8,2.6
世帯主収入,-,-,-,426035,1.6,0.4
世帯主収入うち男,-,-,-,406205,1.3,0.1
定期収入,-,-,-,348402,-0.2,-1.4
臨時収入,-,-,-,3615,6.8,5.5
賞与,-,-,-,74018,10.8,9.5
世帯主の配偶者の収入,-,-,-,72948,11.7,10.4
世帯主の配偶者の収入うち女,-,-,-,72128,12.1,10.8
他の世帯員収入,-,-,-,13621,50.2,48.4
事業・内職収入,-,-,-,3663,40,38.3
農林漁業収入,,,,60,-25.9,-26.8
他の経常収入,-,-,-,33623,14.6,13.2
特別収入,-,-,-,8768,10.5,9.2
実収入以外の受取(繰入金を除く),-,-,-,420330,2.7,-
預貯金引出,-,-,-,347768,0.9,-
実支出,-,-,-,418907,1.6,-
消費支出,287315,1.5,0.3,315314,0.7,-0.5
食料,73977,1.5,0.1,76090,2,0.6
穀類,6266,2,0.3,6459,2.5,0.8
米,1948,3.3,-1.3,1861,3.7,-1
パン,2511,2.2,1.5,2721,3.2,2.5
麺類,1374,1.9,2.4,1449,2.5,3
他の穀類,432,-4.8,-5.3,428,-6.8,-7.3
魚介類,5870,-3.4,-6.4,4795,-2,-5
生鮮魚介,3357,-3.9,-6.3,2744,-2.3,-4.8
塩干魚介,1052,-4.5,-10.4,838,-4.1,-10
魚肉練製品,647,-4.3,-3.5,541,-2.2,-1.4
他の魚介加工品,813,0.9,-2.9,672,2.3,-1.5
肉類,7408,0.7,0.3,7761,1.1,0.7
生鮮肉,6038,1.1,0,6260,1.2,0.1
加工肉,1369,-0.9,1.5,1501,0.9,3.4
乳卵類,3785,-0.2,-2.3,3725,0.7,-1.4
牛乳,1244,-2.3,-1.6,1159,-1.7,-1
乳製品,1762,1.1,-3.1,1805,3.2,-1.1
卵,779,0.1,-2.2,761,-1.2,-3.5
野菜・海藻,8894,1.5,-3,7970,1.7,-2.8
生鮮野菜,5985,1.7,-3.1,5458,1.4,-3.4
乾物・海藻,719,2.6,-2.7,617,3.7,-1.7
大豆加工品,1108,0.6,-0.5,988,1.2,0.1
他の野菜・海藻加工品,1083,0.7,-4.2,907,3,-2
果物,2826,0.9,-2,2203,2.2,-0.8
生鮮果物,2569,0.4,-2.6,1977,1.6,-1.5
果物加工品,257,5.8,3.2,226,8.1,5.5
