項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,717,-,-,99,-,103,-,105,-,104,-,105,-,102,-,100,-
0,0,世帯人員,2.92,-,-,2.55,-,2.74,-,2.86,-,2.96,-,3.03,-,3.09,-,3.21,-
0,0,有業人員,1.34,-,-,1.13,-,1.21,-,1.25,-,1.35,-,1.45,-,1.49,-,1.51,-
0,0,世帯主平均年齢,59.7,-,-,64.2,-,62.7,-,60.9,-,59.2,-,57.6,-,56.6,-,57,-
0,0,消費支出,322314,-,-1.7,102359,-,166794,-,217082,-,265966,-,324250,-,411357,-,768394,-
0,0,公共的料金,88980,27.6,0.9,29550,28.9,51222,30.7,61101,28.1,74215,27.9,88968,27.4,107241,26.1,210585,27.4
1,0,公共料金等,58587,18.2,5,24179,23.6,39163,23.5,46849,21.6,54573,20.5,63254,19.5,76003,18.5,106113,13.8
1,1,米,1945,0.6,3.7,1664,1.6,1885,1.1,1830,0.8,1906,0.7,2117,0.7,2050,0.5,2171,0.3
1,1,食塩,35,0,-14.6,26,0,33,0,37,0,32,0,35,0,41,0,43,0
1,1,学校給食,843,0.3,11.8,55,0.1,451,0.3,705,0.3,890,0.3,1213,0.4,1299,0.3,1282,0.2
1,1,公営家賃,2047,0.6,198.8,1243,1.2,1690,1,1082,0.5,1545,0.6,2092,0.6,3664,0.9,3038,0.4
1,1,電気代,10121,3.1,5.6,6310,6.2,8705,5.2,10233,4.7,10766,4,10598,3.3,11772,2.9,12445,1.6
1,1,都市ガス,5404,1.7,-1.2,3349,3.3,4653,2.8,5436,2.5,5746,2.2,5798,1.8,6206,1.5,6612,0.9
1,1,上下水道料,5190,1.6,-1.5,2894,2.8,4448,2.7,5001,2.3,5795,2.2,5733,1.8,6235,1.5,6229,0.8
1,1,医科診療代,3607,1.1,6.1,1488,1.5,2307,1.4,3054,1.4,3909,1.5,4172,1.3,4525,1.1,5795,0.8
1,1,歯科診療代,2551,0.8,-1.5,384,0.4,668,0.4,749,0.3,1293,0.5,1383,0.4,2820,0.7,10578,1.4
1,1,出産入院料,59,0,-61.7,-,-,-,-,-,-,239,0.1,176,0.1,-,-,-,-
1,1,他の入院料,1853,0.6,51.3,78,0.1,145,0.1,554,0.3,435,0.2,1591,0.5,1380,0.3,8772,1.1
1,1,鉄道運賃,3315,1,-2.2,506,0.5,1135,0.7,1760,0.8,2974,1.1,3577,1.1,5097,1.2,8157,1.1
1,1,鉄道通学定期代,597,0.2,-3.4,19,0,68,0,219,0.1,283,0.1,407,0.1,1102,0.3,2092,0.3
1,1,鉄道通勤定期代,2195,0.7,17.7,125,0.1,433,0.3,817,0.4,1204,0.5,2299,0.7,4544,1.1,5961,0.8
1,1,バス代,400,0.1,7.8,70,0.1,154,0.1,324,0.1,437,0.2,488,0.2,613,0.1,712,0.1
1,1,バス通学定期代,72,0,-40,4,0,15,0,12,0,37,0,43,0,164,0,226,0
1,1,バス通勤定期代,72,0,-30.8,14,0,12,0,24,0,56,0,110,0,122,0,159,0
1,1,タクシー代,756,0.2,-1.2,243,0.2,362,0.2,474,0.2,455,0.2,820,0.3,1130,0.3,1807,0.2
1,1,航空運賃,1019,0.3,15,43,0,123,0.1,172,0.1,268,0.1,359,0.1,1400,0.3,4761,0.6
1,1,郵便料,444,0.1,-4.9,103,0.1,274,0.2,266,0.1,432,0.2,479,0.1,575,0.1,973,0.1
1,1,固定電話通信料,1671,0.5,-12.5,1144,1.1,1659,1,1592,0.7,1809,0.7,1809,0.6,1737,0.4,1947,0.3
1,1,移動電話通信料,9691,3,1.7,2743,2.7,6748,4,8443,3.9,9925,3.7,12147,3.7,13295,3.2,14523,1.9
1,1,ＮＨＫ放送受信料,1202,0.4,2.9,561,0.5,887,0.5,1256,0.6,1394,0.5,1508,0.5,1364,0.3,1451,0.2
1,1,ケーブルテレビ放送受信料,1199,0.4,-1.2,476,0.5,1055,0.6,1243,0.6,1368,0.5,1401,0.4,1374,0.3,1475,0.2
1,1,他の放送受信料,181,0.1,1.1,65,0.1,101,0.1,144,0.1,148,0.1,208,0.1,305,0.1,298,0
1,1,国公立小学校,282,0.1,36.9,3,0,109,0.1,225,0.1,162,0.1,343,0.1,567,0.1,567,0.1
1,1,国公立中学校,281,0.1,28.3,30,0,131,0.1,110,0.1,217,0.1,483,0.1,593,0.1,404,0.1
