項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）
0,0,0,0,0,世帯数分布,"10,000",-,212,-,955,-,"5,095",-,"1,435",-,"2,304",-
0,0,0,0,0,調査世帯数,359,-,8,-,35,-,181,-,52,-,83,-
0,0,0,0,0,世帯人員,3.27,-,3.32,-,3.23,-,3.41,-,3.26,-,2.97,-
0,0,0,0,0,有業人員,1.71,-,2.13,-,1.53,-,1.7,-,1.72,-,1.76,-
0,0,0,0,0,世帯主平均年齢,49.8,-,51,-,49.7,-,48.7,-,47.3,-,53.8,-
1,0,0,0,0,受取,1179992,-,1662338,-,1411140,-,1245221,-,1243564,-,837967,-
1,1,0,0,0,実収入,632404,100,961030,100,764905,100,678341,100,670903,100,410783,100
1,2,0,0,0,経常収入,626646,99.1,953111,99.2,755915,98.8,672929,99.2,664325,99,406846,99
1,3,0,0,0,勤め先収入,592054,93.6,945335,98.4,721508,94.3,646549,95.3,629387,93.8,353144,86
1,4,0,0,0,世帯主収入,503688,79.6,794707,82.7,639918,83.7,557455,82.2,517059,77.1,283786,69.1
1,6,0,0,0,うち男,481432,76.1,794707,82.7,574972,75.2,543404,80.1,492919,73.5,259954,63.3
1,5,0,0,0,定期収入,409714,64.8,656050,68.3,539758,70.6,442736,65.3,414630,61.8,253793,61.8
1,5,0,0,0,臨時収入,5573,0.9,4437,0.5,4705,0.6,6064,0.9,5213,0.8,5113,1.2
1,5,0,0,0,賞与,88400,14,134220,14,95455,12.5,108654,16,97216,14.5,24881,6.1
1,4,0,0,0,世帯主の配偶者の収入,77226,12.2,123682,12.9,78515,10.3,81017,11.9,95206,14.2,53195,12.9
1,6,0,0,0,うち女,76899,12.2,123682,12.9,78515,10.3,80553,11.9,95169,14.2,52792,12.9
1,4,0,0,0,他の世帯員収入,11141,1.8,26946,2.8,3075,0.4,8077,1.2,17121,2.6,16162,3.9
1,3,0,0,0,事業・内職収入,7671,1.2,2138,0.2,7759,1,6342,0.9,5299,0.8,11831,2.9
1,4,0,0,0,家賃収入,4151,0.7,1790,0.2,4282,0.6,3100,0.5,443,0.1,8527,2.1
1,4,0,0,0,他の事業収入,2646,0.4,-,-,3477,0.5,2495,0.4,4053,0.6,1745,0.4
