項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,475,-,559,-,877,-,1081,-,1040,-,765,-,844,-,4358,-,2039,-
0,0,0,0,0,調査世帯数,717,-,31,-,41,-,64,-,74,-,73,-,56,-,62,-,317,-,150,-
0,0,0,0,0,世帯人員,2.92,-,3.17,-,3.58,-,3.63,-,3.56,-,3.4,-,3.11,-,2.79,-,2.39,-,2.32,-
0,0,0,0,0,有業人員,1.34,-,1.53,-,1.55,-,1.56,-,1.7,-,1.78,-,1.9,-,1.91,-,0.85,-,0.6,-
0,0,0,0,0,世帯主平均年齢,59.7,-,30.4,-,37.1,-,42,-,47.2,-,51.9,-,57,-,62,-,74.4,-,80.5,-
2,2,0,0,0,生計支出,323328,-,258157,-,319350,-,319676,-,392791,-,389014,-,383681,-,355682,-,282371,-,255026,-
2,3,0,0,0,消費支出,322314,100,253074,100,319350,100,319481,100,392791,100,389014,100,383681,100,355682,100,280598,100,255026,100
2,4,1,0,0,食料,86107,26.7,69443,27.4,86177,27,82716,25.9,98484,25.1,89644,23,92070,24,93173,26.2,82290,29.3,76421,30
2,5,1,1,0,穀類,6645,2.1,5422,2.1,6554,2.1,6456,2,7517,1.9,7094,1.8,6514,1.7,7146,2,6435,2.3,6154,2.4
2,6,1,1,1,米類,1921,0.6,1248,0.5,1375,0.4,1716,0.5,2166,0.6,2020,0.5,1789,0.5,1731,0.5,2082,0.7,2272,0.9
2,6,1,1,2,パン,2883,0.9,2485,1,3183,1,2869,0.9,3131,0.8,3104,0.8,2941,0.8,3522,1,2646,0.9,2339,0.9
2,6,1,1,3,麺類,1354,0.4,1286,0.5,1412,0.4,1392,0.4,1680,0.4,1384,0.4,1267,0.3,1413,0.4,1259,0.4,1129,0.4
2,6,1,1,4,他の穀類,487,0.2,402,0.2,584,0.2,479,0.1,540,0.1,586,0.2,517,0.1,480,0.1,448,0.2,414,0.2
2,5,1,2,0,魚介類,6299,2,2949,1.2,3872,1.2,4147,1.3,5144,1.3,5347,1.4,5755,1.5,6897,1.9,7887,2.8,8019,3.1
