項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,359,-,-,53,-,53,-,51,-,53,-,50,-,49,-,50,-
0,世帯人員,3.27,-,-,2.97,-,2.89,-,3.35,-,3.41,-,3.32,-,3.42,-,3.51,-
0,有業人員,1.71,-,-,1.54,-,1.62,-,1.68,-,1.7,-,1.76,-,1.89,-,1.79,-
0,世帯主平均年齢,49.8,-,-,55.3,-,52.8,-,47.5,-,46.9,-,48.6,-,49.2,-,48.3,-
0,消費支出,353941,100,-2.9,256705,100,248940,100,311351,100,334538,100,379931,100,438570,100,506523,100
2,基礎的支出,167481,47.3,0,156403,60.9,146862,59,161944,52,159830,47.8,169476,44.6,188807,43.1,188709,37.3
3,選択的支出,186461,52.7,-5.3,100302,39.1,102078,41,149407,48,174707,52.2,210455,55.4,249763,56.9,317814,62.7
1,食料,92610,26.2,-0.8,82746,32.2,72119,29,85760,27.5,88995,26.6,94054,24.8,101862,23.2,123243,24.3
2,基礎的支出,66559,18.8,-0.5,65723,25.6,56273,22.6,63433,20.4,63538,19,64539,17,72200,16.5,80562,15.9
3,選択的支出,26051,7.4,-1.7,17023,6.6,15845,6.4,22326,7.2,25457,7.6,29515,7.8,29662,6.8,42681,8.4
1,住居,26697,7.5,-4.1,27959,10.9,23571,9.5,28291,9.1,29264,8.7,27946,7.4,24880,5.7,25335,5
2,基礎的支出,23814,6.7,-3,27374,10.7,23109,9.3,26150,8.4,24540,7.3,23553,6.2,22475,5.1,19742,3.9
3,選択的支出,2883,0.8,-12.5,584,0.2,462,0.2,2141,0.7,4724,1.4,4393,1.2,2405,0.5,5592,1.1
1,光熱・水道,20830,5.9,1.9,18172,7.1,19167,7.7,20940,6.7,20765,6.2,20702,5.4,22668,5.2,22673,4.5
2,基礎的支出,20830,5.9,1.9,18172,7.1,19167,7.7,20940,6.7,20765,6.2,20702,5.4,22668,5.2,22673,4.5
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,11529,3.3,-8.9,10201,4,8640,3.5,10008,3.2,11490,3.4,11938,3.1,11701,2.7,16608,3.3
2,基礎的支出,7667,2.2,-5.6,6998,2.7,6284,2.5,7103,2.3,8004,2.4,7606,2,7554,1.7,10082,2
3,選択的支出,3863,1.1,-15,3203,1.2,2356,0.9,2906,0.9,3486,1,4331,1.1,4147,0.9,6526,1.3
1,被服及び履物,17271,4.9,-4.3,10078,3.9,9863,4,13122,4.2,15836,4.7,18561,4.9,20823,4.7,32260,6.4
2,基礎的支出,838,0.2,-11.1,682,0.3,680,0.3,732,0.2,780,0.2,774,0.2,876,0.2,1316,0.3
3,選択的支出,16434,4.6,-3.9,9397,3.7,9183,3.7,12389,4,15056,4.5,17787,4.7,19947,4.5,30943,6.1
1,保健医療,14203,4,0.9,10473,4.1,11485,4.6,16812,5.4,12236,3.7,16611,4.4,17337,4,14502,2.9
2,基礎的支出,11685,3.3,1.9,9375,3.7,9773,3.9,14507,4.7,10252,3.1,13373,3.5,13344,3,11135,2.2
3,選択的支出,2518,0.7,-3.2,1098,0.4,1712,0.7,2305,0.7,1984,0.6,3238,0.9,3992,0.9,3367,0.7
1,交通・通信,43438,12.3,-8.1,24631,9.6,27337,11,37697,12.1,39825,11.9,51218,13.5,52589,12,71585,14.1
2,基礎的支出,10676,3,4.4,8221,3.2,8100,3.3,9317,3,10515,3.1,12744,3.4,11897,2.7,14032,2.8
3,選択的支出,32762,9.3,-11.6,16410,6.4,19237,7.7,28380,9.1,29311,8.8,38474,10.1,40691,9.3,57553,11.4
1,教育,34422,9.7,4.6,14058,5.5,12562,5,28344,9.1,31816,9.5,38627,10.2,53533,12.2,60610,12
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,34422,9.7,4.6,14058,5.5,12562,5,28344,9.1,31816,9.5,38627,10.2,53533,12.2,60610,12
1,教養娯楽,40490,11.4,-6.7,28430,11.1,25667,10.3,32995,10.6,37569,11.2,42908,11.3,53346,12.2,62335,12.3
2,基礎的支出,6029,1.7,-1.1,5240,2,5553,2.2,5194,1.7,5173,1.5,5990,1.6,8547,1.9,6625,1.3
3,選択的支出,34461,9.7,-7.6,23190,9,20115,8.1,27802,8.9,32396,9.7,36918,9.7,44799,10.2,55711,11
1,その他の消費支出,52452,14.8,-3.7,29959,11.7,38530,15.5,37382,12,46740,14,57366,15.1,79832,18.2,77372,15.3
2,基礎的支出,19383,5.5,3.1,14618,5.7,17924,7.2,14568,4.7,16262,4.9,20196,5.3,29244,6.7,22541,4.5
3,選択的支出,33069,9.3,-7.2,15341,6,20606,8.3,22814,7.3,30478,9.1,37171,9.8,50587,11.5,54831,10.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,,,,,,
第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
