項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,359,-,-,53,-,53,-,51,-,53,-,50,-,49,-,50,-
0,0,0,0,0,世帯人員,3.27,-,-,2.97,-,2.89,-,3.35,-,3.41,-,3.32,-,3.42,-,3.51,-
0,0,0,0,0,有業人員,1.71,-,-,1.54,-,1.62,-,1.68,-,1.7,-,1.76,-,1.89,-,1.79,-
0,0,0,0,0,世帯主平均年齢,49.8,-,-,55.3,-,52.8,-,47.5,-,46.9,-,48.6,-,49.2,-,48.3,-
1,0,0,0,0,受取,1179992,-,4.7,529451,-,674416,-,892464,-,1037111,-,1233848,-,1501398,-,2399012,-
1,1,0,0,0,実収入,632404,100,9,132051,100,309576,100,421077,100,522785,100,650278,100,802452,100,1598739,100
1,2,0,0,0,経常収入,626646,99.1,9.3,129801,98.3,304743,98.4,415465,98.7,517586,99,645860,99.3,795033,99.1,1588381,99.4
1,3,0,0,0,勤め先収入,592054,93.6,8.2,60992,46.2,252805,81.7,377236,89.6,495560,94.8,614917,94.6,782765,97.5,1570140,98.2
1,4,0,0,0,世帯主収入,503688,79.6,5.2,55943,42.4,230152,74.3,345580,82.1,439328,84,530644,81.6,619491,77.2,1311862,82.1
1,6,0,0,0,うち男,481432,76.1,6.8,38850,29.4,189668,61.3,326711,77.6,426905,81.7,506631,77.9,608903,75.9,1280007,80.1
1,5,0,0,0,定期収入,409714,64.8,0.3,55683,42.2,226739,73.2,340955,81,428103,81.9,516423,79.4,584831,72.9,713859,44.7
1,5,0,0,0,臨時収入,5573,0.9,33,159,0.1,1480,0.5,2786,0.7,6116,1.2,6007,0.9,11091,1.4,11297,0.7
1,5,0,0,0,賞与,88400,14,33.1,101,0.1,1932,0.6,1839,0.4,5110,1,8214,1.3,23569,2.9,586706,36.7
1,4,0,0,0,世帯主の配偶者の収入,77226,12.2,23.7,4701,3.6,13976,4.5,20400,4.8,52279,10,72934,11.2,147640,18.4,231468,14.5
1,6,0,0,0,うち女,76899,12.2,27.7,3910,3,13933,4.5,20400,4.8,51350,9.8,72934,11.2,147114,18.3,231468,14.5
1,4,0,0,0,他の世帯員収入,11141,1.8,101.2,348,0.3,8676,2.8,11257,2.7,3953,0.8,11338,1.7,15634,1.9,26810,1.7
1,3,0,0,0,事業・内職収入,7671,1.2,97.8,12171,9.2,5718,1.8,9182,2.2,6229,1.2,14412,2.2,3068,0.4,3095,0.2
1,4,0,0,0,家賃収入,4151,0.7,110.8,10371,7.9,3500,1.1,1289,0.3,4581,0.9,5745,0.9,2450,0.3,1454,0.1
1,4,0,0,0,他の事業収入,2646,0.4,102.4,437,0.3,2074,0.7,7073,1.7,724,0.1,7349,1.1,77,0,594,0
1,4,0,0,0,内職収入,874,0.1,44.7,1363,1,144,0,821,0.2,924,0.2,1318,0.2,541,0.1,1047,0.1
1,3,0,0,0,他の経常収入,26921,4.3,20,56638,42.9,46220,14.9,29047,6.9,15797,3,16531,2.5,9201,1.1,15147,0.9
1,4,0,0,0,財産収入,649,0.1,-46.4,1307,1,416,0.1,57,0,817,0.2,147,0,713,0.1,1183,0.1
1,4,0,0,0,社会保障給付,25955,4.1,26.1,55331,41.9,44354,14.3,28741,6.8,14798,2.8,16060,2.5,8466,1.1,13942,0.9
1,5,0,0,0,公的年金給付,16684,2.6,15.5,48018,36.4,33657,10.9,15612,3.7,6033,1.2,6246,1,3509,0.4,3848,0.2
1,5,0,0,0,他の社会保障給付,9272,1.5,51.1,7313,5.5,10697,3.5,13129,3.1,8765,1.7,9814,1.5,4957,0.6,10094,0.6
1,4,0,0,0,仕送り金,316,0,-50.1,-,-,1450,0.5,248,0.1,182,0,325,0,22,0,22,0
1,2,0,0,0,特別収入,5757,0.9,-15.5,2250,1.7,4833,1.6,5612,1.3,5199,1,4418,0.7,7419,0.9,10357,0.6
1,3,0,0,0,受贈金,1929,0.3,-31.2,991,0.8,3030,1,2231,0.5,2200,0.4,944,0.1,2298,0.3,1555,0.1
1,3,0,0,0,他の特別収入,3829,0.6,-4.4,1260,1,1803,0.6,3381,0.8,2999,0.6,3474,0.5,5121,0.6,8803,0.6
1,1,0,0,0,実収入以外の受取(繰入金を除く),467357,-,0.7,318460,-,297850,-,384733,-,430565,-,509415,-,618175,-,711156,-
1,2,0,0,0,預貯金引出,377038,-,1,258162,-,248325,-,316862,-,354911,-,415738,-,488741,-,554347,-
1,2,0,0,0,保険金,3695,-,-22.6,9522,-,5313,-,1666,-,902,-,2221,-,3941,-,2506,-
