項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,359,-,-,53,-,53,-,51,-,53,-,50,-,49,-,50,-
0,0,世帯人員,3.27,-,-,2.97,-,2.89,-,3.35,-,3.41,-,3.32,-,3.42,-,3.51,-
0,0,有業人員,1.71,-,-,1.54,-,1.62,-,1.68,-,1.7,-,1.76,-,1.89,-,1.79,-
0,0,世帯主平均年齢,49.8,-,-,55.3,-,52.8,-,47.5,-,46.9,-,48.6,-,49.2,-,48.3,-
0,0,消費支出,353941,-,-2.9,256705,-,248940,-,311351,-,334538,-,379931,-,438570,-,506523,-
0,0,公共的料金,106405,30.1,1.9,65802,25.6,81412,32.7,103957,33.4,103482,30.9,116670,30.7,133666,30.5,138373,27.3
1,0,公共料金等,63315,17.9,3.4,44910,17.5,51850,20.8,64017,20.6,62419,18.7,70505,18.6,74645,17,75046,14.8
1,1,米,1806,0.5,-4.7,1900,0.7,1726,0.7,1843,0.6,1771,0.5,1656,0.4,1866,0.4,1903,0.4
1,1,食塩,31,0,-6.1,32,0,29,0,27,0,27,0,32,0,35,0,33,0
1,1,学校給食,1393,0.4,8,1008,0.4,681,0.3,1554,0.5,1654,0.5,1697,0.4,1389,0.3,1790,0.4
1,1,公営家賃,2301,0.7,155.1,1400,0.5,5227,2.1,2108,0.7,3235,1,1903,0.5,119,0,2415,0.5
1,1,電気代,9631,2.7,5.3,8227,3.2,8730,3.5,9681,3.1,9537,2.9,9885,2.6,10741,2.4,10425,2.1
1,1,都市ガス,5403,1.5,-1.6,4493,1.8,4677,1.9,5323,1.7,5156,1.5,5422,1.4,6199,1.4,6066,1.2
1,1,上下水道料,5235,1.5,-0.7,4760,1.9,4713,1.9,5306,1.7,5510,1.6,5138,1.4,5434,1.2,5771,1.1
1,1,医科診療代,2983,0.8,14,2356,0.9,2312,0.9,2580,0.8,2893,0.9,4555,1.2,3649,0.8,2516,0.5
1,1,歯科診療代,2344,0.7,3.3,1070,0.4,1310,0.5,6395,2.1,1429,0.4,2603,0.7,2020,0.5,1570,0.3
1,1,出産入院料,92,0,-71.7,-,-,352,0.1,-,-,-,-,-,-,292,0.1,-,-
1,1,他の入院料,958,0.3,52.1,1178,0.5,264,0.1,109,0,1427,0.4,621,0.2,1577,0.4,1535,0.3
1,1,鉄道運賃,3919,1.1,-6.3,2229,0.9,2061,0.8,3377,1.1,4375,1.3,4865,1.3,4989,1.1,5757,1.1
1,1,鉄道通学定期代,1008,0.3,0.9,454,0.2,263,0.1,479,0.2,1143,0.3,1527,0.4,1884,0.4,1329,0.3
1,1,鉄道通勤定期代,3959,1.1,15.4,998,0.4,2575,1,2825,0.9,3309,1,5025,1.3,6522,1.5,6458,1.3
1,1,バス代,498,0.1,8.7,204,0.1,392,0.2,381,0.1,598,0.2,749,0.2,491,0.1,678,0.1
1,1,バス通学定期代,132,0,-29,44,0,46,0,97,0,104,0,241,0.1,141,0,233,0
1,1,バス通勤定期代,103,0,-34,5,0,64,0,101,0,25,0,187,0,143,0,197,0
1,1,タクシー代,701,0.2,4,483,0.2,393,0.2,433,0.1,509,0.2,618,0.2,1111,0.3,1374,0.3
1,1,航空運賃,1022,0.3,-3.4,712,0.3,221,0.1,878,0.3,795,0.2,1756,0.5,1634,0.4,1258,0.2
1,1,郵便料,460,0.1,-2.7,443,0.2,346,0.1,240,0.1,414,0.1,288,0.1,397,0.1,1125,0.2
1,1,固定電話通信料,1367,0.4,-12.3,1454,0.6,1373,0.6,1277,0.4,1269,0.4,1335,0.4,1353,0.3,1496,0.3
1,1,移動電話通信料,12667,3.6,0.4,7805,3,10425,4.2,12914,4.1,12228,3.7,14468,3.8,15816,3.6,15098,3
1,1,ＮＨＫ放送受信料,1068,0.3,3.7,1046,0.4,1023,0.4,774,0.2,1034,0.3,1148,0.3,1292,0.3,1167,0.2
1,1,ケーブルテレビ放送受信料,1165,0.3,-4,1011,0.4,1140,0.5,1149,0.4,979,0.3,1286,0.3,1361,0.3,1216,0.2
1,1,他の放送受信料,179,0.1,10.5,216,0.1,131,0.1,76,0,147,0,300,0.1,238,0.1,146,0
1,1,国公立小学校,469,0.1,24.7,288,0.1,150,0.1,591,0.2,639,0.2,527,0.1,442,0.1,643,0.1
