項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,717,-,-,99,-,103,-,105,-,104,-,105,-,102,-,100,-
0,世帯人員,2.92,-,-,2.55,-,2.74,-,2.86,-,2.96,-,3.03,-,3.09,-,3.21,-
0,有業人員,1.34,-,-,1.13,-,1.21,-,1.25,-,1.35,-,1.45,-,1.49,-,1.51,-
0,世帯主平均年齢,59.7,-,-,64.2,-,62.7,-,60.9,-,59.2,-,57.6,-,56.6,-,57,-
0,消費支出,322314,100,-1.7,102359,100,166794,100,217082,100,265966,100,324250,100,411357,100,768394,100
2,基礎的支出,175237,54.4,-0.8,79285,77.5,115765,69.4,140402,64.7,162307,61,184696,57,214216,52.1,329998,42.9
3,選択的支出,147077,45.6,-2.8,23074,22.5,51029,30.6,76680,35.3,103659,39,139555,43,197140,47.9,438396,57.1
1,食料,91615,28.4,-0.3,51804,50.6,66980,40.2,80314,37,90675,34.1,101755,31.4,113997,27.7,135842,17.7
2,基礎的支出,69838,21.7,-0.6,45169,44.1,56249,33.7,65097,30,70358,26.5,76761,23.7,82932,20.2,92356,12
3,選択的支出,21777,6.8,0.5,6635,6.5,10731,6.4,15217,7,20317,7.6,24994,7.7,31064,7.6,43486,5.7
1,住居,23972,7.4,0,3582,3.5,8503,5.1,9715,4.5,15230,5.7,23063,7.1,28975,7,78800,10.3
2,基礎的支出,22014,6.8,0.5,3466,3.4,8355,5,9233,4.3,14051,5.3,21246,6.6,25584,6.2,72223,9.4
3,選択的支出,1957,0.6,-4.4,116,0.1,148,0.1,482,0.2,1179,0.4,1817,0.6,3391,0.8,6577,0.9
1,光熱・水道,21383,6.6,1.7,13092,12.8,18662,11.2,21559,9.9,23106,8.7,22799,7,24729,6,25685,3.3
2,基礎的支出,21383,6.6,1.7,13092,12.8,18662,11.2,21559,9.9,23106,8.7,22799,7,24729,6,25685,3.3
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,10930,3.4,-12.4,3139,3.1,5394,3.2,7055,3.2,9199,3.5,11225,3.5,16217,3.9,24291,3.2
2,基礎的支出,7685,2.4,-1.4,2554,2.5,4125,2.5,5458,2.5,7032,2.6,8012,2.5,10295,2.5,16334,2.1
3,選択的支出,3245,1,-30.6,584,0.6,1269,0.8,1597,0.7,2167,0.8,3213,1,5921,1.4,7958,1
1,被服及び履物,14224,4.4,-3.8,2543,2.5,5476,3.3,8146,3.8,11022,4.1,15396,4.7,21189,5.2,35739,4.7
2,基礎的支出,814,0.3,-12.4,293,0.3,468,0.3,580,0.3,717,0.3,928,0.3,1226,0.3,1480,0.2
3,選択的支出,13410,4.2,-3.2,2250,2.2,5008,3,7566,3.5,10304,3.9,14467,4.5,19962,4.9,34259,4.5
1,保健医療,16175,5,3.6,4783,4.7,8050,4.8,10717,4.9,12975,4.9,16849,5.2,20529,5,39327,5.1
2,基礎的支出,13857,4.3,4.3,4452,4.3,6871,4.1,9585,4.4,11365,4.3,13825,4.3,16487,4,34426,4.5
3,選択的支出,2318,0.7,-0.2,331,0.3,1179,0.7,1132,0.5,1610,0.6,3024,0.9,4042,1,4900,0.6
1,交通・通信,35829,11.1,-2.9,6694,6.5,15582,9.3,21134,9.7,28053,10.5,36334,11.2,48629,11.8,94409,12.3
2,基礎的支出,10012,3.1,-0.2,2810,2.7,5790,3.5,7440,3.4,9728,3.7,11823,3.6,13908,3.4,18584,2.4
3,選択的支出,25817,8,-3.9,3884,3.8,9792,5.9,13694,6.3,18325,6.9,24512,7.6,34721,8.4,75825,9.9
1,教育,20419,6.3,4,371,0.4,2754,1.7,3560,1.6,5599,2.1,9310,2.9,17883,4.3,103476,13.5
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,20419,6.3,4,371,0.4,2754,1.7,3560,1.6,5599,2.1,9310,2.9,17883,4.3,103476,13.5
1,教養娯楽,38440,11.9,-0.9,7765,7.6,15601,9.4,22672,10.4,28920,10.9,36635,11.3,50919,12.4,106520,13.9
2,基礎的支出,6828,2.1,-1.7,3167,3.1,5053,3,6156,2.8,7049,2.7,7431,2.3,9108,2.2,9839,1.3
3,選択的支出,31612,9.8,-0.8,4598,4.5,10547,6.3,16517,7.6,21871,8.2,29204,9,41811,10.2,96681,12.6
1,その他の消費支出,49328,15.3,-6.6,8586,8.4,19793,11.9,32208,14.8,41187,15.5,50883,15.7,68291,16.6,124306,16.2
2,基礎的支出,22805,7.1,-6.8,4282,4.2,10190,6.1,15293,7,18899,7.1,21870,6.7,29947,7.3,59071,7.7
3,選択的支出,26523,8.2,-6.5,4304,4.2,9603,5.8,16915,7.8,22288,8.4,29013,8.9,38344,9.3,65234,8.5
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
