項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,65歳未満／実数（円）,65歳未満／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,671,-,9329,-,5253,-
0,0,0,0,0,調査世帯数,245,-,-,16,-,229,-,130,-
0,0,0,0,0,世帯人員,2.37,-,-,2.55,-,2.36,-,2.31,-
0,0,0,0,0,有業人員,0.48,-,-,0.58,-,0.47,-,0.38,-
0,0,0,0,0,世帯主平均年齢,74.6,-,-,57.1,-,75.9,-,80.8,-
1,0,0,0,0,受取,625616,-,12.5,576401,-,629711,-,592850,-
1,1,0,0,0,実収入,204028,100,22,144564,100,208509,100,206035,100
1,2,0,0,0,経常収入,197084,96.6,20.7,137038,94.8,201586,96.7,198700,96.4
1,3,0,0,0,勤め先収入,19715,9.7,76.9,26157,18.1,19229,9.2,14598,7.1
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,6824,3.3,65.2,17342,12,6029,2.9,3498,1.7
1,6,0,0,0,うち女,6439,3.2,55.9,11982,8.3,6029,2.9,3498,1.7
1,4,0,0,0,他の世帯員収入,12891,6.3,83.8,8815,6.1,13199,6.3,11099,5.4
1,3,0,0,0,事業・内職収入,4802,2.4,-40.9,2363,1.6,5017,2.4,5619,2.7
1,4,0,0,0,家賃収入,1921,0.9,-48.9,1078,0.7,2009,1,2559,1.2
1,4,0,0,0,他の事業収入,787,0.4,-52.3,-,-,844,0.4,1417,0.7
1,4,0,0,0,内職収入,2094,1,-22.8,1285,0.9,2164,1,1642,0.8
1,3,0,0,0,他の経常収入,172567,84.6,19.8,108517,75.1,177341,85.1,178483,86.6
1,4,0,0,0,財産収入,4067,2,107.7,5534,3.8,3971,1.9,3031,1.5
1,4,0,0,0,社会保障給付,166602,81.7,18,90520,62.6,172113,82.5,173914,84.4
1,5,0,0,0,公的年金給付,164856,80.8,18.2,76776,53.1,171275,82.1,173536,84.2
