項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,400万円未満／実数（円）,400万円未満／構成比（％）,400万円以上600万円未満／実数（円）,400万円以上600万円未満／構成比（％）,600万円以上800万円未満／実数（円）,600万円以上800万円未満／構成比（％）,800万円以上1000万円未満／実数（円）,800万円以上1000万円未満／構成比（％）,1000万円以上／実数（円）,1000万円以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,2545,-,2318,-,1686,-,1413,-,2039,-
0,0,0,0,0,調査世帯数,717,-,-,186,-,171,-,120,-,102,-,138,-
0,0,0,0,0,世帯人員,2.92,-,-,2.36,-,2.79,-,3.09,-,3.28,-,3.37,-
0,0,0,0,0,有業人員,1.34,-,-,0.68,-,1.13,-,1.6,-,1.77,-,1.9,-
0,0,0,0,0,世帯主平均年齢,59.7,-,-,70.5,-,61.3,-,54.4,-,52.7,-,53.8,-
0,0,0,0,0,平均年間収入(万円),720,-,-,301,-,488,-,698,-,885,-,1412,-
2,2,0,0,0,生計支出,323328,-,-2.3,221744,-,287341,-,317326,-,357896,-,472276,-
2,3,0,0,0,消費支出,322314,100,-1.7,221744,100,285548,100,317326,100,355354,100,471133,100
2,4,1,0,0,食料,86107,26.7,0.8,70400,31.7,80101,28.1,85242,26.9,93536,26.3,108203,23
2,5,1,1,0,穀類,6645,2.1,2.8,5990,2.7,6545,2.3,6563,2.1,7038,2,7387,1.6
2,6,1,1,1,米類,1921,0.6,4.5,2033,0.9,1863,0.7,1837,0.6,1904,0.5,1934,0.4
2,6,1,1,2,パン,2883,0.9,2.5,2270,1,2845,1,2873,0.9,3225,0.9,3469,0.7
2,6,1,1,3,麺類,1354,0.4,2.2,1227,0.6,1373,0.5,1369,0.4,1393,0.4,1455,0.3
2,6,1,1,4,他の穀類,487,0.2,-0.6,460,0.2,465,0.2,483,0.2,516,0.1,530,0.1
2,5,1,2,0,魚介類,6299,2,-3.6,6708,3,6345,2.2,5647,1.8,5851,1.6,6586,1.4
2,6,1,2,1,生鮮魚介,3651,1.1,-4.1,3739,1.7,3663,1.3,3291,1,3320,0.9,4058,0.9
2,6,1,2,2,塩干魚介,1115,0.3,-4.8,1262,0.6,1133,0.4,918,0.3,1136,0.3,1061,0.2
2,6,1,2,3,魚肉練製品,626,0.2,1,707,0.3,623,0.2,573,0.2,596,0.2,593,0.1
2,6,1,2,4,他の魚介加工品,906,0.3,-3.3,1000,0.5,925,0.3,865,0.3,800,0.2,874,0.2
2,5,1,3,0,肉類,7805,2.4,0,6210,2.8,7301,2.6,7492,2.4,8931,2.5,9878,2.1
2,6,1,3,1,生鮮肉,6350,2,0.2,4962,2.2,5912,2.1,6051,1.9,7312,2.1,8187,1.7
2,6,1,3,2,加工肉,1456,0.5,-0.7,1248,0.6,1389,0.5,1441,0.5,1620,0.5,1691,0.4
2,5,1,4,0,乳卵類,4127,1.3,-3.7,3501,1.6,4108,1.4,4077,1.3,4285,1.2,4871,1
2,6,1,4,1,牛乳,1291,0.4,-10,1114,0.5,1296,0.5,1302,0.4,1310,0.4,1481,0.3
2,6,1,4,2,乳製品,2077,0.6,0.5,1675,0.8,2053,0.7,2050,0.6,2209,0.6,2539,0.5
2,6,1,4,3,卵,760,0.2,-3.3,712,0.3,759,0.3,725,0.2,765,0.2,851,0.2
2,5,1,5,0,野菜・海藻,10552,3.3,1.1,11009,5,10518,3.7,9636,3,10166,2.9,11068,2.3
2,6,1,5,1,生鮮野菜,7382,2.3,1.2,7592,3.4,7302,2.6,6807,2.1,7147,2,7873,1.7
2,6,1,5,2,乾物・海藻,777,0.2,-1.5,785,0.4,791,0.3,735,0.2,761,0.2,791,0.2
2,6,1,5,3,大豆加工品,1156,0.4,1,1242,0.6,1119,0.4,1045,0.3,1151,0.3,1192,0.3
2,6,1,5,4,他の野菜・海藻加工品,1237,0.4,2.4,1390,0.6,1306,0.5,1050,0.3,1108,0.3,1214,0.3
2,5,1,6,0,果物,3437,1.1,-0.3,3570,1.6,3677,1.3,2999,0.9,3398,1,3389,0.7
2,6,1,6,1,生鮮果物,3090,1,-0.1,3256,1.5,3342,1.2,2648,0.8,3074,0.9,2979,0.6
2,6,1,6,2,果物加工品,347,0.1,-2.5,314,0.1,335,0.1,351,0.1,323,0.1,410,0.1
2,5,1,7,0,油脂・調味料,3638,1.1,-1.5,3372,1.5,3532,1.2,3448,1.1,3755,1.1,4174,0.9
2,6,1,7,1,油脂,374,0.1,-8.3,355,0.2,386,0.1,332,0.1,382,0.1,415,0.1
2,6,1,7,2,調味料,3264,1,-0.7,3017,1.4,3146,1.1,3116,1,3374,0.9,3759,0.8
2,5,1,8,0,菓子類,6123,1.9,4.4,4824,2.2,5886,2.1,6274,2,6919,1.9,7347,1.6
2,5,1,9,0,調理食品,11652,3.6,2.5,10060,4.5,10951,3.8,11851,3.7,13028,3.7,13333,2.8
2,6,1,9,1,主食的調理食品,4909,1.5,3.9,3936,1.8,4619,1.6,5195,1.6,5322,1.5,5930,1.3
2,6,1,9,2,他の調理食品,6743,2.1,1.5,6123,2.8,6332,2.2,6655,2.1,7705,2.2,7403,1.6
2,5,1,10,0,飲料,4895,1.5,6.2,4055,1.8,4495,1.6,5050,1.6,5326,1.5,5981,1.3
2,6,1,10,1,茶類,1255,0.4,9.9,1151,0.5,1196,0.4,1385,0.4,1295,0.4,1327,0.3
2,6,1,10,2,コーヒー・ココア,966,0.3,0.3,719,0.3,854,0.3,932,0.3,1110,0.3,1332,0.3
2,6,1,10,3,他の飲料,2674,0.8,6.8,2185,1,2444,0.9,2733,0.9,2921,0.8,3322,0.7
2,5,1,11,0,酒類,3221,1,-10.3,2553,1.2,3013,1.1,3228,1,3156,0.9,4336,0.9
2,5,1,12,0,外食,17714,5.5,2.2,8548,3.9,13731,4.8,18978,6,21683,6.1,29853,6.3
2,6,1,12,1,一般外食,16871,5.2,1.7,8387,3.8,13132,4.6,17700,5.6,20108,5.7,28766,6.1
2,6,1,12,2,学校給食,843,0.3,11.8,161,0.1,599,0.2,1278,0.4,1576,0.4,1087,0.2
2,4,2,0,0,住居,23945,7.4,-0.1,19173,8.6,28281,9.9,26552,8.4,19459,5.5,26023,5.5
2,5,2,1,0,家賃地代,14782,4.6,2.3,10150,4.6,14727,5.2,18950,6,14861,4.2,16984,3.6
2,5,2,2,0,設備修繕・維持,9163,2.8,-3.6,9023,4.1,13554,4.7,7603,2.4,4599,1.3,9039,1.9
2,6,2,2,1,設備材料,2653,0.8,-6.5,2469,1.1,3795,1.3,2509,0.8,1169,0.3,2965,0.6
2,6,2,2,2,工事その他のサービス,6510,2,-2.4,6555,3,9759,3.4,5094,1.6,3430,1,6074,1.3
2,4,3,0,0,光熱・水道,21383,6.6,1.7,19429,8.8,20578,7.2,20981,6.6,22701,6.4,24126,5.1
2,5,3,1,0,電気代,10121,3.1,5.6,9007,4.1,9716,3.4,9727,3.1,10990,3.1,11694,2.5
2,5,3,2,0,ガス代,5765,1.8,-1.4,5316,2.4,5442,1.9,5769,1.8,6106,1.7,6466,1.4
2,5,3,3,0,他の光熱,308,0.1,-3.4,398,0.2,384,0.1,351,0.1,184,0.1,150,0
2,5,3,4,0,上下水道料,5190,1.6,-1.5,4709,2.1,5035,1.8,5134,1.6,5422,1.5,5816,1.2
2,4,4,0,0,家具・家事用品,10722,3.3,-11.8,7961,3.6,10292,3.6,10018,3.2,11095,3.1,15081,3.2
2,5,4,1,0,家庭用耐久財,3431,1.1,-16.3,2774,1.3,3440,1.2,3031,1,2999,0.8,4932,1
2,6,4,1,1,家事用耐久財,1684,0.5,-0.6,1304,0.6,1301,0.5,1701,0.5,1883,0.5,2441,0.5
2,6,4,1,2,冷暖房用器具,1255,0.4,3.6,943,0.4,1889,0.7,834,0.3,518,0.1,1815,0.4
2,6,4,1,3,一般家具,491,0.2,-58.9,528,0.2,250,0.1,496,0.2,597,0.2,676,0.1
2,5,4,2,0,室内装備・装飾品,576,0.2,-46.9,330,0.1,770,0.3,476,0.2,552,0.2,757,0.2
2,5,4,3,0,寝具類,784,0.2,-10.9,501,0.2,776,0.3,506,0.2,890,0.3,1301,0.3
2,5,4,4,0,家事雑貨,2304,0.7,-4.3,1502,0.7,2061,0.7,2260,0.7,2974,0.8,3168,0.7
2,5,4,5,0,家事用消耗品,2804,0.9,-0.6,2319,1,2625,0.9,2756,0.9,3207,0.9,3387,0.7
2,5,4,6,0,家事サービス,823,0.3,-4.5,536,0.2,620,0.2,989,0.3,473,0.1,1537,0.3
2,4,5,0,0,被服及び履物,13654,4.2,-3.4,5971,2.7,9404,3.3,12921,4.1,16591,4.7,26729,5.7
2,5,5,1,0,和服,120,0,-7.7,173,0.1,32,0,14,0,102,0,242,0.1
2,5,5,2,0,洋服,5923,1.8,-1.2,1995,0.9,3556,1.2,5432,1.7,7577,2.1,12844,2.7
2,6,5,2,1,男子用洋服,1979,0.6,-3.2,678,0.3,1103,0.4,1946,0.6,2530,0.7,4260,0.9
2,6,5,2,2,婦人用洋服,3410,1.1,0.9,1242,0.6,1994,0.7,2885,0.9,3982,1.1,7811,1.7
2,6,5,2,3,子供用洋服,534,0.2,-6.2,75,0,458,0.2,601,0.2,1066,0.3,773,0.2
2,5,5,3,0,シャツ・セーター類,2544,0.8,-7.4,1223,0.6,2035,0.7,2501,0.8,2799,0.8,4637,1
2,6,5,3,1,男子用シャツ・セーター類,802,0.2,-8.1,392,0.2,622,0.2,668,0.2,824,0.2,1622,0.3
2,6,5,3,2,婦人用シャツ・セーター類,1591,0.5,-6.6,806,0.4,1307,0.5,1602,0.5,1652,0.5,2837,0.6
2,6,5,3,3,子供用シャツ・セーター類,152,0,-11.1,26,0,106,0,230,0.1,324,0.1,178,0
2,5,5,4,0,下着類,1111,0.3,0.5,716,0.3,955,0.3,1057,0.3,1255,0.4,1736,0.4
2,6,5,4,1,男子用下着類,326,0.1,-6.6,270,0.1,335,0.1,266,0.1,329,0.1,436,0.1
2,6,5,4,2,婦人用下着類,665,0.2,3.3,429,0.2,538,0.2,640,0.2,720,0.2,1096,0.2
2,6,5,4,3,子供用下着類,120,0,6.2,17,0,82,0,152,0,206,0.1,204,0
2,5,5,5,0,生地・糸類,126,0,-21.3,107,0,93,0,172,0.1,107,0,161,0
2,5,5,6,0,他の被服,971,0.3,-5.3,563,0.3,765,0.3,1010,0.3,1077,0.3,1626,0.3
2,5,5,7,0,履物類,1847,0.6,-3.2,800,0.4,1240,0.4,1764,0.6,2572,0.7,3396,0.7
2,5,5,8,0,被服関連サービス,1012,0.3,-5.1,394,0.2,729,0.3,973,0.3,1101,0.3,2088,0.4
2,4,6,0,0,保健医療,16097,5,3.7,12843,5.8,14700,5.1,16570,5.2,15396,4.3,21635,4.6
2,5,6,1,0,医薬品,2621,0.8,-1,2694,1.2,2590,0.9,2494,0.8,2490,0.7,2744,0.6
2,5,6,2,0,健康保持用摂取品,1300,0.4,-13,1190,0.5,1199,0.4,1262,0.4,1375,0.4,1544,0.3
2,5,6,3,0,保健医療用品・器具,2492,0.8,1.1,1873,0.8,2433,0.9,2448,0.8,2737,0.8,3174,0.7
2,5,6,4,0,保健医療サービス,9684,3,8.7,7087,3.2,8478,3,10366,3.3,8794,2.5,14173,3
2,4,7,0,0,交通・通信,35656,11.1,-3,19942,9,32561,11.4,34889,11,40133,11.3,56169,11.9
