項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9078,-,2561,-,2249,-,7439,-,6830,-,922,-
0,0,0,0,0,調査世帯数,245,-,-,224,-,62,-,54,-,184,-,170,-,21,-
0,0,0,0,0,世帯人員,2.37,-,-,2.36,-,2.25,-,2.29,-,2.41,-,2.39,-,2.42,-
0,0,0,0,0,有業人員,0.48,-,-,0.46,-,0.34,-,0.35,-,0.52,-,0.49,-,0.65,-
0,0,0,0,0,世帯主平均年齢,74.6,-,-,75,-,75.1,-,75.7,-,74.4,-,74.7,-,71,-
1,0,0,0,0,受取,625616,-,12.5,638412,-,379707,-,389589,-,710029,-,720176,-,512198,-
1,1,0,0,0,実収入,204028,100,22,206825,100,126831,100,128801,100,230006,100,231900,100,180502,100
1,2,0,0,0,経常収入,197084,96.6,20.7,199690,96.6,123795,97.6,125551,97.5,221611,96.4,223371,96.3,175526,97.2
1,3,0,0,0,勤め先収入,19715,9.7,76.9,18284,8.8,5039,4,5272,4.1,24757,10.8,22582,9.7,32043,17.8
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,6824,3.3,65.2,5466,2.6,668,0.5,344,0.3,8924,3.9,7169,3.1,18762,10.4
1,6,0,0,0,うち女,6439,3.2,55.9,5049,2.4,668,0.5,344,0.3,8383,3.6,6585,2.8,18762,10.4
1,4,0,0,0,他の世帯員収入,12891,6.3,83.8,12818,6.2,4371,3.4,4928,3.8,15833,6.9,15414,6.6,13281,7.4
1,3,0,0,0,事業・内職収入,4802,2.4,-40.9,5246,2.5,2119,1.7,2321,1.8,5728,2.5,6199,2.7,376,0.2
1,4,0,0,0,家賃収入,1921,0.9,-48.9,2123,1,458,0.4,530,0.4,2422,1.1,2638,1.1,-,-
1,4,0,0,0,他の事業収入,787,0.4,-52.3,833,0.4,125,0.1,96,0.1,1031,0.4,1092,0.5,376,0.2
1,4,0,0,0,内職収入,2094,1,-22.8,2289,1.1,1536,1.2,1696,1.3,2274,1,2468,1.1,-,-
1,3,0,0,0,他の経常収入,172567,84.6,19.8,176160,85.2,116637,92,117958,91.6,191126,83.1,194590,83.9,143107,79.3
1,4,0,0,0,財産収入,4067,2,107.7,4463,2.2,464,0.4,546,0.4,5299,2.3,5734,2.5,326,0.2
1,4,0,0,0,社会保障給付,166602,81.7,18,170670,82.5,115232,90.9,116536,90.5,183628,79.8,187771,81,133413,73.9
1,5,0,0,0,公的年金給付,164856,80.8,18.2,169965,82.2,111254,87.7,115993,90.1,182559,79.4,187004,80.6,121020,67
1,5,0,0,0,他の社会保障給付,1746,0.9,5.2,705,0.3,3979,3.1,542,0.4,1069,0.5,767,0.3,12393,6.9
1,4,0,0,0,仕送り金,1899,0.9,99.5,1028,0.5,941,0.7,876,0.7,2199,1,1085,0.5,9368,5.2
1,2,0,0,0,特別収入,6944,3.4,75.2,7136,3.5,3036,2.4,3251,2.5,8396,3.7,8529,3.7,4976,2.8
1,3,0,0,0,受贈金,1934,0.9,29.7,1961,0.9,1153,0.9,1307,1,2225,1,2216,1,1625,0.9
1,3,0,0,0,他の特別収入,5010,2.5,102.6,5175,2.5,1883,1.5,1944,1.5,6171,2.7,6313,2.7,3352,1.9
1,1,0,0,0,実収入以外の受取(繰入金を除く),337641,-,10.2,344361,-,181132,-,186109,-,391956,-,396969,-,278205,-
1,2,0,0,0,預貯金引出,257154,-,3.2,260198,-,158485,-,160558,-,291448,-,293348,-,230355,-
1,2,0,0,0,保険金,25607,-,29.4,27082,-,3693,-,4137,-,33045,-,34510,-,12082,-
1,3,0,0,0,個人・企業年金保険金,24728,-,34.2,26112,-,3639,-,4073,-,31887,-,33246,-,12082,-
1,3,0,0,0,他の保険金,879,-,-35.2,969,-,54,-,64,-,1158,-,1264,-,-,-
1,2,0,0,0,有価証券売却,4168,-,235.6,4643,-,-,-,-,-,5426,-,5949,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,275,-,418.9,299,-,-,-,-,-,382,-,415,-,-,-
1,2,0,0,0,分割払購入借入金,2195,-,55.3,2398,-,1491,-,1686,-,2495,-,2709,-,212,-
1,2,0,0,0,一括払購入借入金,47923,-,40.6,49425,-,17407,-,19667,-,58751,-,59636,-,35266,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,318,-,-32.9,316,-,55,-,61,-,409,-,402,-,291,-
1,1,0,0,0,繰入金,83947,-,2,87226,-,71744,-,74678,-,88067,-,91307,-,53490,-
2,0,0,0,0,支払,625616,-,12.5,638412,-,379707,-,389589,-,710029,-,720176,-,512198,-
2,1,0,0,0,実支出,302277,-,6,306820,-,186617,-,191078,-,342517,-,345528,-,262188,-
2,2,0,0,0,生計支出,270245,-,5.7,273151,-,172843,-,175890,-,304289,-,305829,-,245090,-
2,3,0,0,0,消費支出,267939,100,4.8,270569,100,172843,100,175890,100,301269,100,302493,100,245090,100
2,4,1,0,0,食料,79253,29.6,2.8,80252,29.7,61704,35.7,63036,35.8,85381,28.3,86004,28.4,70031,28.6
2,5,1,1,0,穀類,6400,2.4,5,6435,2.4,5632,3.3,5553,3.2,6675,2.2,6737,2.2,6097,2.5
2,6,1,1,1,米類,2063,0.8,10.7,2063,0.8,2066,1.2,2048,1.2,2065,0.7,2074,0.7,2100,0.9
2,6,1,1,2,パン,2611,1,3.6,2623,1,2094,1.2,2047,1.2,2788,0.9,2812,0.9,2492,1
2,6,1,1,3,麺類,1268,0.5,1.3,1282,0.5,1039,0.6,1014,0.6,1351,0.4,1374,0.5,1139,0.5
2,6,1,1,4,他の穀類,458,0.2,-0.9,466,0.2,432,0.2,443,0.3,470,0.2,478,0.2,366,0.1
2,5,1,2,0,魚介類,7733,2.9,-0.3,7857,2.9,6411,3.7,6527,3.7,8201,2.7,8309,2.7,6564,2.7
2,6,1,2,1,生鮮魚介,4379,1.6,-1.4,4474,1.7,3532,2,3585,2,4680,1.6,4774,1.6,3507,1.4
2,6,1,2,2,塩干魚介,1452,0.5,0.6,1469,0.5,1299,0.8,1322,0.8,1508,0.5,1521,0.5,1277,0.5
2,6,1,2,3,魚肉練製品,773,0.3,3.3,779,0.3,645,0.4,651,0.4,817,0.3,821,0.3,703,0.3
2,6,1,2,4,他の魚介加工品,1128,0.4,0.3,1136,0.4,935,0.5,968,0.6,1196,0.4,1193,0.4,1078,0.4
2,5,1,3,0,肉類,7161,2.7,6,7274,2.7,5669,3.3,5801,3.3,7689,2.6,7774,2.6,6079,2.5
2,6,1,3,1,生鮮肉,5776,2.2,6.5,5863,2.2,4549,2.6,4660,2.6,6207,2.1,6268,2.1,4954,2
2,6,1,3,2,加工肉,1385,0.5,3.8,1411,0.5,1119,0.6,1141,0.6,1482,0.5,1507,0.5,1124,0.5
2,5,1,4,0,乳卵類,4119,1.5,-7.1,4243,1.6,3216,1.9,3357,1.9,4440,1.5,4549,1.5,2966,1.2
2,6,1,4,1,牛乳,1348,0.5,-17.7,1401,0.5,1057,0.6,1095,0.6,1452,0.5,1508,0.5,850,0.3
2,6,1,4,2,乳製品,1992,0.7,-1.5,2061,0.8,1465,0.8,1579,0.9,2177,0.7,2226,0.7,1339,0.5
2,6,1,4,3,卵,779,0.3,0.8,781,0.3,693,0.4,684,0.4,810,0.3,815,0.3,777,0.3
2,5,1,5,0,野菜・海藻,12301,4.6,5,12454,4.6,10361,6,10470,6,12976,4.3,13105,4.3,10687,4.4
2,6,1,5,1,生鮮野菜,8489,3.2,5.5,8627,3.2,7225,4.2,7302,4.2,8932,3,9066,3,7067,2.9
2,6,1,5,2,乾物・海藻,901,0.3,-7.4,913,0.3,690,0.4,706,0.4,975,0.3,981,0.3,783,0.3
2,6,1,5,3,大豆加工品,1337,0.5,4.4,1349,0.5,1198,0.7,1204,0.7,1386,0.5,1398,0.5,1195,0.5
2,6,1,5,4,他の野菜・海藻加工品,1574,0.6,11,1564,0.6,1249,0.7,1258,0.7,1684,0.6,1659,0.5,1642,0.7
2,5,1,6,0,果物,4439,1.7,2.4,4513,1.7,3255,1.9,3372,1.9,4839,1.6,4882,1.6,3914,1.6
