項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,8172,-,1207,-,342,-,279,-
0,0,0,0,0,調査世帯数,717,-,591,-,82,-,26,-,18,-
0,0,0,0,0,世帯人員,2.92,-,2.93,-,2.84,-,2.42,-,3.62,-
0,0,0,0,0,有業人員,1.34,-,1.3,-,1.63,-,1.15,-,1.53,-
0,0,0,0,0,世帯主平均年齢,59.7,-,61.7,-,48.9,-,62.6,-,44.2,-
2,2,0,0,0,生計支出,323328,-,322528,-,335979,-,245781,-,383128,-
2,3,0,0,0,消費支出,322314,100,321552,100,334032,100,245781,100,383128,100
2,4,1,0,0,食料,86107,26.7,87725,27.3,78679,23.6,66715,27.1,93989,24.5
2,5,1,1,0,穀類,6645,2.1,6770,2.1,5943,1.8,5734,2.3,7164,1.9
2,6,1,1,1,米類,1921,0.6,1954,0.6,1710,0.5,1968,0.8,1907,0.5
2,6,1,1,2,パン,2883,0.9,2950,0.9,2587,0.8,2126,0.9,3120,0.8
2,6,1,1,3,麺類,1354,0.4,1367,0.4,1227,0.4,1263,0.5,1600,0.4
2,6,1,1,4,他の穀類,487,0.2,500,0.2,419,0.1,376,0.2,538,0.1
2,5,1,2,0,魚介類,6299,2,6639,2.1,4407,1.3,5515,2.2,5229,1.4
2,6,1,2,1,生鮮魚介,3651,1.1,3860,1.2,2449,0.7,3110,1.3,3305,0.9
2,6,1,2,2,塩干魚介,1115,0.3,1171,0.4,817,0.2,953,0.4,833,0.2
2,6,1,2,3,魚肉練製品,626,0.2,653,0.2,489,0.1,617,0.3,435,0.1
2,6,1,2,4,他の魚介加工品,906,0.3,955,0.3,653,0.2,835,0.3,655,0.2
2,5,1,3,0,肉類,7805,2.4,8095,2.5,6329,1.9,5244,2.1,8645,2.3
2,6,1,3,1,生鮮肉,6350,2,6590,2,5121,1.5,4144,1.7,7118,1.9
2,6,1,3,2,加工肉,1456,0.5,1505,0.5,1207,0.4,1100,0.4,1527,0.4
2,5,1,4,0,乳卵類,4127,1.3,4294,1.3,3250,1,2592,1.1,4846,1.3
2,6,1,4,1,牛乳,1291,0.4,1369,0.4,906,0.3,640,0.3,1367,0.4
2,6,1,4,2,乳製品,2077,0.6,2147,0.7,1677,0.5,1349,0.5,2636,0.7
2,6,1,4,3,卵,760,0.2,777,0.2,667,0.2,604,0.2,843,0.2
2,5,1,5,0,野菜・海藻,10552,3.3,11031,3.4,8057,2.4,8771,3.6,9239,2.4
2,6,1,5,1,生鮮野菜,7382,2.3,7713,2.4,5645,1.7,6072,2.5,6718,1.8
2,6,1,5,2,乾物・海藻,777,0.2,822,0.3,539,0.2,594,0.2,691,0.2
2,6,1,5,3,大豆加工品,1156,0.4,1205,0.4,929,0.3,890,0.4,1011,0.3
2,6,1,5,4,他の野菜・海藻加工品,1237,0.4,1291,0.4,944,0.3,1216,0.5,819,0.2
2,5,1,6,0,果物,3437,1.1,3635,1.1,2627,0.8,2336,1,2531,0.7
2,6,1,6,1,生鮮果物,3090,1,3264,1,2391,0.7,2156,0.9,2267,0.6
2,6,1,6,2,果物加工品,347,0.1,372,0.1,236,0.1,180,0.1,264,0.1
2,5,1,7,0,油脂・調味料,3638,1.1,3713,1.2,3193,1,2965,1.2,4088,1.1
2,6,1,7,1,油脂,374,0.1,380,0.1,369,0.1,256,0.1,354,0.1
2,6,1,7,2,調味料,3264,1,3333,1,2823,0.8,2709,1.1,3733,1
2,5,1,8,0,菓子類,6123,1.9,6212,1.9,5575,1.7,4694,1.9,7604,2
2,5,1,9,0,調理食品,11652,3.6,11955,3.7,10485,3.1,9813,4,10122,2.6
2,6,1,9,1,主食的調理食品,4909,1.5,4980,1.5,4692,1.4,4133,1.7,4573,1.2
2,6,1,9,2,他の調理食品,6743,2.1,6975,2.2,5793,1.7,5680,2.3,5549,1.4
2,5,1,10,0,飲料,4895,1.5,4874,1.5,4894,1.5,4696,1.9,5780,1.5
2,6,1,10,1,茶類,1255,0.4,1276,0.4,1151,0.3,1258,0.5,1179,0.3
2,6,1,10,2,コーヒー・ココア,966,0.3,947,0.3,1037,0.3,744,0.3,1403,0.4
2,6,1,10,3,他の飲料,2674,0.8,2652,0.8,2706,0.8,2694,1.1,3198,0.8
2,5,1,11,0,酒類,3221,1,3196,1,3099,0.9,3289,1.3,3923,1
2,5,1,12,0,外食,17714,5.5,17311,5.4,20821,6.2,11066,4.5,24817,6.5
2,6,1,12,1,一般外食,16871,5.2,16510,5.1,19797,5.9,10671,4.3,23159,6
2,6,1,12,2,学校給食,843,0.3,801,0.2,1024,0.3,396,0.2,1658,0.4
2,4,2,0,0,住居,23945,7.4,12323,3.8,87990,26.3,54487,22.2,43623,11.4
2,5,2,1,0,家賃地代,14782,4.6,1240,0.4,87236,26.1,53372,21.7,43418,11.3
