男女・年,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成30年平均,401,662,707,350,1233,296,227,400,498,228,330,773,601,464
実数／男女計／平成31年・令和元年平均,387,666,761,330,1239,300,229,413,479,237,373,780,638,477
実数／男女計／令和２年平均,359,664,792,352,1217,341,260,420,430,221,417,796,636,463
実数／男女計／令和３年平均,362,661,853,378,1228,351,260,444,417,210,419,835,621,455
実数／男女計／令和４年平均,370,641,924,356,1236,347,253,447,454,231,384,875,624,445
実数／男／平成30年平均,322,477,502,272,617,132,135,249,222,84,147,195,338,263
実数／男／平成31年・令和元年平均,301,471,516,254,612,151,132,258,214,93,162,186,363,281
実数／男／令和２年平均,284,463,537,263,600,166,147,259,193,99,180,187,365,278
実数／男／令和３年平均,281,466,581,281,608,169,154,263,178,88,180,195,347,265
実数／男／令和４年平均,297,452,633,266,613,176,149,265,188,91,174,202,343,254
実数／女／平成30年平均,80,185,205,78,617,164,92,150,277,144,183,579,263,202
実数／女／平成31年・令和元年平均,85,195,244,76,627,149,97,155,264,144,211,593,275,195
実数／女／令和２年平均,75,200,254,89,618,175,113,160,237,121,236,609,271,184
実数／女／令和３年平均,82,195,272,97,620,182,105,181,239,123,239,640,273,191
実数／女／令和４年平均,73,189,291,90,622,171,104,183,266,140,211,673,281,191
対前年増減数／男女計／平成31年・令和元年平均,-14,4,54,-20,6,4,2,13,-19,9,43,7,37,13
対前年増減数／男女計／令和２年平均,-28,-2,31,22,-22,41,31,7,-49,-16,44,16,-2,-14
対前年増減数／男女計／令和３年平均,3,-3,61,26,11,10,0,24,-13,-11,2,39,-15,-8
対前年増減数／男女計／令和４年平均,8,-20,71,-22,8,-4,-7,3,37,21,-35,40,3,-10
対前年増減数／男／平成31年・令和元年平均,-21,-6,14,-18,-5,19,-3,9,-8,9,15,-9,25,18
対前年増減数／男／令和２年平均,-17,-8,21,9,-12,15,15,1,-21,6,18,1,2,-3
対前年増減数／男／令和３年平均,-3,3,44,18,8,3,7,4,-15,-11,0,8,-18,-13
対前年増減数／男／令和４年平均,16,-14,52,-15,5,7,-5,2,10,3,-6,7,-4,-11
対前年増減数／女／平成31年・令和元年平均,5,10,39,-2,10,-15,5,5,-13,0,28,14,12,-7
対前年増減数／女／令和２年平均,-10,5,10,13,-9,26,16,5,-27,-23,25,16,-4,-11
対前年増減数／女／令和３年平均,7,-5,18,8,2,7,-8,21,2,2,3,31,2,7
対前年増減数／女／令和４年平均,-9,-6,19,-7,2,-11,-1,2,27,17,-28,33,8,0
,,,,,,,,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,
