区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12453,12476,-23,-0.2,6074,6089,-15,-0.2,6379,6387,-8,-0.1
〔就業状態〕／労働力人口,8536,8490,46,0.5,4690,4667,23,0.5,3846,3824,22,0.6
〔就業状態〕／労働力人口／就業者数,8319,8228,91,1.1,4563,4502,61,1.4,3756,3726,30,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,601,577,24,4.2,414,413,1,0.2,186,164,22,13.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,84,84,0,0,13,11,2,18.2,71,72,-1,-1.4
〔就業状態〕／労働力人口／就業者数／雇用者数,7593,7514,79,1.1,4108,4046,62,1.5,3485,3468,17,0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4636,4655,-19,-0.4,2839,2832,7,0.2,1797,1823,-26,-1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2446,2361,85,3.6,877,828,49,5.9,1569,1533,36,2.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1625,1566,59,3.8,474,443,31,7,1151,1123,28,2.5
〔就業状態〕／労働力人口／完全失業者数,217,263,-46,-17.5,127,165,-38,-23,90,98,-8,-8.2
〔就業状態〕／非労働力人口,3908,3979,-71,-1.8,1377,1419,-42,-3,2530,2559,-29,-1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,8319,8228,91,1.1,4563,4502,61,1.4,3756,3726,30,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7957,7904,53,0.7,4427,4377,50,1.1,3530,3527,3,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6806,6819,-13,-0.2,4184,4174,10,0.2,2622,2644,-22,-0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,298,251,47,18.7,144,108,36,33.3,154,143,11,7.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,853,835,18,2.2,99,95,4,4.2,754,740,14,1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,362,323,39,12.1,137,124,13,10.5,226,199,27,13.6
