年,東京都／男女計(％、ポイント）,東京都／男(％、ポイント）,東京都／女(％、ポイント）,南関東／男女計(％、ポイント）,南関東／男(％、ポイント）,南関東／女(％、ポイント）,全国／男女計(％、ポイント）,全国／男(％、ポイント）,全国／女(％、ポイント）
実数／平成24年平均,4.5,4.6,4.5,4.4,4.5,4.3,4.3,4.6,4
実数／平成25年平均,4.2,4.3,4,4.1,4.2,3.9,4,4.3,3.7
実数／平成26年平均,3.8,3.9,3.6,3.5,3.6,3.4,3.6,3.7,3.4
実数／平成27年平均,3.6,3.8,3.2,3.3,3.5,3.1,3.4,3.6,3.1
実数／平成28年平均,3.2,3.2,3.3,3.2,3.3,3.1,3.1,3.3,2.8
実数／平成29年平均,2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
実数／平成30年平均,2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
実数／平成31年・令和元年平均,2.3,2.5,2.2,2.3,2.4,2.1,2.4,2.5,2.2
実数／令和２年平均,3.1,3.3,2.8,3,3.2,2.7,2.8,3,2.5
実数／令和３年平均,3,3.4,2.5,3,3.3,2.6,2.8,3.1,2.5
実数／令和４年平均,2.6,2.8,2.5,2.7,2.8,2.5,2.6,2.8,2.4
対前年増減数／平成25年平均,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3
対前年増減数／平成26年平均,-0.4,-0.4,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-0.3
対前年増減数／平成27年平均,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
対前年増減数／平成28年平均,-0.4,-0.6,0.1,-0.1,-0.2,0,-0.3,-0.3,-0.3
対前年増減数／平成29年平均,-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年増減数／平成30年平均,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年増減数／平成31年・令和元年平均,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.1,0
対前年増減数／令和２年平均,0.8,0.8,0.6,0.7,0.8,0.6,0.4,0.5,0.3
対前年増減数／令和３年平均,-0.1,0.1,-0.3,0,0.1,-0.1,0,0.1,0
対前年増減数／令和４年平均,-0.4,-0.6,0,-0.3,-0.5,-0.1,-0.2,-0.3,-0.1
,,,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,
