年・期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成27年平均,3.6,3.8,3.2,3.3,3.5,3.1,3.4,3.6,3.1
完全失業率／平成28年平均,3.2,3.2,3.3,3.2,3.3,3.1,3.1,3.3,2.8
完全失業率／平成29年平均,2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
完全失業率／平成30年平均,2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年平均,2.3,2.5,2.2,2.3,2.4,2.1,2.4,2.5,2.2
完全失業率／令和２年平均,3.1,3.3,2.8,3,3.2,2.7,2.8,3,2.5
完全失業率／令和３年平均,3,3.4,2.5,3,3.3,2.6,2.8,3.1,2.5
完全失業率／平成29年１～３月平均,3,3,3,3,3,2.9,2.9,3.1,2.6
完全失業率／平成29年４～６月平均,2.9,3,2.7,3.1,3.1,3.2,3,3,3
完全失業率／平成29年７～９月平均,2.7,2.8,2.5,2.8,3,2.6,2.8,3,2.6
完全失業率／平成29年10～12月平均,2.9,3.2,2.5,2.8,2.9,2.6,2.6,2.8,2.5
完全失業率／平成30年１～３月平均,2.7,2.8,2.6,2.5,2.6,2.4,2.5,2.6,2.3
完全失業率／平成30年４～６月平均,2.9,3,2.7,2.6,2.7,2.5,2.5,2.6,2.3
完全失業率／平成30年７～９月平均,2.4,2.9,1.9,2.5,2.7,2.1,2.5,2.6,2.3
完全失業率／平成30年10～12月平均,2.3,2.2,2.4,2.3,2.4,2.1,2.4,2.6,2.1
完全失業率／平成31年・令和元年１～３月平均,2.3,2.4,2.3,2.4,2.5,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年４～６月平均,2.4,2.5,2.2,2.4,2.5,2.3,2.4,2.5,2.3
完全失業率／平成31年・令和元年７～９月平均,2.2,2.4,1.9,2.3,2.5,2,2.3,2.5,2.1
完全失業率／平成31年・令和元年10～12月平均,2.4,2.6,2.2,2.1,2.2,2,2.2,2.4,2
完全失業率／令和２年１～３月平均,2.6,3,2.1,2.4,2.6,2.1,2.4,2.6,2.2
完全失業率／令和２年４～６月平均,3.2,3.6,2.8,3.2,3.4,2.8,2.8,3.1,2.5
完全失業率／令和２年７～９月平均,3.5,3.5,3.6,3.3,3.4,3.2,3,3.1,2.8
完全失業率／令和２年10～12月平均,3,3.2,2.8,3.1,3.4,2.6,2.9,3.3,2.5
完全失業率／令和３年１～３月平均,2.7,3,2.5,2.8,3,2.6,2.8,3,2.6
完全失業率／令和３年４～６月平均,3.8,4.6,2.8,3.3,3.7,2.8,3,3.3,2.7
完全失業率／令和３年７～９月平均,3.1,3.5,2.6,3.1,3.4,2.7,2.8,3,2.5
完全失業率／令和３年10～12月平均,2.4,2.5,2.2,2.8,3.1,2.5,2.6,2.9,2.3
完全失業率／令和４年１～３月平均,2.8,3,2.6,2.8,2.9,2.6,2.7,2.9,2.4
対前年・対前年同期増減数／平成27年平均,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
対前年・対前年同期増減数／平成28年平均,-0.4,-0.6,0.1,-0.1,-0.2,0,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成29年平均,-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成30年平均,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年・対前年同期増減数／平成31年・令和元年平均,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.1,0
対前年・対前年同期増減数／令和２年平均,0.8,0.8,0.6,0.7,0.8,0.6,0.4,0.5,0.3
対前年・対前年同期増減数／令和３年平均,-0.1,0.1,-0.3,0,0.1,-0.1,0,0.1,0
対前年・対前年同期増減数／平成29年１～３月平均,-0.5,-0.2,-0.9,-0.3,-0.4,-0.3,-0.3,-0.4,-0.2
対前年・対前年同期増減数／平成29年４～６月平均,-0.6,-0.3,-0.9,-0.2,-0.1,-0.2,-0.2,-0.3,-0.2
対前年・対前年同期増減数／平成29年７～９月平均,0,0,-0.1,-0.3,-0.3,-0.2,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成29年10～12月平均,-0.4,-0.3,-0.5,-0.4,-0.5,-0.2,-0.3,-0.4,-0.1
対前年・対前年同期増減数／平成30年１～３月平均,-0.3,-0.2,-0.4,-0.5,-0.4,-0.5,-0.4,-0.5,-0.3
対前年・対前年同期増減数／平成30年４～６月平均,0,0,0,-0.5,-0.4,-0.7,-0.5,-0.4,-0.7
対前年・対前年同期増減数／平成30年７～９月平均,-0.3,0.1,-0.6,-0.3,-0.3,-0.5,-0.3,-0.4,-0.3
対前年・対前年同期増減数／平成30年10～12月平均,-0.6,-1,-0.1,-0.5,-0.5,-0.5,-0.2,-0.2,-0.4
対前年・対前年同期増減数／平成31年・令和元年１～３月平均,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,-0.1,0,-0.1
対前年・対前年同期増減数／平成31年・令和元年４～６月平均,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.1,-0.1,0
対前年・対前年同期増減数／平成31年・令和元年７～９月平均,-0.2,-0.5,0,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2
対前年・対前年同期増減数／平成31年・令和元年10～12月平均,0.1,0.4,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1
対前年・対前年同期増減数／令和２年１～３月平均,0.3,0.6,-0.2,0,0.1,-0.2,0,0,0
対前年・対前年同期増減数／令和２年４～６月平均,0.8,1.1,0.6,0.8,0.9,0.5,0.4,0.6,0.2
対前年・対前年同期増減数／令和２年７～９月平均,1.3,1.1,1.7,1,0.9,1.2,0.7,0.6,0.7
対前年・対前年同期増減数／令和２年10～12月平均,0.6,0.6,0.6,1,1.2,0.6,0.7,0.9,0.5
対前年・対前年同期増減数／令和３年１～３月平均,0.1,0,0.4,0.4,0.4,0.5,0.4,0.4,0.4
対前年・対前年同期増減数／令和３年４～６月平均,0.6,1,0,0.1,0.3,0,0.2,0.2,0.2
対前年・対前年同期増減数／令和３年７～９月平均,-0.4,0,-1,-0.2,0,-0.5,-0.2,-0.1,-0.3
対前年・対前年同期増減数／令和３年10～12月平均,-0.6,-0.7,-0.6,-0.3,-0.3,-0.1,-0.3,-0.4,-0.2
対前年・対前年同期増減数／令和４年１～３月平均,0.1,0,0.1,0,-0.1,0,-0.1,-0.1,-0.2
,,,,,,,,,
東京の労働力統計データ（令和４年１～３月期平均）,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,
