区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12457,12467,-10,-0.1,6080,6086,-6,-0.1,6377,6381,-4,-0.1
〔就業状態〕／労働力人口,8452,8411,41,0.5,4635,4652,-17,-0.4,3817,3759,58,1.5
〔就業状態〕／労働力人口／就業者数,8212,8180,32,0.4,4494,4514,-20,-0.4,3718,3666,52,1.4
〔就業状態〕／労働力人口／就業者数／自営業主数,598,583,15,2.6,390,400,-10,-2.5,208,182,26,14.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,86,0,0,27,16,11,68.8,59,70,-11,-15.7
〔就業状態〕／労働力人口／就業者数／雇用者数,7475,7454,21,0.3,4052,4071,-19,-0.5,3423,3383,40,1.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4579,4562,17,0.4,2789,2850,-61,-2.1,1789,1712,77,4.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2253,2316,-63,-2.7,777,783,-6,-0.8,1475,1533,-58,-3.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1475,1560,-85,-5.4,399,440,-41,-9.3,1077,1120,-43,-3.8
〔就業状態〕／労働力人口／完全失業者数,240,231,9,3.9,140,138,2,1.4,99,93,6,6.5
〔就業状態〕／非労働力人口,3994,4039,-45,-1.1,1443,1426,17,1.2,2551,2613,-62,-2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,8212,8180,32,0.4,4494,4514,-20,-0.4,3718,3666,52,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7849,7827,22,0.3,4368,4380,-12,-0.3,3481,3447,34,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6778,6673,105,1.6,4152,4145,7,0.2,2626,2529,97,3.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,244,273,-29,-10.6,108,133,-25,-18.8,136,140,-4,-2.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,827,881,-54,-6.1,108,102,6,5.9,719,778,-59,-7.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,364,353,11,3.1,126,134,-8,-6,237,219,18,8.2
〔就業者の主な産業別内訳〕／建設業,476,444,32,7.2,387,351,36,10.3,90,93,-3,-3.2
〔就業者の主な産業別内訳〕／製造業,708,701,7,1,495,486,9,1.9,212,214,-2,-0.9
〔就業者の主な産業別内訳〕／情報通信業,922,871,51,5.9,632,592,40,6.8,290,279,11,3.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,409,421,-12,-2.9,314,307,7,2.3,95,114,-19,-16.7
〔就業者の主な産業別内訳〕／卸売業，小売業,1340,1328,12,0.9,633,635,-2,-0.3,707,692,15,2.2
〔就業者の主な産業別内訳〕／金融業，保険業,295,300,-5,-1.7,146,155,-9,-5.8,149,145,4,2.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,297,289,8,2.8,184,182,2,1.1,112,107,5,4.7
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,626,549,77,14,343,330,13,3.9,283,219,64,29.2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,474,473,1,0.2,205,216,-11,-5.1,268,257,11,4.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,328,318,10,3.1,131,134,-3,-2.2,198,184,14,7.6
〔就業者の主な産業別内訳〕／教育，学習支援業,373,451,-78,-17.3,161,205,-44,-21.5,212,246,-34,-13.8
〔就業者の主な産業別内訳〕／医療，福祉,883,887,-4,-0.5,227,250,-23,-9.2,656,637,19,3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,603,606,-3,-0.5,343,349,-6,-1.7,260,257,3,1.2
〔雇用者の主な産業別内訳〕／建設業,416,387,29,7.5,330,297,33,11.1,86,91,-5,-5.5
〔雇用者の主な産業別内訳〕／製造業,688,670,18,2.7,485,469,16,3.4,203,202,1,0.5
〔雇用者の主な産業別内訳〕／情報通信業,872,808,64,7.9,601,552,49,8.9,272,256,16,6.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,378,394,-16,-4.1,283,283,0,0,95,111,-16,-14.4
〔雇用者の主な産業別内訳〕／卸売業，小売業,1280,1266,14,1.1,605,603,2,0.3,675,663,12,1.8
〔雇用者の主な産業別内訳〕／金融業，保険業,289,296,-7,-2.4,143,152,-9,-5.9,146,143,3,2.1
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,258,256,2,0.8,164,164,0,0,94,92,2,2.2
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,484,447,37,8.3,264,268,-4,-1.5,220,178,42,23.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,413,404,9,2.2,171,176,-5,-2.8,242,229,13,5.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,242,248,-6,-2.4,85,101,-16,-15.8,157,147,10,6.8
〔雇用者の主な産業別内訳〕／教育，学習支援業,341,418,-77,-18.4,155,192,-37,-19.3,186,226,-40,-17.7
〔雇用者の主な産業別内訳〕／医療，福祉,842,837,5,0.6,198,219,-21,-9.6,644,618,26,4.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,564,565,-1,-0.2,317,321,-4,-1.2,248,244,4,1.6
〔非農林業雇用者の従業者規模別内訳〕／総数,7465,7449,16,0.2,4044,4067,-23,-0.6,3421,3382,39,1.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1888,1785,103,5.8,1003,959,44,4.6,885,826,59,7.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2161,2204,-43,-2,1166,1175,-9,-0.8,995,1029,-34,-3.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2873,2823,50,1.8,1569,1584,-15,-0.9,1303,1239,64,5.2
〔完全失業率（年齢階級別）(%)〕／総数,2.8,2.7,0.1,…,3,3,0,…,2.6,2.5,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.5,5.5,-1,…,6.5,8.4,-1.9,…,3,2.9,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4,3.6,0.4,…,3.7,3.9,-0.2,…,4.3,3.4,0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.4,1.9,0.5,…,2.4,2.5,-0.1,…,2.3,1.1,1.2,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.3,2.5,-0.2,…,2.3,2.1,0.2,…,2.2,3,-0.8,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.5,2,0.5,…,3.2,1.8,1.4,…,1.5,2.4,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.1,2.2,-0.1,…,2.2,2.5,-0.3,…,1.6,1.9,-0.3,…
〔就業率（%）〕／総数,65.9,65.6,0.3,…,73.9,74.2,-0.3,…,58.3,57.5,0.8,…
〔労働力人口比率(%)〕／総数,67.8,67.5,0.3,…,76.2,76.4,-0.2,…,59.9,58.9,1,…
,,,,,,,,,,,,
東京の労働力統計データ（令和４年１～３月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数　　,,,,,,,,,,,,
令和４年１～３月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
