区分・年,実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成24年平均,5962,644,954,1111,847,811,1595,24,-10,-16,3,28,-29,47,0.4,-1.5,-1.6,0.3,3.4,-3.5,3
15歳以上人口／平成25年平均,5989,636,944,1106,881,773,1648,27,-8,-10,-5,34,-38,53,0.5,-1.2,-1,-0.5,4,-4.7,3.3
15歳以上人口／平成26年平均,6026,630,937,1100,916,744,1699,37,-6,-7,-6,35,-29,51,0.6,-0.9,-0.7,-0.5,4,-3.8,3.1
15歳以上人口／平成27年平均,6072,627,933,1093,951,727,1741,46,-3,-4,-7,35,-17,42,0.8,-0.5,-0.4,-0.6,3.8,-2.3,2.5
15歳以上人口／平成28年平均,6144,672,921,1082,985,719,1766,72,45,-12,-11,34,-8,25,1.2,7.2,-1.3,-1,3.6,-1.1,1.4
15歳以上人口／平成29年平均,6197,685,919,1063,1021,720,1789,53,13,-2,-19,36,1,23,0.9,1.9,-0.2,-1.8,3.7,0.1,1.3
15歳以上人口／平成30年平均,6250,699,919,1042,1055,730,1805,53,14,0,-21,34,10,16,0.9,2,0,-2,3.3,1.4,0.9
15歳以上人口／平成31年・令和元年平均,6303,705,927,1024,1082,748,1817,53,6,8,-18,27,18,12,0.8,0.9,0.9,-1.7,2.6,2.5,0.7
15歳以上人口／令和２年平均,6342,695,942,1008,1096,773,1829,39,-10,15,-16,14,25,12,0.6,-1.4,1.6,-1.6,1.3,3.3,0.7
15歳以上人口／令和３年平均,6387,694,963,1000,1120,792,1818,45,-1,21,-8,24,19,-11,0.7,-0.1,2.2,-0.8,2.2,2.5,-0.6
15歳以上人口／令和４年平均,6382,682,959,980,1122,819,1820,-5,-12,-4,-20,2,27,2,-0.1,-1.7,-0.4,-2,0.2,3.4,0.1
労働力人口／平成24年平均,3078,288,722,750,600,456,263,-6,-2,-17,4,16,-11,3,-0.2,-0.7,-2.3,0.5,2.7,-2.4,1.2
労働力人口／平成25年平均,3160,296,730,775,639,441,278,82,8,8,25,39,-15,15,2.7,2.8,1.1,3.3,6.5,-3.3,5.7
労働力人口／平成26年平均,3247,292,747,794,676,434,303,87,-4,17,19,37,-7,25,2.8,-1.4,2.3,2.5,5.8,-1.6,9
労働力人口／平成27年平均,3274,286,734,791,720,438,306,27,-6,-13,-3,44,4,3,0.8,-2.1,-1.7,-0.4,6.5,0.9,1
労働力人口／平成28年平均,3338,327,752,777,753,444,286,64,41,18,-14,33,6,-20,2,14.3,2.5,-1.8,4.6,1.4,-6.5
労働力人口／平成29年平均,3442,339,758,780,784,464,316,104,12,6,3,31,20,30,3.1,3.7,0.8,0.4,4.1,4.5,10.5
労働力人口／平成30年平均,3591,374,765,792,823,485,351,149,35,7,12,39,21,35,4.3,10.3,0.9,1.5,5,4.5,11.1
労働力人口／平成31年・令和元年平均,3670,389,773,797,869,501,342,79,15,8,5,46,16,-9,2.2,4,1,0.6,5.6,3.3,-2.6
労働力人口／令和２年平均,3724,386,806,782,874,527,350,54,-3,33,-15,5,26,8,1.5,-0.8,4.3,-1.9,0.6,5.2,2.3
労働力人口／令和３年平均,3813,388,837,797,876,544,371,89,2,31,15,2,17,21,2.4,0.5,3.8,1.9,0.2,3.2,6
労働力人口／令和４年平均,3869,378,852,787,898,580,374,56,-10,15,-10,22,36,3,1.5,-2.6,1.8,-1.3,2.5,6.6,0.8
就業者数／平成24年平均,2940,268,689,716,573,437,258,0,-3,-13,10,17,-12,1,0,-1.1,-1.9,1.4,3.1,-2.7,0.4
