男女・年,15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成24年平均,11730,7406,7070,6905,5946,180,780,165,563,107,6358,   －,   －,   －,336,4321,776,1777,1769,63.1,60.3,4.5
実数／男女計／平成25年平均,11776,7475,7163,6992,6011,182,798,172,578,111,6432,3742,2164,1391,312,4294,749,1682,1863,63.5,60.8,4.2
実数／男女計／平成26年平均,11840,7599,7312,7117,6110,202,805,195,571,102,6594,3820,2228,1404,287,4236,737,1605,1893,64.2,61.8,3.8
実数／男女計／平成27年平均,11925,7675,7400,7203,6175,209,820,196,553,99,6701,3916,2250,1459,275,4245,723,1600,1922,64.4,62.1,3.6
実数／男女計／平成28年平均,12065,7768,7517,7329,6275,237,817,188,534,94,6843,4058,2248,1481,251,4292,734,1558,2000,64.4,62.3,3.2
実数／男女計／平成29年平均,12158,7908,7682,7467,6400,244,824,214,552,89,6997,4169,2281,1497,226,4244,744,1521,1979,65,63.2,2.9
実数／男女計／平成30年平均,12251,8133,7922,7678,6497,288,893,244,584,91,7180,4292,2386,1622,211,4110,690,1453,1968,66.4,64.7,2.6
実数／男女計／平成31年・令和元年平均,12343,8254,8061,7813,6620,313,880,248,608,80,7312,4397,2417,1619,193,4077,683,1375,2018,66.9,65.3,2.3
実数／男女計／令和２年平均,12409,8362,8104,7719,6612,274,833,385,610,76,7373,4513,2352,1541,258,4039,651,1298,2089,67.4,65.3,3.1
実数／男女計／令和３年平均,12476,8485,8231,7925,6798,275,852,306,588,83,7503,4625,2340,1551,255,3982,669,1298,2015,68,66,3
実数／男女計／令和４年平均,12462,8558,8332,8026,6875,294,856,306,604,86,7600,4656,2394,1580,226,3895,668,1313,1914,68.7,66.9,2.6
実数／男／平成24年平均,5768,4328,4130,4057,3899,93,65,72,409,20,3679,   －,   －,   －,198,1439,425,63,951,75,71.6,4.6
実数／男／平成25年平均,5787,4315,4130,4060,3905,90,64,70,414,22,3674,2502,764,387,185,1468,418,64,986,74.6,71.4,4.3
実数／男／平成26年平均,5815,4353,4183,4112,3947,100,65,71,396,18,3745,2538,787,389,170,1459,410,68,981,74.9,71.9,3.9
実数／男／平成27年平均,5853,4401,4232,4155,3983,107,65,77,394,17,3792,2595,789,403,169,1449,387,74,988,75.2,72.3,3.8
実数／男／平成28年平均,5920,4429,4288,4226,4041,118,67,62,379,22,3859,2672,774,403,142,1489,389,70,1030,74.8,72.4,3.2
実数／男／平成29年平均,5962,4466,4332,4261,4074,118,70,71,384,17,3909,2720,770,412,134,1494,399,72,1022,74.9,72.7,3
実数／男／平成30年平均,6000,4542,4418,4337,4107,147,82,81,405,16,3959,2772,814,462,123,1456,370,70,1016,75.7,73.6,2.7
実数／男／平成31年・令和元年平均,6040,4584,4470,4385,4151,154,80,86,425,17,3997,2784,839,462,113,1449,368,71,1010,75.9,74,2.5
実数／男／令和２年平均,6067,4638,4485,4339,4114,137,88,146,422,12,4028,2817,817,443,153,1426,363,71,991,76.4,73.9,3.3
実数／男／令和３年平均,6089,4672,4513,4401,4177,124,100,112,408,13,4061,2850,795,432,159,1413,365,79,969,76.7,74.1,3.4
実数／男／令和４年平均,6080,4689,4559,4450,4208,140,103,108,406,17,4111,2849,840,444,130,1387,367,83,937,77.1,75,2.8
