区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12486,12465,21,0.2,6091,6083,8,0.1,6395,6381,14,0.2
〔就業状態〕／労働力人口,8638,8608,30,0.3,4718,4729,-11,-0.2,3920,3879,41,1.1
〔就業状態〕／労働力人口／就業者数,8431,8403,28,0.3,4599,4609,-10,-0.2,3832,3794,38,1
〔就業状態〕／労働力人口／就業者数／自営業主数,610,603,7,1.2,410,410,0,0,199,193,6,3.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,85,81,4,4.9,14,17,-3,-17.6,70,64,6,9.4
〔就業状態〕／労働力人口／就業者数／雇用者数,7694,7672,22,0.3,4152,4155,-3,-0.1,3542,3517,25,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4666,4736,-70,-1.5,2910,2928,-18,-0.6,1756,1809,-53,-2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2516,2398,118,4.9,855,819,36,4.4,1662,1579,83,5.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1655,1597,58,3.6,460,466,-6,-1.3,1196,1130,66,5.8
〔就業状態〕／労働力人口／完全失業者数,206,205,1,0.5,118,120,-2,-1.7,88,85,3,3.5
〔就業状態〕／非労働力人口,3839,3851,-12,-0.3,1369,1352,17,1.3,2470,2500,-30,-1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,8431,8403,28,0.3,4599,4609,-10,-0.2,3832,3794,38,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8157,8133,24,0.3,4501,4516,-15,-0.3,3656,3618,38,1.1
