男女・年,専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／令和２年平均,1961,2213,1161,893,469,490,917
実数／男女計／令和３年平均,2058,2261,1169,896,469,457,920
実数／男女計／令和４年平均,2099,2326,1150,946,466,442,902
実数／男／令和２年平均,1140,921,688,340,317,299,781
実数／男／令和３年平均,1188,920,695,331,318,280,780
実数／男／令和４年平均,1236,952,685,343,306,264,773
実数／女／令和２年平均,821,1292,473,553,152,191,136
実数／女／令和３年平均,870,1340,474,566,151,177,140
実数／女／令和４年平均,863,1374,466,604,160,177,130
対前年増減数／男女計／令和３年平均,97,48,8,3,0,-33,3
対前年増減数／男女計／令和４年平均,41,65,-19,50,-3,-15,-18
対前年増減数／男／令和３年平均,48,-1,7,-9,1,-19,-1
対前年増減数／男／令和４年平均,48,32,-10,12,-12,-16,-7
対前年増減数／女／令和３年平均,49,48,1,13,-1,-14,4
対前年増減数／女／令和４年平均,-7,34,-8,38,9,0,-10
,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,
第 ６ 表　主な職業別就業者数,,,,,,,
注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）には、「管理的職業従事者」、「保安職業従事者」、「農林漁業従事者」、「輸送・機械運転従事者」、「建設・採掘従事者」及び「分類不能の職業」が含まれている。,,,,,,,
