区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12462,12476,-14,-0.1,6080,6089,-9,-0.1,6382,6387,-5,-0.1
〔就業状態〕／労働力人口,8558,8485,73,0.9,4689,4672,17,0.4,3869,3813,56,1.5
〔就業状態〕／労働力人口／就業者数,8332,8231,101,1.2,4559,4513,46,1,3773,3718,55,1.5
〔就業状態〕／労働力人口／就業者数／自営業主数,604,588,16,2.7,406,408,-2,-0.5,198,180,18,10
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,83,3,3.6,17,13,4,30.8,68,70,-2,-2.9
〔就業状態〕／労働力人口／就業者数／雇用者数,7600,7503,97,1.3,4111,4061,50,1.2,3489,3442,47,1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4656,4625,31,0.7,2849,2850,-1,0,1806,1775,31,1.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2394,2340,54,2.3,840,795,45,5.7,1554,1544,10,0.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1580,1551,29,1.9,444,432,12,2.8,1136,1119,17,1.5
〔就業状態〕／労働力人口／完全失業者数,226,255,-29,-11.4,130,159,-29,-18.2,96,96,0,0
〔就業状態〕／非労働力人口,3895,3982,-87,-2.2,1387,1413,-26,-1.8,2508,2569,-61,-2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,8332,8231,101,1.2,4559,4513,46,1,3773,3718,55,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8026,7925,101,1.3,4450,4401,49,1.1,3575,3524,51,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6875,6798,77,1.1,4208,4177,31,0.7,2667,2622,45,1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,294,275,19,6.9,140,124,16,12.9,155,151,4,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,856,852,4,0.5,103,100,3,3,753,751,2,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,306,306,0,0,108,112,-4,-3.6,198,194,4,2.1
〔就業者の主な産業別内訳〕／建設業,430,421,9,2.1,351,335,16,4.8,79,86,-7,-8.1
〔就業者の主な産業別内訳〕／製造業,667,685,-18,-2.6,469,482,-13,-2.7,198,203,-5,-2.5
〔就業者の主な産業別内訳〕／情報通信業,973,902,71,7.9,670,616,54,8.8,304,286,18,6.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,383,402,-19,-4.7,293,304,-11,-3.6,91,99,-8,-8.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1302,1294,8,0.6,648,642,6,0.9,654,652,2,0.3
〔就業者の主な産業別内訳〕／金融業，保険業,352,354,-2,-0.6,179,170,9,5.3,173,183,-10,-5.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,295,297,-2,-0.7,171,174,-3,-1.7,124,123,1,0.8
