Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,備考
都立合計,4451,59,2261,1,26,0,3341,15,185,17,52,97,2,15,1,10523,365,641,60,-,16,2,1084,-,-,-,-,373,88,8,6,1,0,1,0,0,3,1,0,0,1,0,0,8,0,有,399,1766,653,2,1,78,0,41,0,12,0,7,0,-,0,8,0,-,333,5507,2,88,50,5980,176,1233,0,11,20,1440,125,2745,0,14,0,2884,
千代田区,0,20,390,0,0,0,11,190,34,0,2,0,0,0,0,647,0,0,0,0,0,1,1,0,16,7,21,18,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0,8,0,有,33,51,64,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,146,118,0,12,10,286,0,0,0,0,0,0,0,101,0,0,0,101,
中央区,0,0,289,0,0,0,？,0,138,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,11,3,472,612,？,？,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,有,98,196,98,2,0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ｂ蔵書数のうち「その他」は朗読ＣＤ
港区,737,312,2406,0,0,0,434,98,38,0,0,0,0,17,55,4097,0,0,0,0,7,0,7,-,7,59,-,32,9,2,2,0,0,0,1,0,1,1,1,-,-,-,0,8,1,有,108,1685,108,4,0,11,0,11,0,9,0,9,2,10,0,0,0,0,2,927,0,0,0,929,0,501,0,0,0,501,0,933,0,0,0,933,
新宿区（戸山）,559,0,116,0,0,0,431,13,138,0,32,45,0,112,0,1446,0,46,0,0,48,0,94,31,17,4,45,123,4,4,3,1,2,2,0,0,6,4,1,0,0,0,0,18,3,有,105,210,105,2,2,8,0,32,0,13,2,34,2,10,0,0,0,0,483,2328,5,7,0,2823,15,488,0,0,0,503,211,728,0,7,0,946,・国立国会図書館の視覚障害者等用データ送信サービスに参加し、４５タイトルの蔵書提供を行った。平成２８年度分ダウンロード数の合計は６，００５回であった。
文京区,12,0,223,0,0,0,67,0,322,0,0,0,0,0,0,624,200,＊,＊,0,0,0,200,0,119,0,0,614,？,？,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,無,4,18,4,1,0,4,0,51,0,0,0,20,0,0,0,42,0,0,276,208,0,47,0,531,212,29,0,0,0,241,12,118,0,0,0,130,
台東区,730,＊,＊,0,0,0,561,＊,＊,0,0,0,0,0,0,1291,279,＊,＊,0,0,0,279,0,0,64,0,47,？,20,0,4,0,0,0,0,0,0,0,0,0,0,0,42,0,有,58,91,116,1,0,13,0,13,0,13,0,13,0,13,0,0,0,0,32,514,0,0,0,546,2,0,0,0,0,2,0,588,0,0,0,588,
墨田区,207,1,0,0,0,0,0,0,0,0,212,67,0,0,0,487,337,1,0,0,0,0,338,835,0,17,0,182,＊,＊,2,3,0,13,0,0,1,0,1,1,2,？,3,3,1,有,341,630,341,4,2,28,1,42,1,10,1,10,1,10,0,20,0,7,360,2635,0,307,5537,8839,0,1364,0,4,0,1368,68,745,0,15,0,828,
江東区,1702,50,16,0,-,-,335,35,88,-,-,-,0,-,-,2226,245,＊,＊,-,-,2,247,-,？,？,-,162,2,0,0,12,2,0,0,0,2,-,-,2,2,-,0,13,5,有,529,1714,529,9,0,61,0,61,0,？,0,？,0,？,0,40,0,？,1289,2351,-,252,-,3892,6,117,-,0,-,123,466,924,-,13,-,1403,
品川区,820,79,651,0,0,0,559,？,489,0,0,129,0,0,0,2727,145,74,＊,0,0,2,221,55,0,744,-,71,17,1,1,2,1,4,0,0,1,0,1,1,1,1,1,6,2,有,50,100,50,1,0,3,-,-,-,-,2,50,2,50,0,16,0,16,75,4700,5,196,0,4976,3,151,0,0,148,302,12,2917,0,72,0,3001,
目黒区,955,61,352,0,0,0,484,37,116,0,11,105,0,4,1,2126,21,139,0,1,4,3,168,0,32,0,187,128,73,3,0,12,2,0,0,0,0,3,1,3,0,0,1,2,0,有,273,547,273,4,3,18,0,25,1,25,0,25,0,25,0,22,0,22,6,2518,？,42,44,2610,33,594,0,0,0,627,0,2353,0,20,0,2373,・図書の貸出数はタイトル数で数えられないので、延べ貸出点数で計上。／・テープ図書は製作を中止し、ＤＡＩＳＹ再生機を所有しない障害者向けにはオーディオＣＤ形式で作成している。貸出しについてテープとオーディオＣＤを区別してカウントできないため、テープ貸出数にはオーディオＣＤ分も含まれている。／・個人貸出のその他の項目は個別項目に出ていない障害者サービス資料（布の絵本）の個人貸出し数を記入した。
大田区,2231,3,144,475,0,0,94,38,2,0,0,0,285,0,0,3272,0,71,2,0,0,0,73,728,0,0,0,402,295,10,0,1,0,33,0,0,1,0,0,0,1,0,0,6,0,有,369,738,369,8,0,54,0,54,0,54,0,54,0,54,0,0,0,0,483,3308,0,0,0,3791,56,1541,0,0,0,1597,279,526,0,0,0,805,
世田谷区,538,0,54,0,3,0,109,45,79,0,2,55,1,5,0,891,2,57,1513,0,6,3,1581,0,16,24,0,571,184,233,0,41,0,0,0,0,1,0,0,0,1,0,0,0,0,無,257,494,257,5,0,16,0,33,0,33,0,0,0,0,0,0,0,0,18,707,7,10,0,742,0,38,0,0,0,38,0,510,0,0,0,510,
渋谷区,941,0,444,0,0,0,270,0,348,0,0,60,0,0,2,2065,60,242,977,0,0,0,1279,0,0,0,0,81,0,63,0,2,0,0,0,0,2,0,0,0,0,2,0,8,0,無,20,41,20,3,0,34,0,34,0,34,0,34,0,34,0,28,0,28,230,287,0,1,0,518,2,72,0,4,0,78,141,65,0,1,4,211,
中野区,12,2,467,0,0,0,2,140,458,0,1,52,0,0,0,1134,0,0,0,0,3,2,5,0,0,0,0,143,111,0,0,0,0,3,0,0,0,0,0,0,6,0,0,6,0,有,87,174,87,3,0,10,-,-,-,-,-,-,-,-,-,-,-,-,9,390,2,13,0,414,0,1,0,0,0,1,4,29,0,0,0,33,
杉並区,262,0,1480,895,0,0,24,0,0,0,0,0,169,0,0,2830,0,0,1402,0,0,2,1404,1128,0,0,1351,153,40,＊,0,2,0,0,0,1,1,0,0,0,0,0,0,6,0,有,422,844,422,10,0,21,0,40,0,40,0,40,0,40,0,0,0,0,132,1316,0,24,82,1554,4,457,0,0,0,461,96,1202,0,0,0,1298,
豊島区,1347,2,0,0,0,0,1037,2592,15,0,？,0,3,0,8,5004,844,976,36,0,0,3,1859,50,？,37,0,630,0,5,5,2,0,0,2,0,2,0,0,0,0,5,0,15,0,有,135,270,135,3,0,32,0,50,2,27,0,10,0,10,0,47,1,47,377,41061,？,2966,0,44404,57,3950,？,132,0,4139,332,3519,？,51,0,3902,Ｂ蔵書数・録音資料マルチメディアＤＡＩＳＹ図書寄贈は、ＤＡＩＳＹ図書寄贈に含む。・点字絵本は点字図書に含む。・拡大写本にはテキストＤＡＩＳＹ図書を含む。／Ｄ職員数・専任（正規職員）には専任の非常勤職員を含む。
北区,0,5,0,0,0,0,297,＊,0,0,237,0,0,0,0,539,603,＊,0,0,2,0,605,0,114,41,-,127,17,2,0,18,0,7,0,0,0,0,0,0,0,1,0,15,0,無,249,530,172,5,0,33,0,5,0,8,0,5,0,3,0,38,0,38,0,3580,0,77,0,3657,0,108,0,5,-,113,0,3039,0,17,0,3056,Ｇ対面音訳実施館のうち１は地域振興室
荒川区,1425,＊,＊,14,＊,＊,345,＊,＊,＊,＊,＊,45,＊,＊,1829,1041,＊,＊,0,＊,＊,1041,15,0,0,206,125,0,0,0,6,0,0,0,0,10,0,0,3,2,0,1,14,0,有,30,106,34,2,2,3,0,12,0,12,0,12,0,12,0,2,0,2,108,1556,？,18,32,1714,＊,＊,＊,＊,＊,57,＊,＊,＊,＊,＊,1292,
板橋区,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,106,241,0,6,4,357,0,60,18,9,63,21,13,0,4,0,13,0,0,2,0,0,0,0,0,0,9,0,無,480,955,480,7,0,29,0,14,0,0,0,0,0,0,0,0,0,0,21,28,0,48,0,97,0,0,0,47,0,47,0,0,0,0,0,0,
練馬区,1964,93,967,135,18,134,333,91,398,0,0,0,280,16,392,4821,85,379,1817,34,6,310,2631,0,0,1157,207,305,0,156,0,5,0,0,0,0,4,＊,＊,4,＊,＊,0,0,0,無,1095,2190,1095,6,0,84,0,56,0,56,0,31,0,31,0,0,0,0,1275,3986,＊,248,6,5515,115,2480,0,9,＊,2604,457,1204,0,1,0,1662,
足立区,128,0,3915,0,53,16,34,103,70,0,0,0,24,179,173,4695,0,2,0,0,0,0,2,0,0,0,0,197,12,＊,0,6,0,0,0,0,1,0,0,0,0,0,1,13,0,有,2,3,2,1,0,8,0,8,0,8,0,8,0,8,0,0,0,0,734,4435,-,50,-,5219,2,2,-,？,-,4,403,2985,-,50,-,3438,
葛飾区,81,-,-,0,0,0,315,0,3,22,6,84,0,0,52,563,1407,-,-,0,0,0,1407,0,230,0,0,1013,916,-,0,9,0,0,0,0,0,0,1,0,12,17,1,5,4,有,136,301,174,4,34,34,0,34,0,34,0,34,0,34,0,22,0,22,4,537,0,103,0,644,1,223,0,38,0,262,1,95,0,0,1,97,
江戸川区,48,151,335,0,1,0,12,92,22,0,0,55,0,10,0,726,0,278,31,0,11,3,323,0,76,27,6,109,0,0,0,0,4,1,0,0,-,？,1,-,2,-,2,7,0,無,181,？,？,4,0,？,0,0,0,0,0,0,0,0,0,0,0,0,458,6387,3,477,650,7975,0,0,0,0,0,0,391,5861,3,354,8,6617,
区合計,14699,780,12249,1519,75,150,5754,3475,2758,22,503,652,807,343,683,44469,5269,2371,6019,35,93,335,14122,2842,698,2202,2504,5908,1712,512,13,133,15,78,3,1,35,8,7,14,30,26,10,205,16,16,5062,11888,4935,91,43,515,1,582,4,376,5,396,7,344,0,278,1,182,6518,83877,22,4898,6361,101676,508,12116,0,239,148,13068,2873,28442,3,601,13,33224,
八王子市,0,9,0,0,0,0,30,4,0,0,0,0,0,0,0,43,0,32,0,0,0,0,32,0,0,0,0,181,＊,＊,0,2,0,0,0,6,0,0,0,0,0,0,1,3,0,有,308,824,778,4,0,324,0,40,0,31,0,28,0,112,0,7,0,7,234,1842,0,0,0,2076,0,1991,0,0,0,1991,52,2198,0,60,0,2310,
立川市,562,18,379,？,？,？,170,2,0,0,19,0,？,？,？,1150,116,139,637,？,？,？,892,0,？,48,42,67,？,？,3,2,0,8,0,0,1,0,1,0,1,2,0,5,0,有,37,72,37,1,0,1,0,74,0,50,0,22,0,22,0,26,0,26,290,2766,0,1,557,3614,11,90,0,1,44,146,244,2285,0,10,1,2540,
