自治体名,ホームページ,館名,電話番号,郵便番号,所在地,開館時間,休館日1,休館日2,座席数,備考,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,中央,03-5813-3740,120-0034,千住5-13-5,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","197
(194)",Ｃ・障資･障・ＣＤ・W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,伊興,03-3857-8501,121-0823,伊興2-4-22,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","32
(13)",W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,梅田,03-3840-4646,123-0851,梅田7-13-1,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","154
(49)",W〇・多T・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,興本,03-3889-0370,123-0844,興野1-18-38,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","66
(18)",W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,江北,03-3890-4488,123-0872,江北3-39-4,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","67
(20)",Ｃ・W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,(新田ｺﾐｭﾆﾃｨ),03-3912-1767,123-0865,新田2-2-2,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","34
(15)",W〇・多T,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,(江南ｺﾐｭﾆﾃｨ),03-3913-0460,120-0046,小台2-4-18,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","27
(2)",Ｃ・W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,佐野,03-3628-3275,121-0053,佐野2-43-5,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)","22
(40)",W〇・多T・乳・オ,,
足立区,https://www.city.adachi.tokyo.jp/bunka/library/,鹿浜,03-3857-6551,123-0864,鹿浜6-8-1,9AM～8PM,月末最後の平日(3月は休日等にかかわらず3月31日),"･月の中旬に館の点検
 整備のため1日休館
 (主に月曜日)",未定,C・W〇・多T・乳・オ,,
,,令和2年9月から令和3年7月中旬まで、改修工事のため休館予定,,,,,,,,,,
