Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考
東京都,"4,453",77,"2,261",1,25,0,"3,512",31,245,28,74,97,2,17,1,"10,824",376,665,60,0,16,2,"1,119",-,-,-,-,385,15,5,6,0,0,1,0,0,3,1,0,0,1,0,0,5,0,有,575,"1,667","1,356",2,1,99,0,40,0,12,0,7,-,-,-,8,-,-,170,"5,323",0,88,48,"5,629",144,"2,511",0,8,18,"2,681",15,"2,730",0,13,0,"2,758",1200/h,1500/h,3000/h,1200/h,-,285/枚（両面）,*,-,2,"20,711",
千代田区,0,5,173,0,0,0,30,?,?,0,0,0,0,0,0,208,0,55,0,0,0,18,73,0,0,19,258,27,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,有,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,0,22,0,527,0,0,0,0,0,0,1,？,0,0,0,1,1000/2h,-,-,-,-,-,-,－,有,0,"H：DAISYを自館製作しているが、外部に委託しているため構成人数は不明
I：貸出のDAISYは受入れ形態別でカウントしていないため、借受の貸出数は把握していない
L：障害者サービス用予算は特になし、資料費などから出している"
中央区（京橋）,0,0,289,0,0,0,?,0,139,0,0,0,0,0,0,428,0,0,0,0,0,27,27,0,14,4,465,568,?,?,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,有,85,170,85,2,0,9,0,9,0,9,0,9,0,9,0,1,0,0,93,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,2000/回,2000/h,－,1000/h,－,2000/回,－,－,無,520,
港区,737,313,"2,404",0,0,0,467,100,118,0,0,0,0,0,0,"4,139",0,0,0,0,9,0,9,0,7,57,0,33,22,11,1,0,0,0,0,0,2,0,2,1,0,0,0,12,0,有,102,153,102,2,0,16,0,4,0,0,0,2,0,7,0,0,0,0,31,264,0,0,0,295,0,597,0,0,0,597,0,553,0,0,0,553,800/h,1500/h,1200/h,1200/h,1200/h,－,－,－,有,"1,058",
新宿区（戸山）,561,0,116,0,0,0,567,14,161,0,40,45,11,138,1,"1,654",0,45,0,0,59,0,104,7,21,4,41,125,4,5,0,0,3,1,0,0,0,1,1,2,0,2,0,23,0,有,66,132,66,1,2,8,0,31,0,13,0,33,2,10,0,0,0,0,124,"2,527",46,2,116,"2,815",12,662,0,0,0,674,13,938,2,2,5,960,2000/回,1500/h,1000/h,1000/h,800/h,2000/回,－,１０００/回,有,"5,303","・【I　貸出・相互貸借】の個人貸出数について、テキストDAISY,テキストデータ利用数は”その他”に計上。
・国立国会図書館の視覚障害者等用データ送信サービスに参加し、30年度は58タイトルの蔵書提供を行った。一年間のダウンロード回数は合計7247回。なおテキストデータは5タイトル、ダウンロードは4回。
・点訳謝礼は購入した音楽CDに貼り付けるための点字シールの製作のみ。時間単位で計算しており、2000/1回（２ｈ）。"
文京区,21,0,222,0,0,0,84,0,413,0,0,0,0,0,0,740,218,*,0,0,0,0,218,0,122,0,-,670,?,?,0,3,0,19,0,0,0,0,0,0,10,0,0,0,0,無,47,110,79,2,0,?,0,51,0,0,0,20,0,?,0,42,0,?,238,231,0,50,-,519,171,38,0,0,0,209,12,134,0,0,-,146,0,2000/90m,*,*,*,25/枚,*,－,有,"1,747",
台東区,502,*,*,0,0,0,438,*,*,0,0,0,0,0,0,940,286,*,*,0,0,0,286,0,0,62,183,45,0,15,0,4,0,10,0,0,0,0,0,0,0,0,0,42,0,有,42,63,84,1,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,933,0,2,0,935,0,0,0,0,0,0,0,564,0,0,0,564,700/h,900/h,240/h,240/h,-,-,-,-,有,"1,048",
墨田区,171,2,0,0,0,0,38,1,0,0,228,61,0,0,0,501,174,35,0,0,0,0,209,792,2,17,27,219,93,*,3,2,2,24,0,0,1,0,1,1,2,?,2,7,0,有,419,754,390,3,5,46,0,46,0,0,0,3,0,0,0,12,0,?,108,"3,270",10,286,"6,251","9,925",0,"1,595",0,0,0,"1,595",59,"1,667",0,75,0,"1,801",750/h,750/h,750/h,750/h,750/h,50/枚,50/枚,０円/回,有,"2,780","Ⅰについては、タイトルで算出できないため、貸出数で算出
音訳者数は30年度の実数で計上　宅配ボランティア（無料）"
江東区,"1,702",50,16,0,-,-,354,41,121,-,-,-,0,-,-,"2,284",271,*,*,-,-,2,273,-,?,?,-,161,3,0,0,7,1,13,0,0,2,-,-,2,0,-,0,13,5,有,479,"1,529",479,8,-,59,0,59,0,?,0,?,0,?,0,41,0,?,866,"2,140",-,212,-,"3,218",0,132,-,0,-,132,219,771,-,3,-,993,1080/h,2750/90m,850/90ｍ,90/10ｍ,90/10ｍ,100/枚,*,－,有,"5,739",予算には、宅配サービス(来館困難者への配本サービス)のための予算を含む。
品川区,579,75,898,0,0,0,564,28,643,0,4,157,0,0,0,"2,948",164,82,*,0,0,2,248,55,0,762,-,99,21,4,1,2,0,17,0,0,1,0,1,0,1,0,0,8,2,有,40,122,108,1,0,27,0,61,0,61,3,61,3,61,0,16,0,16,51,"4,715",0,57,0,"4,823",2,132,0,0,165,299,0,"4,462",0,0,0,"4,462",－,－,－,15000/タイトル,3000/タイトル,50/頁,－,－,有,"2,100",
目黒区,955,61,351,0,0,0,525,26,108,0,30,130,0,4,1,"2,191",22,156,0,1,4,3,186,0,41,16,207,139,78,8,0,12,2,0,0,0,4,0,1,1,11,1,1,2,0,有,287,573,285,4,4,12,0,20,1,20,0,20,0,20,0,17,0,17,3,"2,907",50,12,44,"3,016",15,467,0,4,0,486,1,"2,758",0,9,0,"2,768",750/h,230/10m,80/10m,410/10m,"ＤＡＩＳＹ編集
に含む",130/枚,点訳に含む,－,有,"3,190","・図書の貸出数はタイトル数で数えられないので、延べ貸出点数で計上。　
・テープ図書は製作を中止し、DAISY再生機を所有しない障害者向けにはオーディオCD形式で作成している。・個人貸出のその他の項目は個別項目に出ていない障害者サービス資料（布の絵本）の個人貸出し数を記入した。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　"
大田区,"2,230",3,144,479,0,0,104,40,3,0,0,0,363,0,0,"3,366",0,75,2,0,0,0,77,728,0,0,0,398,306,10,0,2,0,38,0,0,1,0,0,0,1,0,0,6,0,有,274,548,274,8,0,73,0,73,0,73,0,73,0,73,0,0,0,0,292,"3,135",0,0,0,"3,427",47,"1,425",0,0,0,"1,472",113,622,0,0,0,735,"2,000/ｈ","2,000/90m","1,000/90m",300/10m,100/10m,0,0,0,無,"2,930",
世田谷区,538,0,54,0,3,0,146,84,88,0,12,137,1,8,0,"1,071",2,75,"1,460",0,30,4,"1,571",0,31,203,0,523,191,205,-,43,-,1,-,-,-,-,-,-,-,-,-,8,-,無,226,449,226,4,-,12,-,34,-,34,-,-,-,-,-,-,-,-,68,415,10,8,0,501,2,143,0,0,0,145,7,454,0,0,0,461,-,-,-,-,-,-,-,-,無,"2,143",
渋谷区,"1,015",0,457,0,0,0,287,0,400,0,0,60,0,0,2,"2,221",69,242,996,0,0,0,"1,307",0,0,0,0,86,0,71,0,2,0,0,0,0,2,0,0,0,0,2,0,8,0,無,21,42,21,1,0,21,0,14,0,14,0,14,0,14,0,15,0,15,83,152,0,0,"2,316","2,551",0,9,0,0,0,9,13,2,0,0,0,15,1100/h,1300/h,600/h,900/h,600/h,80/枚,－,,無,"1,283",
中野区,12,3,466,0,0,0,2,105,494,0,40,30,0,0,0,"1,152",0,0,0,0,3,2,5,0,182,0,0,126,88,6,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,有,108,216,108,3,0,10,-,-,-,-,-,-,-,-,-,-,-,-,10,409,3,45,0,467,0,0,0,0,0,0,7,50,0,0,0,57,1000/h,2000/h,1000/90m,1000/90m,1000/h,-,－,－,有,"1,554",L 障害者サービス予算には、記入要領に従い、平成31年度予算を記入
杉並区,262,0,"1,480",895,0,0,32,0,0,1,0,0,221,0,0,"2,891",0,0,"1,402",0,0,2,"1,404","1,175",?,?,"1,351",162,122,40,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0,有,291,582,291,7,0,18,0,61,0,61,0,61,0,61,0,0,0,0,160,868,0,23,45,"1,096",3,121,0,0,0,124,99,559,0,0,0,658,2200/２h,2200/９０m,1100/９０m,1100/1タイトル,0,－,－,－,無,"3,200",
豊島区,"1,323",0,0,0,0,0,"1,235","2,281",15,0,?,0,3,0,6,"4,863",876,911,31,0,0,3,"1,821",41,?,26,25,560,5,*,5,2,0,0,2,0,4,0,0,0,0,3,0,15,0,有,189,379,189,3,0,36,0,50,3,26,0,9,0,8,0,50,1,50,246,"39,655",0,"2,842","2,674","45,417",48,"3,871",?,143,51,"4,113",204,"3,459",?,36,-,"3,699",1800/2h,20/m,9/m,8/m,4/m,50/枚,50/枚,－,有,"12,168",
北区,0,5,0,0,0,0,366,13,0,0,381,0,0,0,0,765,602,22,0,0,2,0,626,0,38,43,0,99,13,1,0,19,0,3,0,0,1,0,0,0,0,1,0,15,0,有,283,599,263,4館＋1地域振興室,0,33,0,5,0,8,0,5,0,3,0,38,0,38,41,"3,659",0,80,0,"3,780",0,75,0,7,0,82,35,"3,056",0,28,0,"3,119",800/ｈ,２００００/１タイトル（年間５タイトル　委託）,,,,"２００００/１タイトル（年間５タイトル　委託）
",,４３９/回,有,"3,303",
荒川区,"1,426",*,*,14,*,*,444,*,*,0,4,24,0,*,*,"1,912","1,050",*,*,0,*,*,"1,050",15,0,0,451,149,?,?,0,6,0,0,0,0,10,0,0,3,2,0,0,14,0,有,76,126,76,2,1,7,0,7,0,7,0,7,0,7,0,3,0,3,39,989,*,5,226,"1,259",*,*,*,*,*,219,*,*,*,*,*,459,1000/h,1000/h,600/h,600/h,600/h,0/枚,-,－,有,"2,188",
板橋区,3,8,0,0,0,0,1,14,0,0,0,0,0,63,0,89,0,382,2,2,18,9,413,0,92,37,1,74,26,0,0,4,16,35,0,0,0,1,0,0,0,3,0,5,0,有,480,955,461,5,0,21,0,13,0,0,0,0,0,0,0,0,0,0,0,17,0,173,87,277,0,0,0,0,0,0,0,0,0,0,0,0,500/h,1000/h,*,*,*,－,－,－,有,711,
練馬区,"1,959",583,464,127,12,52,372,107,426,0,29,73,274,9,327,"4,814",85,"1,183","1,034",32,5,314,"2,653",0,0,"1,150",246,331,0,182,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,無,"1,042","2,084","1,042",8,0,73,0,70,0,70,0,45,0,45,0,0,0,0,712,"4,268",2,282,11,"5,275",46,"2,455",0,5,0,"2,506",241,"1,360",1,3,0,"1,605",1200/h,300/10m,130/10m,80/10m,40/10m,－,－,－,有,"8,759",図書の貸出数はタイトル数で数えられないので、所蔵数で計上
足立区,135,0,"3,954",*,*,*,44,111,238,0,0,0,*,*,*,"4,482",0,0,0,0,0,0,0,0,0,0,0,199,10,0,0,5,0,3,0,0,1,0,0,0,0,3,1,23,0,有,43,100,43,1,2,8,0,8,0,8,0,8,0,8,0,0,0,0,267,"5,289",-,47,-,"5,603",0,29,-,0,-,29,124,"3,894",-,46,-,"4,064",1000/h,1500/90m,500/90m,1000/90m,500/90m,100/枚,－,－,有,"1,837",
葛飾区,81,0,0,0,0,0,421,0,0,25,34,77,0,0,95,733,"1,515",*,*,0,0,0,"1,515",0,242,9,0,"1,084",981,0,0,10,0,0,0,0,1,2,1,0,12,1,1,5,0,有,160,337,187,2,0,35,0,35,0,35,0,35,0,35,0,20,0,20,81,655,275,"2,284",14,"3,309",0,79,0,26,0,105,0,68,0,0,0,68,1000/h,"　　56/ｍ（文字）
　　84/ｍ（図面）
　　（いずれも校正・編集込み）",,,,"　点訳　　製作　５０円/頁、　校正　４０円/頁
　データ入力校正　　５０円/頁",,0,有,"1,459",　図書の貸出数はタイトル数で数えられないので、所蔵数で計上。
江戸川区,50,152,333,0,1,0,28,114,22,0,0,55,0,11,0,766,0,283,31,0,13,3,330,0,75,32,6,94,0,0,0,0,4,0,0,0,－,－,－,－,2,－,3,8,0,無,115,?,?,3,0,?,0,?,0,?,0,?,0,?,0,0,0,0,421,"6,441",0,319,750,"7,931",0,0,0,0,0,0,377,"5,784",0,212,20,"6,393",－,1500/h,600/h,600/h,－,－,－,－,有,203,障害者サービス予算…資料費は含まない。
