Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考,,,,,,,
東京都,"4,453",80,"2,261",1,25,0,"3,562",39,283,28,78,97,2,17,1,"10,927",382,674,60,0,19,4,"1,139",-,-,-,-,387,15,5,4,2,0,2,0,0,3,1,0,0,1,0,0,4,0,有,478,"1,893",721,2,1,100,0,40,0,12,0,9,-,-,0,8,-,-,155,"5,850",0,121,47,"6,173",161,"2,523",0,7,8,"2,699",6,"3,058",0,30,0,"3,094",1200/h,1500/h,3000/h,1200/h,-,２８５/枚（両面）,*,-,2,"20,313",新型コロナウイルス感染症拡大防止のため、令和2年2月29日以降対面音訳サービスを休止。そのため、対面音訳の利用状況は11カ月分の実績である。,,,,,,,
千代田区　　　,0,6,135,0,0,0,23,966,0,0,0,0,0,0,0,"1,130",0,0,0,0,61,0,61,0,0,13,20,29,25,0,0,0,0,6,0,0,0,0,1,0,0,0,0,11,0,有,0,0,0,0,0,0,0,0,0,0,0,？,0,？,0,0,0,0,0,506,0,0,4,510,0,0,0,0,0,0,0,0,0,0,0,0,1000/2ｈ,-,-,-,-,-,-,-,無,0,H項：Daisy自館制作分は外注のためスタッフ構成不明。　L項：障害者サービスの予算は決まっておらず、資料費から捻出している。,,,,,,,
中央区（京橋）,62,0,202,0,0,0,45,0,97,0,0,0,0,0,0,406,0,4,0,0,0,31,35,0,28,8,487,539,?,？,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,有,29,88,44,2,0,9,0,9,0,9,0,9,0,9,0,1,0,1,0,0,0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,2000/回,2000/h,-,-,-,2000/回,-,-,無,634,,,,,,,,
港区,737,313,"2,404",0,0,0,467,104,118,0,0,0,0,0,0,"4,143",0,0,0,0,9,0,9,0,7,57,0,32,22,10,1,0,0,0,0,0,1,0,4,1,0,0,0,12,0,有,73,109,73,4,0,2,0,7,0,0,0,3,0,3,0,0,0,0,13,163,0,0,0,176,0,659,0,0,0,659,0,649,0,0,0,649,800/h,1500/ｈ,1200/h,1200/h,1200/h,-,―,―,有,"1,058",,,,,,,,
新宿区（戸山）,563,0,116,0,0,0,627,14,173,0,59,45,22,138,1,"1,758",0,45,0,0,49,0,94,7,23,4,41,124,4,4,0,0,3,0,0,0,0,1,1,2,1,0,0,23,0,有,47,94,47,1,2,6,0,31,0,13,0,31,2,11,0,0,0,0,48,"3,060",40,3,184,"3,335",7,617,0,0,6,630,7,"1,624",18,3,2,"1,654",2000/回,1500/ｈ,1000/ｈ,1000/ｈ,800/ｈ,2000/回,2000/回,1000/回,有,"5,223","・【Ｉ　貸出・相互貸借】の個人貸出数は、テキストＤＡＩＳＹ、テキストデータ利用数を”その他”に計上。
・国立国会図書館の視覚障害者等用データ送信サービスに参加し、3１年度は新規に57タイトルを提供。年間ダウンロード数は合計6939回。なおテキストデータは全6タイトル、ダウンロードは4回。テキストＤＡＩＳＹは全8タイトルで14回。
・点訳謝礼は購入した市販音楽ＣＤに貼り付ける点字シールの製作のみ、時間単位で計算。2000/1回(2ｈ)。",,,,,,,
文京区,20,0,222,0,0,0,92,0,435,0,0,0,0,0,0,769,217,*,0,0,0,0,217,0,121,0,-,682,?,?,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,無,78,116,108,2,3,10,0,31,0,?,0,?,0,?,0,10,0,?,144,286,-,49,2,481,177,26,0,0,0,203,0,110,0,0,‐,110,‐,10000/1タイトル,＊,＊,＊,25/枚,＊,‐,有,"1,429",,,,,,,,
台東区,502,*,*,0,0,0,473,*,*,0,4,0,0,0,0,979,286,*,*,0,0,0,286,0,0,58,183,47,0,12,0,5,0,10,0,0,1,0,0,0,0,0,0,42,0,有,43,62,86,1,0,12,0,12,0,12,0,12,0,12,0,0,0,0,9,732,0,7,225,973,0,0,0,0,0,0,0,449,0,0,0,449,700/h,900/h,240/h,240/h,－,－,－,－,有,"2,830",,,,,,,,
墨田区,63,※,※,0,0,0,95,※,※,0,206,0,0,0,0,364,193,※,※,0,0,0,193,880,0,26,0,199,※,※,1,4,0,13,0,0,1,0,1,1,0,0,3,3,1,有,605,484,605,4,3,47,3,47,0,0,1,8,0,0,0,13,0,0,99,"3,280",0,286,"6,260","9,925",0,"1,595",6,0,0,"1,601",59,"1,667",0,75,0,"1,801",750/h,750/h,750/h,750/h,750/h,50/枚,50/枚,0,有,"2,780",,,,,,,,
江東区,"1,702",50,16,0,-,-,360,42,129,-,-,-,0,-,-,"2,299",281,*,*,-,-,2,283,-,?,?,-,160,3,0,0,5,3,21,0,0,2,-,-,1,0,0,0,13,5,有,427,"1,375",427,6,-,70,-,70,-,?,-,?,-,?,-,34,-,?,772,"2,064",-,126,-,"2,962",4,39,-,0,-,43,187,649,-,20,-,856,1080/h,2750/90m,850/90ｍ,90/10ｍ,90/10ｍ,100/枚,*,-,有,"5,278",予算には、宅配サービス(来館困難者への配本サービス)のための予算を含む。,,,,,,,
品川区,579,75,898,0,0,0,598,28,658,0,162,157,0,0,0,"3,155",169,82,*,0,0,2,253,55,0,779,-,92,15,5,1,2,0,7,0,0,1,0,1,0,10,2,0,8,2,有,26,52,26,1,0,33,0,101,0,101,3,101,3,101,0,15,0,15,2,"4,447",4,49,0,"4,502",1,45,0,1,97,144,60,"4,269",0,0,0,"4,329",,,,15000/タイトル,3000/タイトル,50/頁,,,有,"2,100",,,,,,,,
