自治体名,ホームページ,館名,電話番号,郵便番号,所在地,開館時間,休館日1,休館日2,座席数,備考
奥多摩町,https://ilisod001.apsel.jp/okutama/wopc/pc/pages/TopPage.jsp,古里,0428-85-1621,198-0105,小丹波82,9:30AM～5PM,"･月曜日
･祝日",,"22
(6)",多T
奥多摩町,https://ilisod001.apsel.jp/okutama/wopc/pc/pages/TopPage.jsp,氷川,0428-83-8227,198-0212,氷川199-ロ,9:30AM～5PM,"･月曜日
･祝日",,"10
(5)",
日の出町,https://www.town.hinode.tokyo.jp/,日の出町立,042-597-3496,190-0192,平井2780,10AM～5PM,"･月曜日
･第3火曜日
･祝日",,"6
(14)",障資・障・ＣＤ・多T・オ
日の出町,https://www.town.hinode.tokyo.jp/,大久野分室,042-597-5747,190-0181,大久野1167-6,1PM～5PM,(祝日を除く火･木･土曜日のみ開室),,"0
(6)",
檜原村,http://library-hinohara.jp/,檜原村立,042-598-1160,190-0214,西多摩郡檜原村621番地1,"10AM～6PM
10AM～5PM(12月～2月)","･月曜日
･第3火曜日",,"17
(17)",Ｃ・障・ＣＤ・W〇
瑞穂町,https://www.library.mizuho.tokyo.jp/,瑞穂町図書館臨時図書室,042-557-5614,190-1221,大字箱根ケ崎2475,"9AM～6PM
(木曜日は～8PM)","･月曜日(祝日を含む)
･毎月16日(月曜日･祝日の
 場合は17日､土･日曜日の
 場合は開館)
･特別休館日",,"0
(0)",障資・ＣＤ・多T・オ
,,"瑞穂町図書館は、令和2年11月末から令和4年3月末まで、改修工事のため休館予定(別の建物で臨時図書室を開設)
令和4年3月末、ﾘﾆｭｰｱﾙ開館予定",,,,,,,,
瑞穂町,https://www.library.mizuho.tokyo.jp/,殿ケ谷図書室,042-513-9810,190-1212,大字殿ケ谷988,1PM～5PM,(祝日を除く火･水･土曜日のみ開室),,"12
(3)",
瑞穂町,https://www.library.mizuho.tokyo.jp/,長岡ｺﾐｭﾆﾃｨｾﾝﾀｰ図書室,042-557-5980,190-1221,大字箱根ケ崎1180,9AM～5PM,"･月曜日
･毎月16日(月曜日･祝日の
 場合は17日､土･日曜日の
 場合は開館)
･第2水曜日(祝日の場合は
 翌日も休館)
･祝日",,"30
(9)",多T・オ
瑞穂町,https://www.library.mizuho.tokyo.jp/,武蔵野ｺﾐｭﾆﾃｨｾﾝﾀｰ図書室,042-533-4606,190-1214,むさし野1-5,9AM～5PM,"･月曜日
･毎月16日(月曜日･祝日の
 場合は17日､土･日曜日の
 場合は開館)
･第2水曜日(祝日の場合は
 翌日も休館)
･祝日",,"12
(9)",多T・乳・オ
瑞穂町,https://www.library.mizuho.tokyo.jp/,元狭山ふるさと思い出館図書室,042-556-3233,190-1201,大字二本木710,"1PM～5PM
(日曜日は9AM～12AM)","･月曜日
･毎月16日(月曜日･祝日の
 場合は17日､土･日曜日の
 場合は開館)
･祝日",,"3
(3)",多T
