A自治体名(障害者サービス担当館）,B蔵書数録音資料テープ図書作成ﾀｲﾄﾙ,B蔵書数録音資料テープ図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ図書購入ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料マルチメディアDAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料マルチメディアDAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料マルチメディアDAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料録音資料合計ﾀｲﾄﾙ,B蔵書数点字資料点字図書作成ﾀｲﾄﾙ,B蔵書数点字資料点字図書寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字図書購入ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌作成ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌購入ﾀｲﾄﾙ,B蔵書数点字資料点字資料合計ﾀｲﾄﾙ,B蔵書数拡大写本ﾀｲﾄﾙ,B蔵書数点字絵本ﾀｲﾄﾙ,B蔵書数さわる絵本ﾀｲﾄﾙ,B蔵書数その他ﾀｲﾄﾙ,C利用者登録者数（人）,C利用者登録者数内訳登録者内数（視覚障害以外）（人）,C利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）（人）,D職員数専任（正規職員）（人）,D職員数兼任（正規・非常勤職員）（人）,D職員数専任（委託・指定管理職員）（人）,D職員数兼任（委託・指定管理職員）（人）,D職員数アルバイト（人）,D職員数その他（人）,E講習会等実施回数音訳講習会,E講習会等実施回数研修会,E講習会等実施回数展示会,E講習会等実施回数機器操作講習会,E講習会等実施回数担当者会,E講習会等実施回数その他,F貸出機器台数点字プリンター,F貸出機器台数デイジー再生用,F貸出機器台数その他,F貸出機器デイジー再生機器館外貸出サービス実施,G対面音訳利用状況利用者延人数,G対面音訳利用状況利用時間,G対面音訳利用状況音訳者延人数,G対面音訳利用状況対面実施館数,G対面音訳音訳者職員（人）,G対面音訳音訳者職員以外（人）,H資料の自館製作録音資料音訳者職員（人）,H資料の自館製作録音資料音訳者職員以外（人）,H資料の自館製作録音資料校正者職員（人）,H資料の自館製作録音資料校正者職員以外（人）,H資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,H資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,H資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,H資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,H資料の自館製作点訳資料点訳者職員（人）,H資料の自館製作点訳資料点訳者職員以外（人）,H資料の自館製作点訳資料校正者職員（人）,H資料の自館製作点訳資料校正者職員以外（人）,I貸出・相互貸借個人貸出録音資料テープﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料DAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料マルチメディアDAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出点字資料ﾀｲﾄﾙ,I貸出・相互貸借個人貸出その他ﾀｲﾄﾙ,I貸出・相互貸借個人貸出個人貸出合計ﾀｲﾄﾙ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借貸出貸出合計（タイトル）,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借借受借受合計（タイトル）,備　考
都立合計,4451,57,2261,1,26,0,3291,6,157,17,21,98,2,16,1,10405,360,636,60,0,16,2,1074,0,0,0,0,381,111,4,6,0,0,1,0,0,2,2,1,0,1,0,0,8,0,有,501,2290,852,2,1,109,0,40,0,12,0,7,0,0,0,8,0,0,374,5293,0,85,49,5801,220,534,0,12,24,790,140,2931,0,23,0,3094,
千代田区,0,19,384,0,0,0,7,89,34,0,2,0,0,0,0,535,0,1,0,0,0,1,2,0,13,7,15,19,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,有,45,90,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,0,9,2,83,1,0,0,0,0,1,0,36,0,1,0,37,
中央区,0,0,289,0,0,0,0,?,138,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,11,3,0,367,?,?,0,5,0,0,0,0,0,0,0,0,0,0,1,3,0,有,105,210,105,2,0,8,0,8,0,0,0,8,0,0,0,1,0,0,34,0,-,-,-,34,0,0,0,0,0,0,0,0,0,0,0,0,
港区,737,312,2406,0,0,0,425,93,31,0,0,0,0,17,55,4076,0,0,0,0,7,0,7,?,9,64,0,29,7,2,4,0,0,0,3,0,1,2,-,-,-,-,0,7,0,有,91,136,91,1,0,10,0,17,4,9,4,9,4,9,0,0,0,0,19,104,0,0,37,160,0,377,0,0,2,379,85,585,0,0,0,670,
新宿区(戸山),553,0,116,0,0,0,377,11,118,0,24,45,0,88,0,1332,0,45,0,0,46,0,91,31,21,80,36,122,18,8,3,1,3,1,0,0,11,4,1,0,0,0,0,18,3,有,82,164,82,3,3,4,0,32,0,13,5,33,5,9,0,0,0,0,493,2517,1,6,0,3017,24,581,0,0,0,605,157,780,0,0,0,937,
文京区,14,0,233,0,0,0,59,0,301,0,0,0,0,0,0,607,198,*,0,0,0,0,198,0,119,0,-,731,?,?,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,無,1,3,0,1,0,0,0,51,0,0,0,20,0,0,0,42,0,0,266,128,-,49,-,443,302,29,-,-,-,331,36,170,-,-,-,206,
台東区,374,83,274,-,-,-,72,128,322,-,-,-,-,-,-,1253,126,53,96,-,-,-,275,-,-,59,-,50,-,14,-,4,-,-,-,-,-,-,-,-,-,-,-,53,-,有,47,94,93,2,0,12,0,12,0,12,0,12,0,12,0,0,0,0,5,702,0,4,0,711,0,1,0,0,0,1,16,413,0,0,0,429,
墨田区,207,1,0,0,0,0,13,1,0,0,208,67,3,0,0,500,365,1,0,0,0,0,366,826,0,10,0,202,0,9,2,4,4,1,0,1,2,1,2,0,1,-,3,3,1,有,460,813,410,4,4,33,1,30,2,0,2,10,2,10,1,14,1,1,426,3590,20,513,6770,11319,10,1260,0,0,0,1270,147,1594,0,123,0,1864,
江東区,1634,50,15,0,-,-,311,28,80,-,-,-,0,-,-,2118,34,*,*,2,-,-,36,-,229,?,-,153,2,0,0,12,2,0,0,0,2,0,0,2,2,0,0,13,5,有,495,1632,495,9,0,65,0,65,0,?,0,?,0,?,0,41,0,?,1480,2229,-,90,-,3799,2,111,-,0,-,113,486,893,-,10,-,1389,・「さわる絵本」は所蔵しているが所蔵区分を「障害者サービス」ではなく「児童」としているため、計上できない。
品川区,820,79,651,0,0,0,517,39,450,0,0,109,0,0,0,2665,141,74,*,0,0,2,217,55,0,729,-,68,13,1,1,3,1,3,0,0,0,0,1,0,1,1,1,5,2,有,79,158,79,1,0,3,-,-,-,-,0,49,4,48,0,18,0,18,115,4183,5,236,5,4544,0,156,0,0,178,334,7,2031,0,81,0,2119,・図書の貸出数はタイトル数で数えられないので、所蔵数で計上。
目黒区,952,61,352,0,0,0,467,47,88,0,7,105,0,0,1,2080,21,136,0,1,3,3,164,0,28,0,184,141,86,4,0,12,3,0,0,0,4,0,1,0,0,0,1,3,0,有,260,520,260,4,2,14,0,21,1,21,0,21,0,21,0,23,0,23,126,2193,0,60,37,2416,55,832,0,5,0,892,40,2022,0,28,0,2090,・テープ図書は製作を中止し、DAISY再生機を所有しない障害者向けにはオーディオCD形式で作成している。貸出しについてテープとオーディオCDを区別してカウントできないため、テープ貸出数にはオーディオCD分も含まれている。  ・個人貸出のその他の項目は個別項目に出ていない障害者サービス資料（布の絵本）の個人貸出し数を記入した。  ・個人貸出数、相互貸借数とも点字分に障害者サービス登録利用者への点字絵本の貸出を含んでいる。
大田区,2231,3,144,449,0,0,84,37,2,0,0,0,237,0,0,3187,0,72,2,0,0,0,74,728,0,0,0,374,269,11,0,1,0,26,0,0,1,0,0,0,1,0,0,6,0,有,367,734,367,7,0,54,0,54,0,54,0,54,0,54,0,0,0,0,461,3193,0,0,0,3654,64,1392,0,0,0,1456,183,463,0,0,0,646,
世田谷区,538,-,54,-,-,-,93,37,79,-,-,-,-,5,214,1020,1,47,1463,-,-,-,1511,-,11,22,-,580,178,223,-,39,-,-,-,-,1,-,-,1,1,3,-,2,-,有,158,316,158,6,-,11,-,-,-,-,-,31,-,31,-,-,-,62,19,722,-,43,784,1568,0,32,-,32,-,64,15,703,-,-,718,1436,
渋谷区,937,0,443,0,0,0,262,0,320,60,0,0,0,0,3,2025,1082,268,57,0,0,0,1407,0,0,0,0,91,0,67,0,2,0,0,0,0,2,0,0,1,0,2,0,8,0,無,15,30,15,3,0,35,0,35,0,35,0,35,0,35,0,31,0,31,246,332,0,11,0,589,7,114,0,23,0,144,115,118,0,2,0,235,
中野区,12,2,467,0,0,0,2,129,453,0,1,52,0,0,0,1118,0,0,0,0,3,2,5,0,0,0,0,155,111,0,0,0,0,4,0,0,0,0,0,0,6,0,0,6,0,有,100,200,100,2,0,13,-,-,-,-,-,-,-,-,-,-,-,-,19,390,1,17,0,427,1,0,0,0,0,1,2,51,0,0,0,53,
杉並区,262,0,1480,895,0,0,18,0,0,0,0,0,141,0,0,2796,0,0,1402,0,0,2,1404,1126,0,0,0,143,36,*,0,2,0,0,0,0,1,0,0,0,0,0,0,6,0,有,591,1182,591,7,0,20,0,44,0,44,0,44,0,44,0,0,0,0,147,1089,0,24,191,1451,17,435,0,0,0,452,70,594,0,0,0,664,
豊島区(ひかり文庫),1347,2,0,0,0,0,899,2503,15,0,?,0,3,0,0,4769,815,1027,36,0,0,3,1881,45,?,37,-,641,0,5,4,1,0,0,2,1,2,3,0,0,3,-,0,15,0,有,171,336,171,3,0,35,0,51,2,24,0,9,0,9,0,44,1,44,475,31430,*,7534,-,39439,86,3281,*,202,-,3569,393,3988,*,49,-,4430,B蔵書数  ・録音資料マルチメディアDAISY図書寄贈は、DAISY図書寄贈に含む。  ・点字絵本は点字図書に含む。  ・拡大写本にはテキストDAISY図書を含む。
北区,0,0,0,0,0,0,176,*,0,0,171,0,0,0,0,347,254,*,0,0,0,0,254,0,0,56,-,120,16,2,0,5,0,14,0,0,1,1,0,0,0,0,0,14,0,無,338,685,215,6,0,33,0,20,0,9,0,8,0,5,0,42,0,42,1,545,0,80,-,626,10,110,0,13,-,133,28,2742,0,36,-,2806,
荒川区,1421,*,*,74,*,*,286,*,*,*,*,*,19,*,*,1800,1039,*,*,*,*,*,1039,15,*,*,188,119,0,0,0,5,0,0,0,0,10,0,0,3,2,0,1,14,0,有,30,128,34,3,2,4,0,9,0,9,0,9,0,9,0,2,0,2,72,2146,?,16,61,2295,61,22,?,0,0,83,7,1767,?,16,14,1804,
