自治体名,ホームページ,館名,電話番号,郵便番号,所在地,開館時間,休館日1,休館日2,座席数,備考
昭島市,https://www.library.akishima.tokyo.jp/,市民,042-543-1523,196-0012,つつじが丘3-3-15,"10AM～8PM
(土･日曜日､祝日は10AM～6PM)","･月曜日
 (祝日･振替休日の場合は
 直後の平日)",,"158
(126)",C・障資･障・ＣＤ・W〇・多T・乳・オ
昭島市,https://www.library.akishima.tokyo.jp/,(やまのかみ分室),042-543-3947,196-0002,拝島町3-10-3,"10AM～6PM
(木曜日は正午～､土･日曜日､祝日は～5PM)","･月曜日
 (祝日･振替休日の場合は
 直後の平日)",,"0
(6)",ＣＤ
昭島市,https://www.library.akishima.tokyo.jp/,昭和分館,042-546-8851,196-0003,松原町1-2-25,"10AM～6PM
(木曜日は正午～､土･日曜日､祝日は～5PM)","･月曜日
 (祝日･振替休日の場合は
 直後の平日)",,"0
(9)",ＣＤ
昭島市,https://www.library.akishima.tokyo.jp/,緑分館,042-544-8818,196-0004,緑町4-13-26,"10AM～6PM
(木曜日は正午～､土･日曜日､祝日は～5PM)","･月曜日
 (祝日･振替休日の場合は
 直後の平日)",,"0
(9)",ＣＤ
あきる野市,https://www.library.akiruno.tokyo.jp/toshow/asp/index.aspx,中央,042-558-1108,197-0804,秋川1-16-2,10AM～8PM(土･日曜日､祝日は～6PM),"･金曜日
･第3火曜日",,"219
(41)",障資・障・W〇・多T・乳・オ
あきる野市,https://www.library.akiruno.tokyo.jp/toshow/asp/index.aspx,五日市,042-595-0236,190-0164,五日市368,10AM～6PM(木曜日は～8PM),"･月曜日
･祝日",,"28
(28)",障資･障・CD・多T
あきる野市,https://www.library.akiruno.tokyo.jp/toshow/asp/index.aspx,東部図書館ｴﾙ,042-550-5959,197-0823,野辺39-27,10AM～6PM(水曜日は～8PM),"･月曜日
･祝日",,"153
(33)",障資･障・CD・多T・乳・オ
あきる野市,https://www.library.akiruno.tokyo.jp/toshow/asp/index.aspx,増戸分室,042-596-0109,190-0142,伊奈1157-5,10AM～6PM,"･月曜日
･祝日",,"8
(7)",障資・多T
稲城市,http://www.library.inagi.tokyo.jp/,中央,042-378-7111,206-0803,向陽台4-6-18,9AM～8PM,"･第4月曜日
 (祝日・振替休日の場合は
 その翌日)",,"191
(95)",Ｃ・障資･障・ＣＤ・W〇・多T・乳・オ
稲城市,http://www.library.inagi.tokyo.jp/,第一,042-377-2123,206-0802,東長沼2111,10AM～5PM,"･月曜日
･祝日",,"11
(10)",多T・乳・オ
稲城市,http://www.library.inagi.tokyo.jp/,第二,042-377-1866,206-0812,矢野口1780,10AM～5PM,"･月曜日
･祝日",,"9
(12)",多T・乳・オ
稲城市,http://www.library.inagi.tokyo.jp/,第三,042-331-1439,206-0823,平尾1-20-5,10AM～5PM,"･月曜日
･祝日",,"8
(15)",多T・オ
稲城市,http://www.library.inagi.tokyo.jp/,第四,042-378-2401,206-0802,東長沼271,10AM～5PM,"･月曜日
･祝日",,"5
(21)",多T・乳・オ
稲城市,http://www.library.inagi.tokyo.jp/,iﾌﾟﾗｻﾞ,042-331-1731,206-0824,"若葉台2-5-2 稲城
市立iﾌﾟﾗｻﾞ内",9AM～8PM,"･第2･4月曜日
 (祝日・振替休日の場合は
 その翌日)",,"8
(27)",Ｃ・ＣＤ・多T・乳・オ
