"年度","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2013","現年分","8107178000","6597050000","0","1510128000","81.99"
"2013","滞納繰越分","3018800000","668996000","926733000","1423072000","22.58"
"2014","現年分","8424871000","6843034000","0","1581837000","81.79"
"2014","滞納繰越分","2841078000","630757000","680117000","1530204000","22.60"
"2015","現年分","8371881000","6889814000","1384000","1480683000","82.72"
"2015","滞納繰越分","2999034000","810853000","719738000","1468442000","27.42"
"2016","現年分","8537277000","7037211000","2298000","1497768000","82.88"
"2016","滞納繰越分","2840278000","724940000","686007000","1429332000","25.85"
"2017","現年分","8481987000","7104074000","8736000","1369176000","84.17"
"2017","滞納繰越分","2833152000","843682000","763679000","1225791000","30.18"

"平成30年度港区行政資料集　国民健康保険料調定収納状況","Ver201803",,,,,
