,貸出登録者[個人・団体]平成23年,貸出登録者[個人・団体]平成24年,貸出登録者[個人・団体]平成25年,貸出登録者[個人・団体]平成26年,貸出登録者[個人・団体]平成27年,27年度貸出点数個人,27年度貸出点数団体,27年度視聴覚障害者サービス貸出登録者個人,27年度視聴覚障害者サービス貸出登録者団体,27年度視聴覚障害者サービス貸出点数個人,27年度視聴覚障害者サービス貸出点数団体,27年度視聴覚障害者サービス対面朗読利用者,27年度視聴覚障害者サービス対面朗読朗読時間,27年度視聴覚障害者サービス点訳サービス[ページ],27年度視聴覚障害者サービス墨字訳サービス[枚],27年度視聴覚障害者サービス拡大写本サービス[ページ],27年度視聴覚障害者サービス資料の宅配,27年度視聴覚障害者サービス資料の郵送,27年度視聴覚障害者サービステープ雑誌製作点数
ひきふね図書館,,,37635,40134,42885,680358,17184,149,1,9991,1159,339,706,5577,396,6061,992,3925,48
ひきふね図書館,,,(352),(352),(719),,,,,,,,,,,,,,
緑図書館,21793,22142,22811,22669,22616,459326,14647,41,0,1384,0,59,16,407,0,0,325,0,0
緑図書館,(144),(149),(157),(155),(219),,,,,,,,,,,,,,
立花図書館,4026,4192,4359,4523,4614,135024,2221,,,,,,,,,,,,
立花図書館,(50),(49),(49),(47),(45),,,,,,,,,,,,,,
八広図書館,7807,7849,7770,7482,7193,154652,7254,12,2,615,450,47,50,0,134,0,142,0,0
八広図書館,(113),(111),(123),(107),(111),,,,,,,,,,,,,,
あずま図書館,20281,19963,,,,,,,,,,,,,,,,,
あずま図書館,(198),(209),,,,,,,,,,,,,,,,,
寺島図書館,10415,10264,,,,,,,,,,,,,,,,,
寺島図書館,(105),(100),,,,,,,,,,,,,,,,,
東駒形コミュニティ会館図書室,6891,6885,6918,6762,6382,50477,639,,,,,,,,,,,,
東駒形コミュニティ会館図書室,(74),(77),(77),(73),(74),,,,,,,,,,,,,,
梅若橋コミュニティ会館図書室,6159,6083,5988,5750,5532,119111,3110,,,,,,,,,,,,
梅若橋コミュニティ会館図書室,(47),(47),(39),(34),(34),,,,,,,,,,,,,,
横川コミュニティ会館図書室,6383,6505,6622,6636,6673,214810,2887,15,1,38,84,0,0,0,0,0,25,0,0
横川コミュニティ会館図書室,(41),(43),(43),(41),(43),,,,,,,,,,,,,,
すみだ女性センター,149,198,253,291,299,3945,0,,,,,,,,,,,,
すみだ女性センター,0,0,0,0,0,,,217,4,12028,1693,445,772,5984,530,6061,1484,3925,48
計,83904,84081,92356,94247,96194,1817703,47942,,,,,,,,,,,,
計,(772),(785),(840),(809),(1245),,,,,,,,,,,,,,
