住宅の建設地,住宅の規模,受付窓口
千代田区,建物の延べ面積が１万m2以下の場合,千代田区まちづくり推進部建築指導課　建築審査係／TEL:5211-4308
中央区,建物の延べ面積が１万m2以下の場合,中央区都市整備部建築課調査係／TEL: 03-3546-5453
港区,建物の延べ面積が１万m2以下の場合,港区街づくり支援部建築課調査係／TEL: 03-3578-2111（内線2285、2291）
新宿区,建物の延べ面積が１万m2以下の場合,新宿区都市計画部建築指導課／TEL: 03-5273-3742（内線4872）
文京区,建物の延べ面積が１万m2以下の場合,文京区都市計画部建築指導課調査担当／TEL: 03-5803-1266
台東区,建物の延べ面積が１万m2以下の場合,台東区都市づくり部建築課／TEL: 03-5246-1334
墨田区,建物の延べ面積が１万m2以下の場合,墨田区都市計画部建築指導課構造担当／TEL: 03-5608-1307
江東区,建物の延べ面積が１万m2以下の場合,江東区都市整備部住宅課住宅指導係／TEL: 03-3647-9473
品川区,建物の延べ面積が１万m2以下の場合,品川区都市環境事業部建築課／TEL: 03-5742-6769
目黒区,建物の延べ面積が１万m2以下の場合,目黒区都市整備部建築課／TEL: 03-5722-9642
大田区,建物の延べ面積が１万m2以下の場合,大田区まちづくり推進部建築審査課／TEL: 03-5744-1388
世田谷区,建物の延べ面積が１万m2以下の場合,世田谷区都市整備部建築審査課／TEL: 03-5432-2466
渋谷区,建物の延べ面積が１万m2以下の場合,渋谷区都市整備部建築課／TEL: 03-3463-2729
中野区,建物の延べ面積が１万m2以下の場合,中野区都市基盤部建築分野建築行政担当／TEL: 03-3228-5596
杉並区,建物の延べ面積が１万m2以下の場合,杉並区都市整備部建築課審査係／TEL: 03-3312-2111（内線3355、3339）
豊島区,建物の延べ面積が１万m2以下の場合,豊島区都市整備部建築指導課紛争調整グループ／TEL: 03-3981-1391
北区,建物の延べ面積が１万m2以下の場合,北区まちづくり部建築課建築指導係／TEL: 03-3908-9166
荒川区,建物の延べ面積が１万m2以下の場合,荒川区防災都市づくり部建築課／TEL: 3802-3111（内線2845）
板橋区,建物の延べ面積が１万m2以下の場合,板橋区都市整備部建築指導課審査グループ／TEL: 03-3579-2573
練馬区,建物の延べ面積が１万m2以下の場合,練馬区都市整備部建築審査課建築審査係／TEL: 03－5984-1299
足立区,建物の延べ面積が１万m2以下の場合,足立区都市建設部建築審査課／TEL: 03-3880-5276
葛飾区,建物の延べ面積が１万m2以下の場合,葛飾区都市整備部建築課／TEL: 03-5654-8557
江戸川区,建物の延べ面積が１万m2以下の場合,江戸川区都市開発部建築指導課調査係／TEL: 03-5662-1104
八王子市,規模にかかわらず,八王子市まちなみ整備部建築指導課／TEL: 042-620-7264
立川市,規模にかかわらず,立川市都市整備部建築指導課／TEL: 042-528-4326
武蔵野市,規模にかかわらず,武蔵野市都市整備部建築指導課／TEL: 0422-60-1874
三鷹市,規模にかかわらず,三鷹市都市整備部建築指導課建築安監察係／TEL: 0422-45-1151（内線2824～2827）
府中市,規模にかかわらず,府中市都市整備部建築指導課／TEL: 042-335-4417
調布市,規模にかかわらず,調布市都市整備部建築指導課／TEL: 042-481-7512～7
町田市,規模にかかわらず,町田市都市づくり部建築開発審査課／TEL: 042-722-4273
日野市,規模にかかわらず,日野市まちづくり部建築指導課／TEL: 042-587-6211
国分寺市,規模にかかわらず,国分寺市都市建設部建築指導課審査担当／TEL: 042-325-0111（内線483～485）
西東京市,規模にかかわらず,西東京市都市整備部建築指導課審査係／TEL: 042-438-4026
