"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","レジ袋[人]","ペットボトル[人]","お弁当などのプラスチック容器[人]","ストロースプーンフォークなど使い捨て食器類","うちわ、風船、ポケットティッシュなど配布物","その他[人]","特にない[人]","無回答[人]"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","全体",,"658","91","36","67","148","158","12","64","82"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性（計）","248","31","17","21","59","58","5","31","26"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 18～29歳","23","4","0","4","3","8","0","3","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 30～39歳","35","4","2","2","4","18","1","2","2"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 40～49歳","41","4","3","2","12","7","2","11","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 50～59歳","49","9","3","2","12","13","1","8","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 60～69歳","39","4","4","4","8","8","0","3","8"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 70歳以上","60","6","4","7","20","4","1","4","14"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0","0","0","0","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性（計）","400","57","18","44","89","99","7","31","55"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 18～29歳","28","5","0","2","5","11","0","4","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 30～39歳","65","9","3","7","11","22","1","9","3"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 40～49歳","95","12","3","8","17","33","2","7","13"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 50～59歳","82","12","7","9","19","14","2","5","14"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 60～69歳","55","9","1","8","16","11","1","1","8"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 70歳以上","75","10","4","10","21","8","1","5","16"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","性・年代別","無回答","10","3","1","2","0","1","0","2","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","自営業主・家族従業","92","10","7","12","21","16","1","10","15"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","会社員・団体職員・公務員","280","40","14","26","55","84","6","28","27"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","アルバイト・パートタイマー","58","9","4","4","15","14","1","3","8"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","家事専業","94","14","5","7","22","21","2","8","15"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","学生","20","6","0","1","3","5","0","5","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","無職","83","8","4","13","24","13","2","8","11"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","その他","26","3","1","3","8","5","0","2","4"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","職業別","無回答","5","1","1","1","0","0","0","0","2"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","芝地区","107","12","5","13","27","27","0","11","12"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","麻布地区","140","21","9","16","29","27","6","16","16"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","赤坂地区","88","12","6","6","19","24","2","7","12"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","高輪地区","155","23","4","17","38","32","3","16","22"
