"年月[西暦]","調査項目","設問","考え","調査回答者の属性種別","調査回答者の属性","調査数[人]","そう思う[人]","ややそう思う[人]","どちらともいえない[人]","あまり思わない[人]","思わない[人]","無回答[人]"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","全体",,"558","40","53","108","100","220","37"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性（計）","231","18","30","56","38","79","10"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 18～29歳","13","1","2","3","2","5","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 30～39歳","38","5","3","7","6","14","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 40～49歳","50","2","7","14","8","19","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 50～59歳","47","1","5","9","13","17","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 60～69歳","42","3","5","15","5","13","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 70歳以上","40","6","7","8","4","11","4"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","男性 無回答","1","0","1","0","0","0","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性（計）","313","22","22","51","62","140","16"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 18～29歳","26","5","2","2","5","11","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 30～39歳","49","0","6","8","13","20","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 40～49歳","78","4","1","12","14","45","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 50～59歳","62","5","4","9","15","27","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 60～69歳","56","5","5","11","10","20","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 70歳以上","42","3","4","9","5","17","4"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","性・年代別","無回答","14","0","1","1","0","1","11"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","自営業主・家族従業","86","7","13","21","7","34","4"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","会社員・団体職員・公務員","243","12","22","38","59","103","9"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","アルバイト・パートタイマー","35","2","1","7","9","15","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","家事専業","55","7","4","13","6","22","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","学生","13","3","2","2","2","3","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","無職","81","7","8","18","14","28","6"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","その他","31","2","3","8","3","13","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","職業別","無回答","14","0","0","1","0","2","11"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","芝地区","86","4","9","22","18","28","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","麻布地区","87","9","10","12","11","42","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","赤坂地区","81","7","7","17","16","29","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","高輪地区","146","12","17","25","21","65","6"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","芝浦港南地区","139","8","9","29","33","52","8"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","居住地区別","無回答","19","0","1","3","1","4","10"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","住居形態別","持家（一戸建）","64","5","7","16","8","23","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","住居形態別","持家（マンション）","267","22","19","54","55","105","12"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","住居形態別","借家（一戸建）","9","0","0","2","0","7","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","住居形態別","民間の賃貸マンション・アパート","151","10","20","23","29","64","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","５　悩みや問題は自分一人で解決すべきだと思う。","住居形態別","都営住宅・区営住宅・区立住宅","26","3","3","6","5","7","2"
