"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","総務費","787505","4.6","679948","3.8"
"2021","保険給付費","15231595","89.7","15231595","84.8"
"2021","地域支援事業費","948608","5.6","948753","5.3"
"2021","基金積立金","498","0.0","643985","3.6"
"2021","諸支出金","7032","0.0","456432","2.5"
"2021","歳出合計","16975238","100.0","17960713","100.0"
"2022","総務費","625543","3.6",,
"2022","保険給付費","15648933","90.5",,
"2022","地域支援事業費","1011297","5.8",,
"2022","基金積立金","563","0.0",,
"2022","諸支出金","8193","0.0",,
"2022","歳出合計","17294529","100.0",,

"令和4年度港区行政資料集　介護保険会計歳出予算","Ver202203",,,,
