"所得段階","保険料額[円]","説明","2014年度[人]"
"第1段階","25200","生活保護受給者、中国残留邦人等支援給付受給者又は老齢福祉年金受給者で住民税世帯非課税の人","1243"
"第2段階","25200","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円以下の人※第 2 段階には保険料軽減者も含む","6820"
"特例第3段階","34650","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円を超え、120万円以下の人","2314"
"第3段階","40950","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が120万円を超える人","2301"
"特例第4段階","50400","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円以下の人","4725"
"第4段階","63000","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円を超える人","2716"
"第5段階","69300","本人が住民税課税で、合計所得金額が125万円未満の人","4299"
"第6段階","78750","本人が住民税課税で、合計所得金額が125万円以上250万円未満の人","6420"
"第7段階","94500","本人が住民税課税で、合計所得金額が250万円以上500万円未満の人","4880"
"第8段階","110250","本人が住民税課税で、合計所得金額が500万円以上750万円未満の人","1936"
"第9段階","126000","本人が住民税課税で、合計所得金額が750万円以上1,000万円未満の人","1021"
"第10段階","141750","本人が住民税課税で、合計所得金額が1,000万円以上2,000万円未満の人","1891"
"第11段階","157500","本人が住民税課税で、合計所得金額が2,000万円以上3,000万円未満の人","666"
"第12段階","173250","本人が住民税課税で、合計所得金額が3,000万円以上の人","1219"
"合計",,,"42451"

"令和元年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-1","Ver201903",,
