都道府県,現状値（％）,目標値（％）
北海道,37.6,40.0
青森県,35.6,40.0
岩手県,42.6,40.0
宮城県,37.2,40.0
秋田県,32.5,40.0
山形県,51.4,50.0
福島県,34.9,40.0
茨城県,34.9,30.0
栃木県,34.4,40.0
群馬県,36.6,40.0
埼玉県,38.1,40.0
千葉県,29.1,40.0
東京都,27.6,35.0
神奈川県,34.5,40.0
新潟県,37.8,38.0
富山県,37.3,40.0
石川県,33.9,50.0
福井県,32.6,40.0
山梨県,36.1,40.0
長野県,43.5,50.0
岐阜県,36.9,40.0
静岡県,41.2,40.0
愛知県,39.0,40.0
三重県,32.0,66.7
滋賀県,34.6,40.0
京都府,37.7,40.0
大阪府,30.2,40.0
兵庫県,33.0,35.0
奈良県,33.1,40.0
和歌山県,27.9,38.0
鳥取県,44.9,40.0
島根県,42.4,40.0
岡山県,36.4,40.0
広島県,28.4,34.0
山口県,48.0,45.0
徳島県,50.0,50.0
香川県,37.4,40.0
愛媛県,42.6,45.0
高知県,31.2,50.0
福岡県,41.4,42.0
佐賀県,41.1,40.0
長崎県,34.4,40.0
熊本県,37.6,40.0
大分県,37.7,40.0
宮崎県,45.9,50.0
鹿児島県,35.6,40.0
沖縄県,31.5,40.0
