都道府県,男性（人）,女性（人）,女性比率（％）
北海道,35,0,0.0
青森県,10,0,0.0
岩手県,14,0,0.0
宮城県,12,1,7.7
秋田県,13,0,0.0
山形県,13,0,0.0
福島県,13,0,0.0
茨城県,31,1,3.1
栃木県,14,0,0.0
群馬県,11,1,8.3
埼玉県,40,0,0.0
千葉県,37,0,0.0
東京都,47,2,4.1
神奈川県,18,1,5.3
新潟県,19,1,5.0
富山県,10,0,0.0
石川県,11,0,0.0
福井県,9,0,0.0
山梨県,13,0,0.0
長野県,19,0,0.0
岐阜県,21,0,0.0
静岡県,21,2,8.7
愛知県,38,0,0.0
三重県,13,1,7.1
滋賀県,12,1,7.7
京都府,14,1,6.7
大阪府,33,0,0.0
兵庫県,27,2,6.9
奈良県,12,0,0.0
和歌山県,9,0,0.0
鳥取県,4,0,0.0
島根県,8,0,0.0
岡山県,14,1,6.7
広島県,14,0,0.0
山口県,12,1,7.7
徳島県,8,0,0.0
香川県,8,0,0.0
愛媛県,11,0,0.0
高知県,11,0,0.0
福岡県,28,0,0.0
佐賀県,10,0,0.0
長崎県,13,0,0.0
熊本県,14,0,0.0
大分県,14,0,0.0
宮崎県,9,0,0.0
鹿児島県,19,0,0.0
沖縄県,10,1,9.1
