試料採取日,第一排水処理場処理水①,第三排水処理場処理水②,第一排水処理場脱水汚泥③,第三排水処理場脱水汚泥④,外側11号ポンプ井浸出液⑤,外側20号ポンプ井浸出液⑥,BﾌﾞﾛｯｸB1ポンプ井浸出液⑦,BﾌﾞﾛｯｸB2ポンプ井浸出液⑧,Bﾌﾞﾛｯｸ集導管浸出液⑨,Bブロック中央ポンプ井⑩,,,,
平成25年9月23日 (④は、9月22日採取）,不検出 (<8.6)／不検出(<8.3),不検出 (<8.6)／不検出(<9.2),―,不検出 (<8.1)／不検出(<6.0),不検出 (<8.4)／不検出(<8.8),―,不検出 (<6.9)／不検出(<7.2),―,―,不検出 (<7.4)／不検出(<7.8),,,,
平成25年9月15日,不検出 (<8.6)／不検出(<8.6),不検出 (<8.4)／不検出(<8.1),134Cs:12.5／137Cs:17.8／合計:30,―,―,不検出 (<9.0)／不検出(<7.2),―,不検出 (<9.5)／不検出(<8.1),不検出 (<7.8)／不検出(<7.5),―,,,,
平成25年9月9日 (④は、9月8日採取）,不検出 (<8.4)／不検出(<6.9),不検出 (<9.0)／不検出(<8.4),―,不検出 (<7.8)／不検出(<7.7),不検出 (<8.1)／不検出(<7.2),―,不検出 (<6.6)／不検出(<8.7),―,―,不検出 (<9.5)／不検出(<9.0),,,,
平成25年9月2日,"不検出 (<8.5)
／不検出(<7.5)",不検出 (<8.7)／不検出(<8.8),134Cs:不検出 (<8.0) ／137Cs:12.1／合計:20,―,―,不検出 (<8.6)／不検出(<8.3),―,不検出 (<8.7)／不検出(<7.5),不検出 (<8.9)／不検出(<8.3),―,,,,
平成25年8月26日,不検出 (<7.8)／不検出(<6.8),不検出 (<8.2)／不検出(<9.5),―,不検出 (<8.4)／不検出(<8.0),不検出 (<9.4)／不検出(<8.0),―,不検出 (<9.5)／不検出(<7.4),―,―,不検出 (<8.3)／不検出(<8.2),,,,
平成25年8月19日,不検出 (<9.7)／不検出(<7.7),不検出 (<9.5)／不検出(<7.7),134Cs:不検出 (<7.1) ／137Cs:8.5／合計:16,―,―,不検出 (<8.2)／不検出(<8.8),―,不検出 (<9.5)／不検出(<8.9),不検出 (<8.5)／不検出(<8.0),―,,,,
平成25年8月12日 (④は、8月11日採取）,不検出 (<7.5)／不検出(<8.5),不検出 (<8.7)／不検出(<8.2),―,不検出 (<8.5)／不検出(<7.3),不検出 (<9.2)／不検出(<8.7),―,不検出 (<9.6)／不検出(<7.4),―,―,不検出 (<8.4)／不検出(<8.8),,,,
平成25年8月5日,不検出 (<9.0)／不検出(<8.9),不検出 (<8.4)／不検出(<8.7),134Cs:不検出 (<8.7) ／137Cs:12.5／合計:21,―,―,不検出 (<9.0)／不検出(<9.5),―,不検出 (<8.5)／不検出(<8.1),不検出 (<8.5)／不検出(<8.9),―,,,,
平成25年7月29日 (④は、7月28日採取）,不検出 (<7.6)／不検出(<7.8),不検出 (<8.0)／不検出(<7.5),―,不検出 (<7.1)／不検出(<7.0),不検出 (<9.4)／不検出(<9.2),―,不検出 (<8.4)／不検出(<7.5),―,―,不検出 (<9.0)／不検出(<6.1),,,,10
平成25年7月22日,不検出 (<8.4)／不検出(<8.6),不検出 (<9.0)／不検出(<8.3),134Cs:7.0／137Cs:不検出 (<7.9)／合計:15,―,―,不検出 (<8.0)／不検出(<8.0),―,不検出 (<7.1)／不検出(<9.2),不検出 (<7.8)／不検出(<6.8),―,,,,
平成25年7月15日 (④は、7月14日採取）,不検出 (<9.6)／不検出(<9.0),不検出 (<9.4)／不検出(<9.2),―,不検出 (<7.8)／不検出(<8.5),不検出 (<8.9)／不検出(<9.0),―,不検出 (<8.4)／不検出(<7.9),―,―,不検出 (<8.6)／不検出(<9.2),,,,
平成25年7月8日,不検出 (<9.4)／不検出(<8.5),不検出 (<8.2)／不検出(<8.2),不検出 (<8.0)／不検出(<8.8),―,―,不検出 (<8.7)／不検出(<7.8),―,不検出 (<8.7)／不検出(<8.0),不検出 (<9.6)／不検出(<8.4),―,,,,
平成25年7月1日 (④は、6月30日採取）,不検出 (<9.4)／不検出(<8.4),不検出 (<7.6)／不検出(<7.4),―,不検出 (<7.8)／不検出(<6.8),不検出 (<10.0)／不検出(<7.5),―,不検出 (<9.6)／不検出(<8.4),―,―,不検出 (<10.0)／不検出(<8.4),,,,
