試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),BﾌﾞﾛｯｸB1ポンプ井浸出液(7),BﾌﾞﾛｯｸB2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管浸出液(9),Bブロック中央ポンプ井(10)
平成26年3月24日 ((4)は、3月23日採取）,不検出 (<6.7)／不検出(<7.9),不検出 (<7.2)／不検出(<7.8),―,不検出 (<7.8)／不検出(<7.2),不検出 (<8.2)／不検出(<6.8),―,不検出 (<7.8)／不検出(<8.2),―,―,不検出 (<9.7)／不検出(<8.2)
平成26年3月17日,不検出 (<9.4)／不検出(<7.8),不検出 (<6.2)／不検出(<9.6),不検出 (<9.3)／不検出(<9.6),―,―,不検出 (<7.5)／不検出(<7.9),―,不検出 (<8.7)／不検出(<8.2),不検出 (<9.0)／不検出(<6.1),―
平成26年3月10日((4)は、3月9日採取）,不検出 (<8.6)／不検出(<5.2),不検出 (<8.9)／不検出(<8.2),―,不検出 (<8.7)／不検出(<7.4),不検出 (<8.8)／不検出(<6.9),―,不検出 (<8.2)／不検出(<8.4),―,―,不検出 (<9.7)／不検出(<6.8)
平成26年3月3日,不検出 (<8.4)／不検出(<7.6),不検出 (<8.9)／不検出(<9.3),134Cs:不検出 (<6.8) ／137Cs:12／合計:19,―,―,不検出 (<8.4)／不検出(<7.4),―,不検出 (<8.5)／不検出(<8.0),不検出 (<8.6)／不検出(<8.6),―
平成26年2月24日((4)は、2月23日採取）,不検出 (<9.7)／不検出(<7.2),不検出 (<8.1)／不検出(<8.0),―,不検出 (<7.3)／不検出(<7.2),不検出 (<8.0)／不検出(<8.3),―,不検出 (<8.6)／不検出(<7.9),―,―,不検出 (<8.0)／不検出(<8.3)
平成26年2月17日,不検出 (<8.1)／不検出(<8.9),不検出 (<7.1)／不検出(<6.2),134Cs:不検出(<8.1) ／137Cs:11／合計:19,―,―,不検出 (<7.0)／不検出(<7.0),―,不検出 (<6.8)／不検出(<9.0),不検出 (<7.4)／不検出(<8.3),―
平成26年2月10 日,不検出 (<9.5)／不検出(<7.7),不検出 (<7.4)／不検出(<6.0),―,不検出 (<7.2)／不検出(<6.8),不検出 (<7.7)／不検出(<7.9),―,不検出 (<8.0)／不検出(<7.1),―,―,不検出 (<7.9)／不検出(<8.3)
平成26年2月3日,不検出 (<7.3)／不検出(<7.2),不検出 (<7.6)／不検出(<9.7),不検出 (<7.6)／不検出(<8.0),―,―,不検出 (<7.7)／不検出(<7.9),―,不検出 (<8.6)／不検出(<6.6),不検出 (<9.1)／不検出(<7.9),―
平成26年1月27日,不検出 (<7.9)／不検出(<9.2),不検出 (<8.4)／不検出(<7.3),―,不検出 (<7.1)／不検出(<8.1),不検出 (<8.3)／不検出(<8.2),―,不検出 (<9.4)／不検出(<8.0),―,―,不検出 (<9.8)／不検出(<7.9)
平成26年1月20日,不検出 (<8.0)／不検出(<7.7),不検出 (<8.4)／不検出(<6.9),134Cs:不検出 (<5.8) ／137Cs:10／合計:16,―,―,不検出 (<8.0)／不検出(<8.7),―,不検出 (<6.5)／不検出(<7.6),不検出 (<7.5)／不検出(<6.9),―
平成26年1月13日((4)は、1月12日採取）,不検出 (<8.3)／不検出(<9.1),不検出 (<8.3)／不検出(<9.4),―,不検出 (<8.2)／不検出(<8.3),不検出 (<6.2)／不検出(<8.4),―,不検出 (<9.4)／不検出(<9.1),―,―,不検出 (<8.2)／不検出(<7.0)
平成26年1月6日,不検出 (<9.6)／不検出(<7.1),不検出 (<7.2)／不検出(<8.3),134Cs:不検出 (<9.8) ／137Cs:13／合計:23,―,―,不検出 (<7.4)／不検出(<7.6),―,不検出 (<7.5)／不検出(<9.4),不検出 (<9.3)／不検出(<7.0),―
