試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),BﾌﾞﾛｯｸB1ポンプ井浸出液(7),BﾌﾞﾛｯｸB2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管浸出液(9),Bブロック中央ポンプ井(10)
平成25年12月30日,不検出 (<4.6)／不検出(<4.4),不検出 (<3.6)／不検出(<4.4),―,不検出 (<5.7)／不検出(<4.8),不検出 (<4.1)／不検出(<4.6),―,不検出 (<3.7)／不検出(<4.7),―,―,不検出 (<4.4)／不検出(<3.7)
平成25年12月23日,不検出 (<9.6)／不検出(<6.9),不検出 (<6.7)／不検出(<6.0),134Cs:不検出 (<8.9) ／137Cs:15／合計:24,―,―,不検出 (<8.7)／不検出(<8.2),―,不検出 (<8.8)／不検出(<9.6),不検出 (<7.7)／不検出(<6.0),―
平成25年12月16日,不検出 (<8.1)／不検出(<6.9),不検出 (<9.3)／不検出(<7.0),―,不検出 (<7.5)／不検出(<5.8),不検出 (<9.4)／不検出(<8.3),―,不検出 (<7.3)／不検出(<8.3),―,―,不検出 (<8.8)／不検出(<7.0)
平成25年12月9日,不検出 (<7.4)／不検出(<8.6),不検出 (<7.4)／不検出(<8.3),134Cs:不検出 (<6.1)／137Cs:21／合計:27,―,―,不検出 (<8.9)／不検出(<9.5),―,不検出 (<8.4)／不検出(<8.5),不検出 (<6.8)／不検出(<6.4),―
平成25年12月 2日((4)は、12月 1日採取）,不検出 (<8.2)／不検出(<9.8),不検出 (<8.8)／不検出(<7.0),―,不検出 (<8.3)／不検出(<7.1),不検出 (<7.8)／不検出(<8.5),―,不検出 (<9.3)／不検出(<9.0),―,―,不検出 (<7.9)／不検出(<8.0)
平成25年11月25日,不検出 (<8.3)／不検出(<6.8),不検出 (<7.5)／不検出(<7.2),134Cs:12／137Cs:24／合計:36,―,―,不検出 (<8.8)／不検出(<8.3),―,不検出 (<9.3)／不検出(<7.5),不検出 (<7.3)／不検出(<7.0),―
平成25年11月18日((4)は、11月17日採取）,不検出 (<6.3)／不検出(<7.1),不検出 (<8.8)／不検出(<6.6),―,不検出 (<6.7)／不検出(<6.5),不検出 (<7.6)／不検出(<6.4),―,不検出 (<8.0)／不検出(<8.2),―,―,不検出 (<8.3)／不検出(<7.8)
平成25年11月11日,不検出 (<7.2)／不検出(<8.4),不検出 (<7.8)／不検出(<7.3),134Cs:11／137Cs:22／合計:33,―,―,不検出 (<7.8)／不検出(<7.9),―,不検出 (<8.7)／不検出(<8.4),不検出 (<8.4)／不検出(<7.9),―
平成25年11月4日((4)は、11月3日採取）,不検出 (<8.4)／不検出(<7.0),不検出 (<8.8)／不検出(<9.3),―,不検出 (<8.0)／不検出(<7.6),不検出 (<7.7)／不検出(<6.7),―,不検出 (<9.4)／不検出(<9.2),―,―,不検出 (<9.1)／不検出(<8.8)
平成25年10月28日,不検出 (<9.0)／不検出(<7.6),不検出 (<7.6)／不検出(<8.0),134Cs:不検出／(<7.9) 137Cs:20／合計:28,―,―,不検出 (<7.3)／不検出(<8.9),―,不検出 (<7.9)／不検出(<8.2),不検出 (<8.3)／不検出(<5.3),―
平成25年10月21日((4)は、10月20日採取）,不検出 (<10)／不検出(<7.8),不検出 (<8.8)／不検出(<7.6),―,不検出 (<7.4)／不検出(<7.1),不検出 (<6.6)／不検出(<9.5),―,不検出 (<8.0)／不検出(<8.5),―,―,不検出 (<8.7)／不検出(<7.7)
平成25年10月14日,不検出 (<7.7)／不検出(<7.6),不検出 (<9.6)／不検出(<9.6),134Cs:8.0／137Cs:20／合計:28,―,―,不検出 (<9.9)／不検出(<8.9),―,不検出 (<8.5)／不検出(<8.2),不検出 (<9.9)／不検出(<7.2),―
平成25年10月7日,不検出 (<8.1)／不検出(<6.7),不検出 (<8.6)／不検出(<8.3),―,不検出 (<7.6)／不検出(<7.6),不検出 (<9.4)／不検出(<7.7),―,不検出 (<7.2)／不検出(<7.6),―,―,不検出 (<9.0)／不検出(<6.5)
平成25年9月30日,不検出 (<8.5)／不検出(<10),不検出 (<8.5)／不検出(<7.8),134Cs:9.8／137Cs:25／合計:35,―,―,不検出 (<8.4)／不検出(<8.7),―,不検出 (<9.6)／不検出(<7.5),不検出 (<5.7)／不検出(<7.6),―
