測定日,測定位置(高さ m),No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成26年 12月30日,0.5,0.08,0.08,0.08,0.07,0.05,0.05,0.04
平成26年 12月30日,1.0,0.08,0.07,0.07,0.06,0.05,0.06,0.04
平成26年 12月24日,0.5,0.07,0.07,0.07,0.07,0.05,0.05,0.04
平成26年 12月24日,1.0,0.07,0.07,0.07,0.06,0.05,0.05,0.04
平成26年 12月17日,0.5,0.08,0.06,0.08,0.08,0.05,0.06,0.04
平成26年 12月17日,1.0,0.08,0.08,0.08,0.06,0.05,0.06,0.04
平成26年 12月10日,0.5,0.08,0.07,0.08,0.07,0.05,0.06,0.04
平成26年 12月10日,1.0,0.07,0.07,0.07,0.06,0.05,0.06,0.04
平成26年 12月3日,0.5,0.07,0.07,0.06,0.06,0.05,0.05,0.03
平成26年 12月3日,1.0,0.06,0.06,0.07,0.05,0.05,0.05,0.03
平成26年 11月26日,0.5,0.08,0.08,0.09,0.08,0.07,0.08,0.05
平成26年 11月26日,1.0,0.08,0.07,0.08,0.07,0.07,0.09,0.04
平成26年 11月19日,0.5,0.08,0.06,0.07,0.07,0.05,0.05,0.04
平成26年 11月19日,1.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04
平成26年 11月12日,0.5,0.07,0.07,0.07,0.06,0.05,0.04,0.04
平成26年 11月12日,1.0,0.06,0.07,0.07,0.06,0.05,0.04,0.04
平成26年 11月5日,0.5,0.07,0.07,0.07,0.06,0.05,0.05,0.03
平成26年 11月5日,1.0,0.07,0.06,0.07,0.05,0.04,0.05,0.04
平成26年 10月29日,0.5,0.07,0.07,0.07,0.06,0.04,0.04,0.04
平成26年 10月29日,1.0,0.07,0.07,0.07,0.06,0.04,0.05,0.04
平成26年 10月22日,0.5,0.08,0.08,0.08,0.07,0.05,0.06,0.04
平成26年 10月22日,1.0,0.07,0.07,0.08,0.07,0.06,0.05,0.04
平成26年 10月15日,0.5,0.07,0.07,0.06,0.07,0.04,0.05,0.04
平成26年 10月15日,1.0,0.07,0.06,0.07,0.05,0.05,0.05,0.04
平成26年 10月8日,0.5,0.07,0.07,0.07,0.06,0.04,0.04,0.03
平成26年 10月8日,1.0,0.07,0.07,0.07,0.06,0.04,0.05,0.03
平成26年 10月1日,0.5,0.07,0.07,0.08,0.08,0.05,0.05,0.03
平成26年 10月1日,1.0,0.07,0.07,0.08,0.06,0.05,0.05,0.04
