試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),BﾌﾞﾛｯｸB1ポンプ井浸出液(7),BﾌﾞﾛｯｸB2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管(北)浸出液(9),Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)
平成26年9月22日((4)は、9月21日採取）,―,不検出 (<6.1)／不検出(<6.9),―,不検出 (<6.1)／不検出(<6.1),不検出 (<8.4)／不検出(<5.7),―,不検出 (<6.4)／不検出(<5.8),―,―,不検出(<5.8)／不検出(<7.8)
平成26年9月15日,不検出 (<7.4)／不検出(<7.4),―,134Cs:不検出 (<5.6)／ 137Cs:16／合計:22,―,―,不検出(<7.2)／不検出(<6.5),―,不検出 (<7.3)／不検出(<6.0),不検出 (<6.3)／不検出(<6.1),―
平成26年9月8日((4)は、9月7日採取）,―,不検出(<5.8)／不検出(<7.7),―,不検出(<5.7)／不検出(<4.8),不検出 (<6.8)／不検出(<5.2),―,不検出(<7.1)／不検出(<6.0),―,―,不検出 (<7.3)／不検出(<6.1)
平成26年9月1日,不検出 (<7.6)／不検出(<7.4),―,134Cs:不検出 (<6.1)／ 137Cs:16／合計:22,―,―,不検出 (<6.7)／不検出(<8.1),―,不検出 (<6.3)／不検出(<8.1),不検出 (<7.6)／不検出(<7.0),―
平成26年8月25日,―,不検出(<7.7)／不検出(<6.3),―,不検出 (<5.4)／不検出(<5.7),不検出 (<6.2)／不検出(<5.0),―,不検出 (<3.6)／不検出(<6.6),―,―,不検出 (<5.4)／不検出(<6.1)
平成26年8月18日,不検出 (<6.6)／不検出(<7.5),―,不検出 (<6.1)／不検出(<7.4),―,―,不検出 (<7.4)／不検出(<6.1),―,不検出 (<6.6)／不検出(<6.7),不検出 (<6.2)／不検出(<7.7),―
平成26年8月11日((4)は、8月10日採取）,―,不検出 (<6.9)／不検出(<6.0),―,不検出(<5.2)／不検出(<5.7),不検出 (<6.5)／不検出(<6.5),―,不検出 (<6.4)／不検出(<5.0),―,―,不検出 (<6.2)／不検出(<5.1)
平成26年8月4日,不検出 (<6.6)／不検出(<6.0),―,134Cs:不検出 (<5.9) ／137Cs:17／合計:23,―,―,不検出 (<6.3)／不検出(<6.2),―,不検出 (<6.6)／不検出(<6.0),不検出 (<6.5)／不検出(<5.5),―
平成26年7月28日(④は、7月27日採取）,―,不検出(<5.7)／不検出(<6.4),―,不検出 (<6.4)／不検出(<6.8),不検出 (<6.2)／不検出(<6.0),―,不検出 (<5.4)／不検出(<6.5),―,―,不検出 (<5.6)／不検出(<6.5)
平成26年7月21日,不検出 (<6.9)／不検出(<7.0),―,134Cs:不検出 (<6.3) ／137Cs:10／合計:16,―,―,不検出(<7.0)／不検出(<6.3),―,不検出(<7.1)／不検出(<6.2),不検出(<7.1)／不検出(<7.1),―
平成26年7月14日(④は、7月13日採取）,―,不検出 (<7.4)／不検出(<6.3),―,不検出(<5.8)／不検出(<6.7),不検出(<7.1)／不検出(<5.9),―,不検出 (<6.3)／不検出(<7.2),―,―,不検出 (<6.9)／不検出(<7.5)
平成26年7月7日,不検出 (<6.5)／不検出(<7.0),―,134Cs:不検出 (<6.0)／ 137Cs:9.5／合計:16,―,―,不検出(<7.0)／不検出(<7.5),―,不検出 (<6.2)／不検出(<6.8),不検出(<7.1)／不検出(<6.5),―
平成26年6月30日((4)は、6月29日採取）,―,不検出 (<6.0)／不検出(<5.8),―,不検出(<5.8)／不検出(<5.6),不検出(<6.0)／不検出(<5.9),―,不検出(<6.6)／不検出(<5.8),―,―,不検出(<5.4)／不検出(<6.0)
