分類/品目/銘柄/単位,2001年12月,2002年10月,2002年11月,2002年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),5544,2739,2754,2739,14年1月改正
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),4794,2392,2388,2370,　　　〃
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),4060,2014,1997,2004,　　　〃
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,　　　〃
（穀類）/うるち米/精米、外国産米100％/10kg(円),3572,        -,        -,        -,廃止(13年12月）
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1袋(円),592,583,583,580,14年1月改正
（穀類）/食パン/普通品/1kg(円),422,424,421,426,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),84,83,83,84,
（穀類）/ゆでうどん/普通品/1kg(円),331,329,318,324,
（穀類）/干しうどん/普通品/1kg(円),525,520,503,512,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),158,155,154,155,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),295,206,199,208,
（穀類）/即席めん/スナックめん、中華タイプ、「カップヌードル」/1個(円),347,141,140,144,14年1月改正
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),261,267,259,267,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),196,191,191,192,14年7月改正
（穀類）/もち/包装生もち/1kg(円),1101,1096,1084,1071,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),412,393,394,390,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),124,129,135,122,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),104,122,119,125,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,277,        -,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),212,224,187,158,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g(円),205,225,228,224,
（魚介類）/さば/丸（長さ約25～35cm）/100g(円),123,132,136,149,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),95,98,102,91,
（魚介類）/たら/まだら、切り身（甘塩）/100g(円),185,        -,        -,        -,廃止(13年12月）
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),290,276,266,253,
（魚介類）/ぶり/切り身/100g(円),270,273,279,286,
（魚介類）/いか/するめいか/100g(円),75,80,80,76,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),222,252,252,265,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),312,316,301,300,
（魚介類）/あさり/殻付き/100g(円),101,112,111,115,
（魚介類）/かき/まがき、むき身/100g(円),293,345,324,318,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),203,186,183,183,
（魚介類）/塩さけ/切り身/100g(円),237,229,228,212,
（魚介類）/たらこ/並/100g(円),678,666,658,659,14年1月改正
（魚介類）/しらす干し/並/100g(円),375,421,427,440,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),185,183,183,182,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),133,130,133,137,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),317,308,313,317,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),178,168,179,177,
（魚介類）/さつま揚げ/並/100g(円),100,101,100,101,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),110,111,110,106,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),161,146,147,146,14年7月改正
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),181,175,179,170,
（魚介類）/いかくん製/リング状、袋入り/100g(円),351,        -,        -,        -,廃止(13年12月）
（魚介類）/塩辛/いかの塩辛、並/100g(円),222,232,242,235,
（魚介類）/魚みそ漬/さわら/100g(円),264,271,263,262,
（魚介類）/あさりつくだ煮/並/100g(円),362,369,366,348,
（魚介類）/さけ缶詰/水煮、イージーオープン缶（180g入り）/1缶(円),335,        -,        -,        -,廃止(13年12月）
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、P4号缶（80g入り）/1缶(円),143,150,161,153,
（肉類）/牛肉/ロース/100g(円),771,818,842,829,
（肉類）/牛肉/肩肉/100g(円),419,428,431,423,
