分類/品目/銘柄/単位,2001年4月,2002年2月,2002年3月,2002年4月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),5557,2751,2762,2732,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),4678,2366,2429,2399,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),3962,1995,1992,1969,
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,
（穀類）/うるち米/精米、外国産米100％/10kg(円),3740,        -,        -,        -,
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1kg(円),597,582,583,580,
（穀類）/食パン/普通品/1kg(円),426,421,417,426,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),84,84,84,82,
（穀類）/ゆでうどん/普通品/1kg(円),327,326,322,330,
（穀類）/干しうどん/普通品/1kg(円),504,514,523,515,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),155,158,156,160,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),301,284,295,291,
（穀類）/即席めん/スナックめん、中華タイプ、「カップヌードル」/1個(円),368,139,141,140,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),254,258,265,266,
（穀類）/小麦粉/薄力粉、1等粉/1kg(円),194,196,192,193,
（穀類）/もち/包装生もち/1kg(円),1065,1073,1118,1106,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),441,400,393,393,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),121,131,129,139,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),117,115,135,134,
（魚介類）/かつお/切り身（刺身用）/100g(円),324,        -,304,302,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),235,225,226,205,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g(円),231,222,231,211,
（魚介類）/さば/丸（長さ約25～35cm）/100g(円),142,118,125,130,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),104,91,92,89,
（魚介類）/たら/まだら、切り身（甘塩）/100g(円),171,        -,        -,        -,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),310,327,328,300,
（魚介類）/ぶり/切り身/100g(円),279,250,248,249,
（魚介類）/いか/するめいか/100g(円),132,80,109,148,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),225,218,219,226,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),334,320,300,310,
（魚介類）/あさり/殻付き/100g(円),98,103,101,105,
（魚介類）/かき/まがき、むき身/100g(円),        -,256,243,        -,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),210,196,191,192,
（魚介類）/塩さけ/切り身/100g(円),246,228,225,221,
（魚介類）/たらこ/並/100g(円),634,653,663,656,
（魚介類）/しらす干し/並/100g(円),368,382,391,380,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),183,184,184,175,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),125,127,127,131,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),329,319,307,312,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),179,181,179,175,
（魚介類）/さつま揚げ/並/100g(円),101,101,102,103,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),112,112,110,110,
（魚介類）/かまぼこ/小板付き、中/100g(円),152,161,162,165,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),177,165,170,170,
（魚介類）/いかくん製/リング状、袋入り/100g(円),356,        -,        -,        -,
（魚介類）/塩辛/いかの塩辛、並/100g(円),223,218,219,215,
（魚介類）/魚みそ漬/さわら/100g(円),243,247,260,242,
（魚介類）/あさりつくだ煮/並/100g(円),339,369,384,375,
（魚介類）/さけ缶詰/水煮、イージーオープン缶（180g入り）/1缶(円),332,        -,        -,        -,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、P4号缶（80g入り）/1缶(円),144,145,156,145,
（肉類）/牛肉/ロース/100g(円),763,784,772,772,
（肉類）/牛肉/肩肉/100g(円),416,428,423,424,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),327,363,354,342,
（肉類）/豚肉/ロース/100g(円),230,236,239,235,
（肉類）/豚肉/肩肉/100g(円),154,160,159,157,
