総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸 出 品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財 注),,,,,,
品目数,,,1381,1100,281,98,705,485,143,18,59,578,161,417,99,318,240,803,310,,,,,,
ウエイト,,,880.65,792.86,87.79,42.15,436.02,267.74,72.1,43.83,52.35,402.48,139.77,262.72,77.17,185.55,119.35,478.17,216.2,,,,,,
平成10年平均,1998,,98.9,97.5,112.1,104.1,98.8,97.8,99.6,101.1,100.7,98.6,97.4,99.2,92,102.2,108.2,99.2,98.1,,,,,,
平成11年平均,1999,,96.6,96.1,101.7,97.9,96.3,94.4,98.1,100,100.1,96.9,95,97.9,88.7,101.7,97.2,96.4,95.9,,,,,,
平成12年平均,2000,,97.2,96.1,106.5,111.7,97.5,95.2,97.6,107.9,100.3,95.3,92.9,96.6,85.9,101,92.7,98.7,94.4,,,,,,
平成13年平均,2001,,97.1,95.3,112.9,115.6,97.2,94.3,97.6,109.9,100.4,94.9,91.7,96.7,83.7,102.1,96.1,98.8,93.6,,,,,,
平成09年度平均,1997,,100.8,99.1,116.1,113.7,101,99.8,101.9,106.7,101.1,99.2,98.2,99.8,93.9,102.2,106.8,102.1,99.4,,,,,,
平成10年度平均,1998,,98.1,96.9,108.4,100,97.8,96.7,99.1,99.5,100.5,98.2,96.8,99,91.2,102.2,105.8,98,97.5,,,,,,
平成11年度平均,1999,,96.7,96.1,102.9,101.9,96.5,94.5,97.9,101.9,100.1,96.5,94.5,97.5,88,101.5,95.9,97,95.5,,,,,,
平成12年度平均,2000,,97.3,96,108.7,113.4,97.7,95.3,97.8,108.7,100.4,95.2,92.6,96.6,85.3,101.2,93.4,99.1,94.2,,,,,,
平成13年１月,2001,1,97.4,95.7,113.1,115,97.9,95.7,98.2,107.6,100.6,95.1,92.3,96.6,84.8,101.5,96.2,99.4,94.1,,,,,,
平成13年２月,2001,2,97.2,95.7,111.1,112.7,97.8,95.5,98.2,107.6,100.5,95,92.1,96.6,84.5,101.7,95.3,99.1,94,,,,,,
平成13年３月,2001,3,97.6,95.6,115.2,116.7,97.8,95.5,98.3,108.4,100.63,95.2,92.2,96.8,84.5,102,97.6,99.5,94.1,,,,,,
平成13年４月,2001,4,97.6,95.5,116.4,117.7,97.8,95.3,98.2,109,100.6,95.2,92.2,96.9,84.3,102.1,98.3,99.6,94.1,,,,,,
平成13年５月,2001,5,97.4,95.5,114.9,117.5,97.6,95,98,109.2,100.6,95.1,91.9,96.9,83.8,102.3,96.8,99.4,93.8,,,,,,
平成13年６月,2001,6,97.4,95.4,115.1,119.2,97.4,94.7,97.7,109.6,100.6,95,91.8,96.8,83.7,102.2,96.2,99.3,93.7,,,,,,
平成13年７月,2001,7,97.6,95.5,116.5,120.6,97.6,94.4,97.6,113.9,100.5,95.2,91.8,97,83.7,102.6,97.5,99.6,93.6,,,,,,
平成13年８月,2001,8,97.1,95.4,112.7,117,97.1,93.8,97.4,113.6,100.5,95,91.6,96.8,83.4,102.3,95.9,98.9,93.4,,,,,,
平成13年９月,2001,9,96.7,95.2,109.8,114.6,96.8,93.3,97,113.4,100.4,94.7,91.4,96.5,83.1,102.1,93.9,98.3,93.2,,,,,,
平成13年10月,2001,10,96.4,94.8,110.4,114.7,96.2,93,97,109.5,100.2,94.6,91.2,96.5,83.1,102,94.4,97.8,93,,,,,,
平成13年11月,2001,11,96,94.6,108.5,110.8,96,92.8,97,108.4,100.1,94.5,91.1,96.4,82.9,102,94.5,97.3,93,,,,,,
平成13年12月,2001,12,96.2,94.6,111,111.1,96.1,93.1,97,108.1,100,94.7,91.3,96.6,82.8,102.3,97.1,97.4,93.1,,,,,,
平成14年１月,2002,1,96.3,94.4,113.7,111.7,96.2,93.4,97.2,107.3,99.9,94.7,91.4,96.5,82.6,102.3,99.8,97.6,93.2,,,,,,
対前月比(%),,,0.1,-0.2,2.4,0.5,0.1,0.3,0.2,-0.7,-0.1,0,0.1,-0.1,-0.2,0,2.8,0.2,0.1,,,,,,
対前年同月比(%),,,-1.1,-1.4,0.5,-2.9,-1.7,-2.4,-1,-0.3,-0.7,-0.4,-1,-0.1,-2.6,0.8,3.7,-1.8,-1,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,
東京の物価／平成14年2月,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,
１９９５年＝１００／（平成７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,
