分類/品目/銘柄/単位,2001年11月,2002年9月,2002年10月,2002年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),5552,2743,2739,2754,14年1月改正
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),4824,2393,2392,2388,　　　〃
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),3963,1996,2014,1997,　　　〃
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,　　　〃
（穀類）/うるち米/精米、外国産米100％/10kg(円),3497,        -,        -,        -,廃止(13年12月）
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1袋(円),594,580,583,583,14年1月改正
（穀類）/食パン/普通品/1kg(円),421,424,424,421,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),84,84,83,83,
（穀類）/ゆでうどん/普通品/1kg(円),323,316,329,318,
（穀類）/干しうどん/普通品/1kg(円),513,518,520,503,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),150,157,155,154,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),295,206,206,199,
（穀類）/即席めん/スナックめん、中華タイプ、「カップヌードル」/1個(円),358,143,141,140,14年1月改正
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),253,263,267,259,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),192,190,191,191,14年7月改正
（穀類）/もち/包装生もち/1kg(円),1072,1036,1096,1084,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),411,389,393,395,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),117,143,129,138,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),107,122,122,125,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,222,277,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),210,213,224,175,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g(円),220,234,225,228,
（魚介類）/さば/丸（長さ約25～35cm）/100g(円),122,130,132,137,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),96,110,98,105,
（魚介類）/たら/まだら、切り身（甘塩）/100g(円),174,        -,        -,        -,廃止(13年12月）
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),280,282,276,262,
（魚介類）/ぶり/切り身/100g(円),272,268,273,284,
（魚介類）/いか/するめいか/100g(円),68,76,80,79,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),220,250,252,252,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),313,306,316,301,
（魚介類）/あさり/殻付き/100g(円),101,113,112,111,
