分類/品目/銘柄/単位,2001年10月,2002年8月,2002年9月,2002年10月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),5576,2738,2743,2739,14年1月改正
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),4825,2392,2393,2392,　　　〃
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),3974,2023,1996,2014,　　　〃
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,　　　〃
（穀類）/うるち米/精米、外国産米100％/10kg(円),3594,        -,        -,        -,廃止(13年12月）
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1kg(円),596,580,580,583,14年1月改正
（穀類）/食パン/普通品/1kg(円),422,425,424,424,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),85,84,84,83,
（穀類）/ゆでうどん/普通品/1kg(円),323,324,316,329,
（穀類）/干しうどん/普通品/1kg(円),511,510,518,520,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),156,152,157,155,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),295,202,206,206,
（穀類）/即席めん/スナックめん、中華タイプ、「カップヌードル」/1個(円),355,144,143,141,14年1月改正
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),262,269,263,267,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),192,190,190,191,14年7月改正
（穀類）/もち/包装生もち/1kg(円),1098,1097,1036,1096,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),407,390,389,390,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),117,149,143,109,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),96,133,122,115,
（魚介類）/かつお/切り身（刺身用）/100g(円),242,258,222,285,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),251,255,213,245,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g(円),233,232,234,225,
（魚介類）/さば/丸（長さ約25～35cm）/100g(円),122,123,130,125,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),84,167,110,96,
（魚介類）/たら/まだら、切り身（甘塩）/100g(円),185,        -,        -,        -,廃止(13年12月）
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),271,294,282,281,
（魚介類）/ぶり/切り身/100g(円),270,279,268,271,
（魚介類）/いか/するめいか/100g(円),76,87,76,72,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),221,239,250,252,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),322,303,306,316,
（魚介類）/あさり/殻付き/100g(円),101,111,113,112,
（魚介類）/かき/まがき、むき身/100g(円),302,        -,        -,337,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),203,186,183,186,
（魚介類）/塩さけ/切り身/100g(円),239,228,234,229,
（魚介類）/たらこ/並/100g(円),691,683,672,666,14年1月改正
（魚介類）/しらす干し/並/100g(円),381,399,407,421,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),188,177,185,183,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),129,130,133,130,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),319,314,310,308,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),182,182,172,168,
（魚介類）/さつま揚げ/並/100g(円),103,101,102,101,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),112,110,110,111,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),164,151,145,146,14年7月改正
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),170,174,179,175,
（魚介類）/いかくん製/リング状、袋入り/100g(円),351,        -,        -,        -,廃止(13年12月）
（魚介類）/塩辛/いかの塩辛、並/100g(円),221,220,230,232,
（魚介類）/魚みそ漬/さわら/100g(円),229,263,267,271,
（魚介類）/あさりつくだ煮/並/100g(円),359,368,371,369,
（魚介類）/さけ缶詰/水煮、イージーオープン缶（180g入り）/1缶(円),331,        -,        -,        -,廃止(13年12月）
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、P4号缶（80g入り）/1缶(円),142,147,157,150,
（肉類）/牛肉/ロース/100g(円),772,799,794,818,
（肉類）/牛肉/肩肉/100g(円),416,420,432,428,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),351,316,333,323,
（肉類）/豚肉/ロース/100g(円),234,236,235,237,
（肉類）/豚肉/肩肉/100g(円),162,168,164,162,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),118,126,124,124,
（肉類）/羊肉/輸入品、ラム/100g(円),128,131,131,124,
（肉類）/レバー/豚レバー/100g(円),100,101,101,103,
（肉類）/ハム/プレスハム、JAS規格品・上級/100g(円),229,        -,        -,        -,廃止(13年12月）
（肉類）/ハム/ロースハム、JAS規格品・標準/100g(円),284,286,290,285,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・上級/100g(円),186,187,187,185,
（肉類）/ベーコン/ベーコン、JAS規格品・標準/100g(円),254,259,254,259,
（乳卵類）/牛乳/瓶入り（200ml）配達、瓶代を除く、月極め/1本(円),97,97,97,97,14年7月改正
（乳卵類）/牛乳/紙容器入り（1000ml入り）、店頭売り/1本(円),204,207,206,208,14年7月改正
（乳卵類）/粉ミルク/調整粉乳、缶入り（980g入り）「ソフトカード明治0コナミルクほほえみ」/1缶(円),2636,2606,2601,2601,
（乳卵類）/バター/カルトン入り（200g入り）/1箱(円),325,327,314,329,
（乳卵類）/チーズ/プロセスチーズ、スライスタイプ（10枚190g入り）/1袋(円),291,279,330,310,14年1月改正
（乳卵類）/チーズ/輸入品、ナチュラルチーズ缶入り（125g入り）「ジェラール」/1缶(円),492,505,492,492,
（乳卵類）/ヨーグルト/プレーンヨーグルトポリ容器（500g又は520g入り）/1個(円),210,217,212,221,
（乳卵類）/鶏卵/白色卵、Lサイズ、パック詰(10個入り）/1パック(円),312,188,211,217,14年7月改正
（野菜・海草）/キャベツ/1kg(円),187,175,158,145,
（野菜・海草）/ほうれんそう/1kg(円),871,1179,1052,867,
（野菜・海草）/はくさい/山東菜を除く/1kg(円),241,266,242,189,
（野菜・海草）/ねぎ/1kg(円),526,603,581,554,
（野菜・海草）/レタス/玉レタス/1kg(円),590,465,532,514,
（野菜・海草）/もやし/だいずもやしを除く/100g(円),18,18,18,17,
（野菜・海草）/ブロッコリー/1kg(円),698,715,798,666,
（野菜・海草）/アスパラガス/グリーンアスパラガス/100g(円),133,158,161,149,
（野菜・海草）/かんしょ/1kg(円),409,603,538,481,
（野菜・海草）/ばれいしょ/1kg(円),264,265,255,256,
（野菜・海草）/さといも/こいも、土付き/1kg(円),495,645,535,503,
（野菜・海草）/だいこん/1kg(円),194,212,193,139,
（野菜・海草）/にんじん/1kg(円),296,380,386,354,
（野菜・海草）/ごぼう/1kg(円),676,742,712,674,
（野菜・海草）/たまねぎ/1kg(円),206,197,203,190,
（野菜・海草）/かぶ/1kg(円),399,        -,        -,        -,廃止(13年12月）
（野菜・海草）/れんこん/1kg(円),603,1469,815,654,
（野菜・海草）/ながいも/1kg(円),690,923,941,943,
（野菜・海草）/えだまめ/100g(円),        -,124,132,        -,
（野菜・海草）/さやえんどう/100g(円),316,        -,        -,        -,廃止(13年12月）
（野菜・海草）/さやいんげん/100g(円),176,164,167,177,
（野菜・海草）/かぼちゃ/1kg(円),292,425,369,318,
（野菜・海草）/きゅうり/1kg(円),502,485,464,421,
（野菜・海草）/なす/1kg(円),609,486,519,505,
（野菜・海草）/トマト/1kg(円),595,571,672,636,
（野菜・海草）/ピーマン/100g(円),62,69,68,66,
（野菜・海草）/生しいたけ/100g(円),188,223,205,194,
（野菜・海草）/えのきだけ/100g(円),73,62,61,66,
（野菜・海草）/しめじ/ぶなしめじ/100g(円),104,74,82,109,
（野菜・海草）/あずき/大粒/100g(円),163,151,152,150,
（野菜・海草）/だいず/黄白豆/100g(円),118,        -,        -,        -,廃止(13年12月）
（野菜・海草）/干ししいたけ/薄葉、並/100g(円),1195,1197,1220,1242,
（野菜・海草）/のり/焼きのり、中、1帖（10枚入り）/1帖(円),439,446,445,445,
（野菜・海草）/わかめ/養殖もの、塩蔵わかめ（湯通しもの）、並/100g(円),149,147,150,146,
（野菜・海草）/こんぶ/とろろこんぶ、並/100g(円),566,580,579,584,
（野菜・海草）/豆腐/絹ごしを除く/100g(円),33,33,32,32,
（野菜・海草）/油揚げ/薄揚げ/100g(円),155,156,155,155,
