分類/品目/銘柄/単位,2001年7月,2002年5月,2002年6月,2002年7月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),5582,2716,2726,2728,14年1月改正
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),4718,2412,2409,2394,　　　〃
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),4006,2000,2016,2022,　　　〃
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,　　　〃
（穀類）/うるち米/精米、外国産米100％/10kg(円),3520,        -,        -,        -,廃止(13年12月）
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1kg(円),596,583,585,587,14年1月改正
（穀類）/食パン/普通品/1kg(円),423,423,426,425,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),83,83,84,83,
（穀類）/ゆでうどん/普通品/1kg(円),321,315,325,315,
（穀類）/干しうどん/普通品/1kg(円),508,512,505,511,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),157,156,157,155,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),313,251,240,258,
（穀類）/即席めん/スナックめん、中華タイプ、「カップヌードル」/1個(円),367,142,141,141,14年1月改正
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),256,268,264,269,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),194,193,193,190,14年7月改正
（穀類）/もち/包装生もち/1kg(円),1095,1094,1083,1119,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),439,392,393,392,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),122,133,136,155,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),99,151,146,124,
（魚介類）/かつお/切り身（刺身用）/100g(円),219,315,301,213,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),222,217,207,244,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g(円),224,220,221,223,
（魚介類）/さば/丸（長さ約25～35cm）/100g(円),133,132,129,119,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),164,90,89,100,
（魚介類）/たら/まだら、切り身（甘塩）/100g(円),181,        -,        -,        -,廃止(13年12月）
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),281,288,261,278,
（魚介類）/ぶり/切り身/100g(円),277,257,271,281,
（魚介類）/いか/するめいか/100g(円),74,121,105,82,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),223,225,230,234,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),327,319,307,306,
（魚介類）/あさり/殻付き/100g(円),102,106,107,110,
（魚介類）/かき/まがき、むき身/100g(円),        -,        -,        -,        -,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),208,197,195,179,
（魚介類）/塩さけ/切り身/100g(円),237,225,221,219,
（魚介類）/たらこ/並/100g(円),673,669,675,673,14年1月改正
（魚介類）/しらす干し/並/100g(円),380,393,389,401,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),176,178,178,175,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),122,128,123,129,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),320,314,312,314,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),179,174,181,179,
（魚介類）/さつま揚げ/並/100g(円),103,103,101,102,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),113,109,110,109,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),151,162,156,137,14年7月改正
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),172,166,166,174,
（魚介類）/いかくん製/リング状、袋入り/100g(円),352,        -,        -,        -,廃止(13年12月）
（魚介類）/塩辛/いかの塩辛、並/100g(円),222,225,218,220,
（魚介類）/魚みそ漬/さわら/100g(円),266,268,249,252,
（魚介類）/あさりつくだ煮/並/100g(円),340,380,366,368,
（魚介類）/さけ缶詰/水煮、イージーオープン缶（180g入り）/1缶(円),341,        -,        -,        -,廃止(13年12月）
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、P4号缶（80g入り）/1缶(円),149,154,144,157,
（肉類）/牛肉/ロース/100g(円),761,792,780,809,
（肉類）/牛肉/肩肉/100g(円),427,420,424,413,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),330,338,321,331,
（肉類）/豚肉/ロース/100g(円),230,232,234,234,
（肉類）/豚肉/肩肉/100g(円),162,158,160,163,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),116,125,123,123,
（肉類）/羊肉/輸入品、ラム/100g(円),128,131,131,131,
（肉類）/レバー/豚レバー/100g(円),100,101,101,101,
（肉類）/ハム/プレスハム、JAS規格品・上級/100g(円),224,        -,        -,        -,廃止(13年12月）
