年度,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和30年度平均,1955,-,16.3,16.4,-,9.08,30.3,44.3,17.4,28.7,21,4.87,14.3,16.6
昭和31年度平均,1956,-,16.6,16.5,-,10.1,31.3,45.5,17.7,28.7,23.3,4.93,14.5,16.5
昭和32年度平均,1957,-,17,16.9,-,10.7,32.6,45.4,18.1,29,23.6,5,14.4,16.7
昭和33年度平均,1958,-,17.2,17.1,-,12.1,31.7,45.4,17.4,28.4,22.7,5.59,14.8,17
昭和34年度平均,1959,-,17.6,17.1,-,13.4,31.8,45.7,17.7,28,22.9,5.59,15.8,17
昭和35年度平均,1960,-,18.2,17.9,-,14.2,33.2,47.3,17.9,27.6,23.1,6.38,16.3,17.6
昭和36年度平均,1961,-,19.4,19,-,15.5,34.6,48.3,18.7,29.1,24.9,6.9,17.4,18.6
昭和37年度平均,1962,-,20.6,20.4,-,16.2,35.1,49.2,19.8,30.6,25.6,7.96,18.7,19.8
昭和38年度平均,1963,-,22.1,22.1,-,17.6,35.1,50.1,21,30.3,26.2,8.94,20.7,21.2
昭和39年度平均,1964,-,23.1,23.1,-,18.8,35,50.8,21.6,31,26.7,9.73,22.5,22.2
昭和40年度平均,1965,-,24.7,25,-,20.2,35.2,51.6,22.6,32.8,27.6,10.7,24.4,23.7
昭和41年度平均,1966,-,25.9,25.8,-,22.3,35.2,52.4,23.5,32.9,31.5,11.9,26,24.7
昭和42年度平均,1967,-,26.9,27.2,-,23.4,35.2,54,24.3,34.1,32,12.2,27.2,25.3
昭和43年度平均,1968,-,28.3,29,-,24,35.4,55,25.9,35.6,33.2,12.8,28.7,27.3
昭和44年度平均,1969,-,30.2,31.3,-,25.4,35.8,55,27.7,35.6,34.9,13.6,31.1,28.9
昭和45年度平均,1970,31.8,32.2,33.6,28.7,27.5,36.1,58,30.8,38,36.3,14.1,32.7,30.8
昭和46年度平均,1971,33.7,34.2,35.5,30.5,29.5,36.6,60.1,33.7,39,37.5,15.5,35.2,32.2
昭和47年度平均,1972,35.9,36.1,37.4,34.9,32.3,38.7,61.5,35.8,42.5,39.3,16.6,36.9,33.8
昭和48年度平均,1973,41.2,41.6,44.1,38.4,36.8,40.8,74.9,45.1,41.3,42.2,18.5,42,36.8
昭和49年度平均,1974,49.3,50.2,54.1,43.6,43.8,50.1,94.7,52.5,46.8,50.1,22.7,50.4,42.7
昭和50年度平均,1975,54.8,55.7,60.3,48.2,47.6,57.2,93.6,55.4,51.2,55.7,29.1,57,49.1
昭和51年度平均,1976,60,60.9,65.6,53,52.1,64.3,95.7,60.3,56.8,62.6,33.3,60.1,57.6
昭和52年度平均,1977,64.4,65.3,69.2,57.9,56.4,68.6,98.2,62.7,59.1,74.1,38.1,64.4,60.8
昭和53年度平均,1978,67.2,67.8,71.6,63.1,60.2,67.1,99.1,65.5,64.8,75.4,42.7,66.5,62.4
昭和54年度平均,1979,70.3,70.8,73.8,66.2,63.6,73.7,101.5,67.9,67.3,80.6,46.6,69,65.2
昭和55年度平均,1980,75.2,76.2,77.4,67.8,67.4,101.1,109.8,71.4,68.1,83.1,51,74.6,74.8
昭和56年度平均,1981,78.2,79.3,80.7,70.2,69.5,105,112.5,73.6,70.2,87.8,54.7,76.9,77.1
昭和57年度平均,1982,80.5,81.6,82.5,72.1,71.5,110.1,112.5,76.4,71.3,91.5,58,78.8,78.7
昭和58年度平均,1983,82.2,83.3,84.4,74.1,74.1,109.4,112.6,78.4,72.7,89.9,60.7,81.2,82.7
昭和59年度平均,1984,84.2,85.4,86.4,76,76.6,111.3,113.1,80.8,75.6,92.6,63.3,82.9,83.6
昭和60年度平均,1985,86,87.3,88,78.2,78.7,111,113.8,83.7,79.6,94.7,66.6,84.3,84.5
昭和61年度平均,1986,86.3,87.3,87.2,79.8,80,102.4,114.2,85.3,81.5,93.9,68.7,86.1,86.4
昭和62年度平均,1987,87.1,87.8,87.7,82.3,82.4,97.4,113.3,85.1,82.5,94.9,71.2,86.8,87.3
昭和63年度平均,1988,88,88.7,88.7,83.4,83.9,95.9,113.1,87,82.8,94.7,73.8,88,87.9
平成元年度平均,1989,90.8,91.5,92.2,86.5,87.1,94.8,114,91.8,83.8,96.1,76.1,91.6,89.6
平成2年度平均,1990,93.6,94.4,96.1,88.9,90,95.8,114.1,95.5,84.5,96.9,79.6,95.3,91.1
平成3年度平均,1991,96.4,97.2,99.5,92.1,93.5,96.2,114.8,101.3,85.4,97.9,82.1,97.5,92.5
平成4年度平均,1992,98,98.6,100,94.9,96.8,96.2,116.5,102.2,87.5,99.8,85.1,100.2,94
平成5年度平均,1993,99.2,99.4,101.3,98.4,98.9,95.8,114.4,100.1,87.8,99.6,88.1,102,95.4
平成6年度平均,1994,99.6,99.6,101.2,99.9,100.1,97.9,111.8,97.8,88.2,99.3,90.7,102.4,96.3
平成7年度平均,1995,99.2,99.2,99.7,99.9,101.2,98.1,109.6,97.9,88.8,101.1,92.6,100.6,96.8
平成8年度平均,1996,99.3,99.3,99.9,99.8,101,98.1,106.3,98.1,89.5,101.3,95,99.9,97.3
平成9年度平均,1997,101.1,101.3,102.2,100.6,101.4,101.4,105.4,100.8,97.2,101.7,96.2,102.2,99.7
平成10年度平均,1998,101.4,101.6,103,100.5,100.7,100.1,103.7,101.9,101.6,100.5,97.9,101.7,100.6
平成11年度平均,1999,100.8,100.7,101.6,100.9,100.5,99,101.9,100.3,100.4,100.4,99.3,100.8,100.2
平成12年度平均,2000,99.8,99.9,100.1,99.5,99.9,100,99.2,99.8,100.3,99.8,100.2,99.1,100
平成13年度平均,2001,98.5,98.6,98.8,98.2,99.1,100.1,95.1,97.7,100.3,98.7,101,96.5,99.9
,,,,,,,,,,,,,,
東京の物価／平成１４年１１月,,,,,,,,,,,,,,
４．東京都区部消費者物価１０大費目指数（年度平均）,,,,,,,,,,,,,,
２０００年＝１００／(平成１２年＝１００),,,,,,,,,,,,,,
