総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注3)
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643
平成18年平均,2006,,104.4,102.2,113.9,121.3,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.6,100.6
平成19年平均,2007,,107.4,104,122.5,132.6,109.7,110.3,106.7,115,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4
平成20年平均,2008,,113.2,108.7,133,165.2,115.7,114.3,113.4,132.9,108.1,99.9,98,100.9,91.1,105.2,122.3,102.9
平成21年平均,2009,,102.3,102.3,99.2,110.4,105.6,104.8,108.1,106.4,106.5,96.5,95.9,96.8,88.1,100.6,106.2,99.9
平成22年平均,2010,,103.5,102.8,106.2,126.7,106.3,105.5,107.5,111.3,104.3,95.4,94.6,95.8,84.4,100.7,109,98.8
平成18年度平均,2006,,105,102.5,115.7,122.8,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.7,100.9
平成19年度平均,2007,,108.6,104.9,124.9,139.3,110.9,111.1,107.2,119.4,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4
平成20年度平均,2008,,111.5,108.2,125.8,155.3,114.5,112.9,114,128.9,108.7,99.2,97.6,100,90.4,104.1,119.9,102.9
平成21年度平均,2009,,102.4,102.6,101.5,114.6,105.2,104.6,107,106.1,105.7,96.3,95.6,96.7,87.2,100.8,106.5,99.3
平成22年度平均,2010,,104.2,103.3,108.3,132,107,106.1,108.2,113.4,103.8,95.3,94.2,95.8,83.5,101.2,110.3,98.7
平成22年11月,2010,11,103.4,103,105.2,126.7,106.3,105.7,107.4,110.4,103.8,95.3,93.8,96,83.1,101.6,109,98.2
平成22年12月,2010,12,104.3,103.4,108.3,132,107,106.4,107.7,112.3,103.9,95.6,93.8,96.4,83.1,102.3,110.3,98.3
平成23年１月,2011,1,105.3,104,111.3,137.2,108.1,107.2,108.7,115.7,104.6,95.6,93.7,96.5,82.8,102.5,111.9,98.5
平成23年２月,2011,2,105.9,104.1,113.4,141.8,108.4,107.7,108.8,116.1,104.3,95.6,93.5,96.6,82.4,102.8,112.8,98.5
平成23年３月,2011,3,106.7,104.7,115.2,146.2,109,107.9,109.3,119.7,104.3,96,93.6,97.1,82.4,103.6,113.9,98.6
平成23年４月,2011,4,108.7,105.7,122.1,158.2,110.8,109.5,110.8,123.7,105,96.4,93.6,97.8,82.6,104.3,117.1,99.2
平成23年５月,2011,5,108.7,105.5,122.5,161.1,110.7,109.2,111,124.2,105,95.9,93.1,97.2,82,103.8,117.4,98.9
平成23年６月,2011,6,108.3,105.5,120.4,156.7,110.7,109.1,110.9,124.1,105.3,95.8,93.3,96.9,81.8,103.5,116.8,99
平成23年７月,2011,7,108.4,105.7,119.8,156.9,111,109,110.7,126.8,105.6,95.6,93.2,96.7,81.6,103.4,117,98.9
平成23年８月,2011,8,107.7,105.5,117.3,153.7,110.5,108.5,110.1,126.2,105.7,95.2,93,96.3,81.1,102.9,116.2,98.5
平成23年９月,2011,9,107.2,105.4,115,149.7,110.1,108,110.1,125.7,105.7,95.1,93,96.2,81.1,102.7,115.3,98.5
平成23年10月,2011,10,106.4,104.6,114.3,148.4,109.1,107.1,110.2,122.7,105.3,94.8,92.6,95.9,80.7,102.5,114.3,98.3
平成23年11月,2011,11,106.5,104.7,114.3,147.6,109.2,107,109.7,124.4,105.4,94.9,92.5,96,80.5,102.8,114.3,98.1
対前月比(%),,,0.1,0.1,0,-0.5,0.1,-0.1,-0.5,1.4,0.1,0.1,-0.1,0.1,-0.2,0.3,0,-0.2
対前年同月比(%),,,3,1.7,8.7,16.5,2.7,1.2,2.1,12.7,1.5,-0.4,-1.4,0,-3.1,1.2,4.9,-0.1
,,,,,,,,,,,,,,,,,,
東京の物価／平成23年12月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注 3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,
