年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成23年６月,2011,6,396,107,86,224,166,229,105,68,562,222,106,250,239,113,...,219,814,203,237,174,130,126,106,684,164,566,306,17,596,162,492,409,927,140,348,832,222,1562,643,132,152,189,427,507,627,549,82,167,46,66,...,485,...,534,266,381,...,...,1626,...,...,...,328,551,...,372,216,703,171,200,290
平成23年７月,2011,7,404,120,81,199,182,234,112,138,557,231,97,253,243,113,...,233,788,211,240,173,129,125,174,858,180,576,306,17,635,179,527,361,861,161,364,854,209,2066,643,131,133,191,444,518,582,594,83,160,45,66,...,527,...,533,275,371,...,...,1471,1925,...,916,364,576,...,204,220,744,170,201,284
平成23年７月上旬,2011,7上,401,119,78,207,181,...,111,67,556,232,95,...,...,...,...,...,...,...,...,...,...,...,172,773,172,561,303,...,660,176,...,...,...,152,...,...,206,2002,...,...,138,192,443,576,642,599,82,...,...,...,...,516,...,...,...,...,...,...,1413,2006,...,919,339,561,...,183,223,...,169,199,288
平成23年７月中旬,2011,7中,413,102,74,193,182,234,100,167,548,216,95,253,243,113,...,233,788,211,240,173,129,125,185,889,175,590,313,17,629,182,527,361,861,168,364,854,213,2080,643,131,134,194,449,534,593,611,83,160,45,66,...,528,...,533,275,371,...,...,1486,1972,...,917,378,580,...,199,220,744,172,206,284
平成23年７月下旬,2011,7下,400,140,91,198,184,...,125,180,568,244,100,...,...,...,...,...,...,...,...,...,...,...,166,912,193,576,302,...,616,179,...,...,...,164,...,...,208,2116,...,...,129,187,441,445,510,571,83,...,...,...,...,538,...,...,...,...,...,...,1513,1798,...,911,375,586,...,231,218,...,169,200,279
平成23年８月上旬,2011,8上,392,104,79,191,178,...,109,175,552,236,77,...,...,...,...,...,...,...,...,...,...,...,133,929,168,570,292,...,598,159,...,...,...,170,...,...,201,1588,...,...,122,231,458,478,562,663,87,...,...,...,627,...,...,...,...,...,...,697,1089,1615,...,818,344,524,...,...,210,...,170,204,284
平成23年８月中旬,2011,8中,389,113,82,252,197,233,94,157,563,230,81,255,241,116,...,232,776,209,240,174,131,123,118,858,168,574,343,16,565,152,519,320,712,153,370,841,206,1366,641,131,115,217,431,419,518,617,82,165,44,66,649,...,...,551,270,355,...,655,1011,1438,...,775,304,470,...,...,207,744,170,204,281
銘柄改正年月,,,,,,H23.7,,,,,,,,,,,,,,,,,,,,,,,,H23.7,,,,,,,,,,,,,,,,,,,,,,,,H23.3,,,,,,,,,,,,,,H23.6,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成23年8月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
