国(地域）/年月,西暦（年）,月,日本/国内企業物価指数,アメリカ合衆国/(季節調整済)/生産者物価指数/(完成財総合),カナダ/工業製品価格指数,韓国/生産者物価指数,オーストラリア/製造業製品価格指数,ユーロエリア/生産者物価指数,ユーロエリア/ドイツ/(季節調整済)/工業生産者物価指数,ユーロエリア/フランス/生産者価格指数（中間財）,ユーロエリア/イタリア/(季節調整済)/工業生産者価格指数,イギリス/生産者価格指数(工業品),ロシア/生産者物価指数(工業部門)
前年比(%)/2004年平均,2004,,1.3,3.6,3.2,6,4,2.3,1.6,-,2.2,1,28.8
前年比(%)/2005年平均,2005,,1.7,4.9,1.6,2.2,6,4.1,4.4,2.5,3.5,1.9,13.4
前年比(%)/2006年平均,2006,,2.2,3,2.3,0.9,7.9,5.1,5.4,4.6,4.5,2,10.4
前年比(%)/2007年平均,2007,,1.8,3.9,1.5,1.4,2.3,2.7,1.3,4.8,3,2.4,25.1
前年比(%)/2008年平均,2008,,4.5,6.3,4.3,8.6,8.3,6.1,5.4,4.2,5.1,6.7,-7
前年比(%)/2009年平均,2009,,-5.2,-2.6,-3.5,-0.2,-5.4,-5.1,-4.2,-4.9,-4.7,1.6,13
前年比(%)/2010年平均,2010,,-0.2,4.2,1,0.2,0,2.9,1.7,2.7,3,4.2,16.7
前年同月比(%)/2010年５月,2010,5,0.4,5.1,1.7,4.6,-,3.2,0.9,2.6,3.7,5,2.7
前年同月比(%)/2010年６月,2010,6,0.4,2.7,0.3,4.6,2.5,3.1,1.7,2.8,3.5,4.4,-3.1
前年同月比(%)/2010年７月,2010,7,-0.2,4.1,0.8,3.4,-,4,3.7,3.2,3.9,4.2,0.6
前年同月比(%)/2010年８月,2010,8,0,3.3,0.6,3.1,-,3.6,3.2,3.5,3.5,4.2,3.3
前年同月比(%)/2010年９月,2010,9,-0.1,3.9,1.6,4,1.5,4.3,3.9,4.2,4,3.8,-1.3
前年同月比(%)/2010年10月,2010,10,0.9,4.3,2.5,5,-,4.4,4.3,4.9,3.8,4,2.2
前年同月比(%)/2010年11月,2010,11,0.9,3.4,2.3,4.9,-,4.6,4.4,5.5,3.9,4.1,4.4
前年同月比(%)/2010年12月,2010,12,1.2,3.8,3,5.3,3.8,5.4,5.3,6.1,4.5,4.2,1
前年同月比(%)/2011年１月,2011,1,1.6,3.6,3.2,6.2,-,5.9,5.7,7,5.1,5,2.2
前年同月比(%)/2011年２月,2011,2,1.7,5.4,3.8,6.6,-,6.6,6.4,7.4,5.4,5.3,3.4
前年同月比(%)/2011年３月,2011,3,2,5.8,5.1,7.3,3.9,6.8,6.2,7.6,5.8,5.6,1.4
前年同月比(%)/2011年４月,2011,4,2.6,6.8,5.1,6.8,-,6.8,6.4,7.4,5.2,5.6,2
前年同月比(%)/2011年５月,2011,5,2.2,7.3,4.6,6.2,-,6.2,6.1,6.9,4.5,5.4,1.2
前年同月比(%)/2011年６月,2011,6,2.5,7,5.4,6.2,3.6,5.9,5.6,6.9,4.3,5.8,-2.2
前年同月比(%)/2011年７月,2011,7,2.8,7.2,5.1,6.5,-,6.1,5.8,6.5,4.7,6.1,-1
前年同月比(%)/2011年８月,2011,8,2.6,6.5,5.2,6.6,-,5.9,5.5,6.2,4.5,6,4.6
前年同月比(%)/2011年９月,2011,9,2.5,...,...,5.7,...,...,...,...,...,6.3,-0.7
,,,,,,,,,,,,,
東京の物価／平成23年11月,,,,,,,,,,,,,
参考表４　主要国（地域）の企業物価指数及び生産者価格指数（変化率）,,,,,,,,,,,,,
注．アメリカ合衆国、ドイツ、イタリア、ロシアの数値は前月比,,,,,,,,,,,,,
資料　総務省統計局「総合統計データ月報」,,,,,,,,,,,,,
