国(地域）/年月,西暦（年）,月,日本,アメリカ合衆国/(季節調整済),カナダ,中国,韓国,インド/工業労働者対象,オーストラリア,ユーロエリア,ユーロエリア/ドイツ/(季節調整済),ユーロエリア/フランス,ユーロエリア/イタリア/(季節調整済)/（たばこを除く総合）,イギリス,ロシア
前年比(%)/2004年平均,2004,,0,2.7,1.8,3.9,3.6,3.9,2.3,2.2,1.7,2.1,2.2,3,10.8
前年比(%)/2005年平均,2005,,-0.3,3.4,2.2,1.8,2.8,4.2,2.7,2.2,1.5,1.8,1.9,2.8,12.7
前年比(%)/2006年平均,2006,,0.3,3.2,2,1.5,2.2,6.8,3.5,2.2,1.6,1.6,2.1,3.2,9.7
前年比(%)/2007年平均,2007,,0,2.8,2.2,4.8,2.5,6.2,2.3,2.1,2.3,1.5,1.8,4.3,9
前年比(%)/2008年平均,2008,,1.4,3.8,2.3,5.9,4.7,9.1,4.4,3.3,2.6,2.8,3.3,4,14.1
前年比(%)/2009年平均,2009,,-1.4,-0.4,0.3,-0.7,2.8,12.4,1.8,0.3,0.4,0.1,0.8,-0.5,11.7
前年比(%)/2010年平均,2010,,-0.7,1.6,1.8,3.3,2.9,10.4,0.7,1.6,1.1,1.5,1.5,4.6,6.9
前年同月比(%)/2010年６月,2010,6,-0.7,1.1,1,2.9,2.6,13.7,3.1,1.5,0.9,1.5,1.2,5,5.8
前年同月比(%)/2010年７月,2010,7,-0.9,1.2,1.8,3.3,2.6,11.3,-,1.7,1.2,1.7,1.6,4.8,5.5
前年同月比(%)/2010年８月,2010,8,-0.9,1.1,1.7,3.5,2.6,9.9,-,1.6,1,1.4,1.5,4.7,6.1
前年同月比(%)/2010年９月,2010,9,-0.6,1.1,1.9,3.6,3.6,9.8,2.8,1.9,1.3,1.6,1.5,4.6,7
前年同月比(%)/2010年10月,2010,10,0.2,1.2,2.4,4.4,4.1,9.7,-,1.9,1.3,1.6,1.7,4.5,7.5
前年同月比(%)/2010年11月,2010,11,0.1,1.1,2,5.1,3.3,8.3,-,1.9,1.5,1.6,1.6,4.7,8.1
前年同月比(%)/2010年12月,2010,12,0,1.5,2.4,4.6,3.5,9.5,2.7,2.2,1.7,1.8,1.8,4.8,8.8
前年同月比(%)/2011年１月,2011,1,-0.6,1.6,2.3,4.9,4.1,9.3,-,2.3,2,1.8,2.1,5.1,9.6
前年同月比(%)/2011年２月,2011,2,-0.5,2.1,2.2,4.9,4.5,8.8,-,2.4,2.1,1.7,2.4,5.5,9.5
前年同月比(%)/2011年３月,2011,3,-0.5,2.7,3.3,5.4,4.7,8.8,3.3,2.7,2.1,2,2.5,5.3,9.4
前年同月比(%)/2011年４月,2011,4,-0.4,3.2,3.3,5.3,4.2,9.4,-,2.8,2.4,2.1,2.6,5.2,9.6
前年同月比(%)/2011年５月,2011,5,-0.4,3.6,3.7,5.5,4.1,8.7,-,2.7,2.3,2,2.6,5.2,9.6
前年同月比(%)/2011年６月,2011,6,-0.4,3.6,3.1,6.4,4.4,8.6,3.6,2.7,2.3,2.1,2.7,5,9.4
前年同月比(%)/2011年７月,2011,7,0.2,3.6,2.7,6.5,4.7,8.4,-,2.5,2.4,1.9,2.7,5,9
前年同月比(%)/2011年８月,2011,8,0.2,3.8,3.1,6.2,5.3,9,-,2.5,2.4,2.2,2.8,5.2,8.1
前年同月比(%)/2011年９月,2011,9,0,3.9,3.2,6.1,4.3,10.1,3.5,3,2.6,2.2,3,5.6,7.2
前年同月比(%)/2011年10月,2011,10,-0.2,3.5,2.9,5.5,3.9,...,-,3,2.5,2.3,3.4,5.4,7.2
,,,,,,,,,,,,,,,
東京の物価／平成23年12月,,,,,,,,,,,,,,,
参考表５主要国（地域）の消費者物価指数（変化率）,,,,,,,,,,,,,,,
資料　総務省統計局「総合統計データ月報」,,,,,,,,,,,,,,,
