年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/二人以上の世帯,1)消費水準指数全国(平成17年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/3)平均消費性向（％）,生計（東京都勤労者世帯）/4)公共的料金負担率（％）,2)実質賃金指数/調査産業計
平成21年平均,2009,,100.3,100,1785.2,664.4,97.2,96.5,598723,359096,74.1,29.1,97.8
平成22年平均,2010,,99.6,99,1767.3,668.4,97.5,97.1,…,…,…,…,…
平成21年８月,2009,8,102.7,101.6,1813.8,784.4,92.5,93.2,511934,331863,77.6,26.9,80.4
平成21年９月,2009,9,102.7,101.9,1819.1,767.1,92.4,91.8,480782,351510,89,28,83.6
平成21年10月,2009,10,102.6,101.8,1817.3,731.5,92.7,90.7,513425,323829,76,30.5,78.8
平成21年11月,2009,11,101.7,101.4,1810.2,700.7,94.6,93.5,493554,336846,83.7,26.2,84.7
平成21年12月,2009,12,101.3,101.3,1808.4,677,108.8,107.5,1097214,398777,43.9,25.2,191.9
平成21年１月,2009,1,100.7,100.7,1797.7,664.2,94.9,95.1,535142,372145,85.8,27.1,80.6
平成21年２月,2009,2,100.4,100.4,1792.3,663.1,96.2,97,516992,328284,77.5,35.1,80.1
平成21年３月,2009,3,100.7,100.7,1797.7,669.6,101.3,101.8,513807,385396,92.8,28.8,83.7
平成21年４月,2009,4,100.8,100.7,1797.7,668,103.1,105,567197,413495,90.1,39.2,81.6
平成21年５月,2009,5,100.6,100.5,1794.1,661.9,93,93.8,514932,358824,88.7,29,82.2
平成21年６月,2009,6,100.4,100.1,1787,664.3,93.4,91.6,754781,335838,57.5,27.3,148.6
平成21年７月,2009,7,100.1,99.7,1779.8,666.1,93.5,94.2,663677,364311,68.9,24.4,107.1
平成21年８月,2009,8,100.4,99.9,1783.4,668.3,95,94.2,540405,351877,80.2,25.9,80.1
平成21年９月,2009,9,100.4,99.8,1781.6,664.8,93.5,92.4,512973,334698,80.6,30.3,79.1
平成21年10月,2009,10,100,99.4,1774.5,659.5,94.5,91.3,519367,331798,77.4,30,80.3
平成21年11月,2009,11,99.8,99.2,1770.9,660.3,96.7,93.7,509747,334079,79.8,27.9,85.5
平成21年12月,2009,12,99.6,99.1,1769.1,663.4,111.1,107.5,1035661,398412,46.1,23.7,186
平成22年１月,2010,1,99.4,98.6,1760.2,667.7,96.5,96.6,532363,366210,83.3,26.5,81.3
平成22年２月,2010,2,99.3,98.6,1760.2,666.5,95.7,95,556947,326640,70.4,31.4,79.7
平成22年３月,2010,3,99.6,99,1767.3,667.4,105.8,106,516576,408856,97,26.8,87.6
平成22年４月,2010,4,99.6,99.2,1770.9,678.9,102.5,102.8,571504,395590,85.9,37.4,87.6
平成22年５月,2010,5,99.7,99.1,1769.1,677.8,92.4,90.7,516554,365076,91.5,26.7,82.3
平成22年６月,2010,6,99.7,99.1,1769.1,671.7,94,91.9,884794,339614,50.6,26.4,158.5
平成22年７月,2010,7,99.2,98.5,1758.4,666.6,94.6,95.2,655849,380661,72.7,23.9,107
平成22年８月,2010,8,99.5,98.9,1765.6,663.1,96.9,96.8,544261,372466,86,24.4,80.5
平成22年９月,2010,9,99.8,99.2,1770.9,662.6,93.7,94.7,496141,355543,89.1,30.7,80.8
平成22年10月,2010,10,100.2,99.7,1779.8,661.1,94.2,95.3,554620,347453,75.7,32.7,80.8
平成22年11月,2010,11,99.9,99.4,1774.5,665.5,96.6,95.3,501996,327969,80.6,28.8,85.3
平成22年12月,2010,12,99.6,99,1767.3,671,107.6,104.6,1057373,371618,42.5,25.2,182.7
平成23年１月,2011,1,99.4,98.6,1760.2,675.9,95.7,95.5,…,…,…,…,…
,,,,,,,,,,,,,
東京の物価／平成23年2月,,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを平成17年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成17年＝100),,,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,,
