総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注)
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643
平成18年平均,2006,,104.4,102.2,113.9,121.3,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.6,100.6
平成19年平均,2007,,107.4,104,122.5,132.6,109.7,110.3,106.7,115,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4
平成20年平均,2008,,113.2,108.7,133,165.2,115.7,114.3,113.4,132.9,108.1,99.9,98,100.9,91.1,105.2,122.3,102.9
平成21年平均,2009,,102.3,102.3,99.2,110.4,105.6,104.8,108.1,106.4,106.5,96.5,95.9,96.8,88.1,100.6,106.2,99.9
平成22年平均,2010,,103.5,102.8,106.2,126.7,106.3,105.5,107.5,111.3,104.3,95.4,94.6,95.8,84.4,100.7,109,98.8
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100
平成18年度平均,2006,,105,102.5,115.7,122.8,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.7,100.9
平成19年度平均,2007,,108.6,104.9,124.9,139.3,110.9,111.1,107.2,119.4,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4
平成20年度平均,2008,,111.5,108.2,125.8,155.3,114.5,112.9,114,128.9,108.7,99.2,97.6,100,90.4,104.1,119.9,102.9
平成21年度平均,2009,,102.3,102.6,101.4,114.5,105.2,104.6,107,106,105.7,96.3,95.6,96.6,87.2,100.7,106.4,99.3
平成22年３月,2010,3,103,102.6,104.7,121,105.8,105.2,106.4,109.7,104.6,95.9,94.9,96.4,85.6,101.1,107.8,98.6
平成22年４月,2010,4,104.5,103,111.1,132.1,107.2,106.7,108.1,111.9,104.2,95.8,94.8,96.2,85,101,110.5,99.2
平成22年５月,2010,5,104.8,103.3,111.3,136.1,107.2,106.2,108.8,113.6,104.1,95.6,94.8,96,84.6,100.9,111,99.3
平成22年６月,2010,6,103.9,102.8,108.4,129.8,106.8,105.9,108.4,112.2,104,95.2,94.6,95.5,84.4,100.3,109.8,99.1
平成22年７月,2010,7,103.4,102.8,105.9,127.7,106.3,105.2,108.2,113.4,103.7,94.8,94.5,95,84.1,99.7,109.2,98.9
平成22年８月,2010,8,103,102.8,103.8,125.5,106.2,105,108,113.3,103.5,94.5,94.3,94.7,83.7,99.4,108.7,98.7
平成22年９月,2010,9,102.9,102.8,103.7,125.8,106.1,105,107.8,112.2,103.7,94.5,94.2,94.7,83.7,99.5,108.7,98.6
平成22年10月,2010,10,102.8,102.9,102.2,122.2,105.8,105.2,107.6,109.9,103.3,95.2,94,95.8,83.3,101.3,108,98.4
平成22年11月,2010,11,103.4,103,105,126.5,106.2,105.6,107.4,110.4,103.4,95.4,94.2,96,83.1,101.6,108.9,98.4
平成22年12月,2010,12,104.2,103.4,108.1,131.8,106.9,106.3,107.7,112.3,103.4,95.6,94,96.4,83.2,102.2,110.2,98.5
平成23年１月,2011,1,105.2,103.9,110.9,137.1,107.9,107,108.5,115.7,104,95.7,94.1,96.4,82.9,102.4,111.8,98.7
平成23年２月,2011,2,105.8,104.1,113,141.8,108.2,107.4,108.7,115.9,104,95.7,93.9,96.6,82.4,102.8,112.7,98.7
平成23年３月,2011,3,106.6,104.7,114.7,145.8,108.9,107.7,109.3,119.5,104,96,93.8,97,82.3,103.4,113.8,98.9
対前月比(%),,,0.8,0.6,1.5,2.8,0.6,0.3,0.6,3.1,0,0.3,-0.1,0.4,-0.1,0.6,1,0.2
対前年同月比(%),,,3.5,2,9.6,20.5,2.9,2.4,2.7,8.9,-0.6,0.1,-1.2,0.6,-3.9,2.3,5.6,0.3
,,,,,,,,,,,,,,,,,,
東京の物価／平成23年4月,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
