総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/情報通信機器,工業製品/電子部品・デバイス,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）輸出物価指数,（参考）輸入物価指数
品目数,,,857,,,813,112,43,17,36,126,21,12,39,42,32,40,81,59,23,28,16,25,61,25,6,8,5,213,268
ウエイト,,,1000,-,　　　-,918.8,114.5,13.1,10.2,28.5,85.2,38.7,53.8,25.9,52.6,22.5,37.6,108.4,53.3,41.4,34.3,124.8,10.6,63.4,25.9,3.9,46.5,4.9,1000,1000
平成18年平均,2006,,102.2,2.2,　　　-,102.1,100.1,101.8,103.9,100.2,103,103.8,118.1,101.3,102.6,137.9,101.4,100.1,98.6,92.8,94.8,99.9,99.1,100.1,98.4,101,102.9,125.4,103.1,113.9
平成19年平均,2007,,104,1.8,　　　-,103.8,101.2,105.1,111.8,103.6,106.7,105.7,125.2,102.3,110.1,150.3,104,100.4,98.1,84.4,90.3,99.9,98.6,101.5,97.4,104.9,104.4,164.3,105.4,122.5
平成20年平均,2008,,108.7,4.6,　　　-,108.4,106.3,107.7,107.8,110.8,111.5,109.3,153.8,106.2,132.1,141.5,109.1,101.3,97.1,79.1,87.2,101.6,98.8,104.5,98.7,110,110.9,197.2,98.9,133
平成21年平均,2009,,103,-5.3,　　　-,102.8,107.3,106,104.5,113.4,101.2,107.7,101.8,110.3,120.4,109.8,107.7,100.5,94.3,73.9,83.6,104.6,99.2,103,96.1,112.5,109.9,105.2,88.6,99.2
平成22年平均,2010,,102.8,-0.2,　　　-,102.7,107,106.9,105.7,110.7,102.1,106.4,117.8,110.9,117.9,125.3,105.9,99.5,90.7,68.7,79.5,102.4,98.6,101.2,95.9,115.9,105,139.5,86.4,106.2
平成18年度平均,2006,,102.5,2,　　　-,102.4,100.4,102.5,107,100.9,103,104,117.9,101.6,104.2,143.7,102,100.3,98.5,90.5,93.5,99.8,98.8,100.3,98.4,101.3,103.2,135.7,104,115.7
平成19年度平均,2007,,104.9,2.3,　　　-,104.7,101.9,105.8,110.3,105.1,108,106.2,133.4,102.6,111.9,151.8,104.9,100.4,97.8,83,89.5,100,98.5,102.1,97.3,106.2,105,177.4,103.8,124.9
平成20年度平均,2008,,108.2,3.1,　　　-,107.8,107.5,107.7,107.6,112.9,109.4,109.9,140.4,107.6,136.4,130.4,109.9,101.5,96.9,77.8,86.5,102.7,99,104.6,98.2,111.5,115.4,168.4,96.1,125.4
