 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,131 ","16,321,942 ","22,273 ","167,480,182 ",473 ,"12,113,355 ","5,013 ","124,651,917 ","1,658 ","4,208,587 ","17,260 ","42,828,265 "
公共計,"1,028 ","5,868,356 ","10,939 ","60,898,919 ",192 ,"2,746,973 ","2,008 ","28,264,918 ",836 ,"3,121,383 ","8,931 ","32,634,001 "
ドルフィン,5 ,"3,232 ",43 ,"28,891 ",-,-,-,-,5 ,"3,232 ",43 ,"28,891 "
芝浦ふ頭,34 ,"89,948 ",370 ,"887,620 ",-,-,-,-,34 ,"89,948 ",370 ,"887,620 "
芝浦物揚場,31 ,"13,910 ",264 ,"116,519 ",-,-,-,-,31 ,"13,910 ",264 ,"116,519 "
日の出ふ頭,8 ,"5,496 ",83 ,"60,173 ",-,-,-,-,8 ,"5,496 ",83 ,"60,173 "
竹芝ふ頭,138 ,"351,668 ","1,749 ","3,899,612 ",-,-,-,-,138 ,"351,668 ","1,749 ","3,899,612 "
品川岸壁,159 ,"1,633,595 ","1,627 ","17,469,111 ",82 ,"810,921 ",859 ,"8,532,316 ",77 ,"822,674 ",768 ,"8,936,795 "
 品川コンテナ,89 ,"804,208 ",861 ,"7,900,019 ",81 ,"797,240 ",809 ,"7,848,237 ",8 ,"6,968 ",52 ,"51,782 "
 品川外貿,1 ,"13,681 ",50 ,"684,079 ",1 ,"13,681 ",50 ,"684,079 ",-,-,-,-
 品川内貿,69 ,"815,706 ",716 ,"8,885,013 ",-,-,-,-,69 ,"815,706 ",716 ,"8,885,013 "
晴海ふ頭,7 ,"254,249 ",87 ,"1,882,095 ",1 ,"22,472 ",12 ,"558,665 ",6 ,"231,777 ",75 ,"1,323,430 "
月島ふ頭,5 ,"1,592 ",42 ,"13,633 ",-,-,-,-,5 ,"1,592 ",42 ,"13,633 "
漁業基地,1 ,"1,886 ",22 ,"31,764 ",-,-,-,-,1 ,"1,886 ",22 ,"31,764 "
10号西岸壁,67 ,"685,831 ",689 ,"7,065,921 ",-,-,-,-,67 ,"685,831 ",689 ,"7,065,921 "
10号東岸壁,38 ,"16,933 ",369 ,"160,560 ",-,-,-,-,38 ,"16,933 ",369 ,"160,560 "
東京港フェリーふ頭,26 ,"328,536 ",318 ,"4,018,248 ",-,-,-,-,26 ,"328,536 ",318 ,"4,018,248 "
多目的ふ頭,2 ,"1,972 ",26 ,"60,835 ",-,-,-,-,2 ,"1,972 ",26 ,"60,835 "
辰巳ふ頭,83 ,"28,040 ",861 ,"302,401 ",-,-,-,-,83 ,"28,040 ",861 ,"302,401 "
青海コンテナふ頭（公共）,144 ,"1,756,394 ","1,454 ","17,147,654 ",94 ,"1,715,294 ",965 ,"16,743,427 ",50 ,"41,100 ",489 ,"404,227 "
有明ふ頭,5 ,"5,299 ",60 ,"51,242 ",-,-,-,-,5 ,"5,299 ",60 ,"51,242 "
大井水産物ふ頭,-,-,14 ,"143,679 ",-,-,6 ,"70,818 ",-,-,8 ,"72,861 "
大井食品ふ頭（OL）,13 ,"88,809 ",164 ,"843,688 ",4 ,"87,569 ",35 ,"819,156 ",9 ,"1,240 ",129 ,"24,532 "
大井食品ふ頭（OM）,9 ,"80,794 ",94 ,"844,335 ",9 ,"80,794 ",94 ,"844,335 ",-,-,-,-
大井食品ふ頭（ON）,1 ,"2,731 ",7 ,"71,992 ",1 ,"2,731 ",6 ,"61,473 ",-,-,1 ,"10,519 "
若洲内貿ふ頭,13 ,"130,442 ",128 ,"1,284,352 ",-,-,-,-,13 ,"130,442 ",128 ,"1,284,352 "
15号地木材ふ頭,1 ,"27,192 ",31 ,"374,109 ",1 ,"27,192 ",12 ,"370,344 ",-,-,19 ,"3,765 "
若洲建材ふ頭,49 ,"28,288 ",351 ,"206,395 ",-,-,-,-,49 ,"28,288 ",351 ,"206,395 "
大井建材ふ頭,101 ,"57,307 ",986 ,"565,520 ",-,-,-,-,101 ,"57,307 ",986 ,"565,520 "
城南島建設発生土ふ頭,38 ,"23,799 ",637 ,"427,598 ",-,-,-,-,38 ,"23,799 ",637 ,"427,598 "
中央防波堤内側ばら物ふ頭,3 ,"1,496 ",49 ,"279,556 ",-,-,19 ,"264,384 ",3 ,"1,496 ",30 ,"15,172 "
中央防波堤内側建設発生土ふ頭,17 ,"19,079 ",93 ,"111,861 ",-,-,-,-,17 ,"19,079 ",93 ,"111,861 "
中央防波堤内側内貿ふ頭,21 ,"222,372 ",232 ,"2,445,945 ",-,-,-,-,21 ,"222,372 ",232 ,"2,445,945 "
官公庁（晴海）,2 ,"3,781 ",21 ,"62,562 ",-,-,-,-,2 ,"3,781 ",21 ,"62,562 "
官公庁（月島）,6 ,"1,188 ",55 ,"10,885 ",-,-,-,-,6 ,"1,188 ",55 ,"10,885 "
官公庁（有明）,1 ,"2,497 ",12 ,"29,964 ",-,-,-,-,1 ,"2,497 ",12 ,"29,964 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,376 ,"9,291,355 ","4,065 ","95,827,937 ",252 ,"9,051,632 ","2,740 ","93,543,065 ",124 ,"239,723 ","1,325 ","2,284,872 "
青海コンテナふ頭(埠頭㈱),72 ,"1,911,949 ",836 ,"21,860,520 ",64 ,"1,904,112 ",724 ,"21,716,392 ",8 ,"7,837 ",112 ,"144,128 "
お台場ライナーふ頭,31 ,"332,581 ",390 ,"3,531,529 ",14 ,"257,002 ",152 ,"2,702,128 ",17 ,"75,579 ",238 ,"829,401 "
大井コンテナふ頭,273 ,"7,046,825 ","2,839 ","70,435,888 ",174 ,"6,890,518 ","1,864 ","69,124,545 ",99 ,"156,307 ",975 ,"1,311,343 "
民間計,727 ,"1,162,231 ","7,269 ","10,753,326 ",29 ,"314,750 ",265 ,"2,843,934 ",698 ,"847,481 ","7,004 ","7,909,392 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
