"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","区役所に行く","165","25.1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","総合支所に行く","247","37.5"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","区の公式ホームページ（日本語・英語・中国語・ハングル）を見る","384","58.4"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","スマートフォンや携帯電話で区公式ホームページ（日本語・英語・中国語・ハングル）を見る","303","46.0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","区役所・総合支所に電話をかける","183","27.8"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","みなとコール（コールセンター）に電話をかける","16","2.4"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","広報紙｢広報みなと｣・｢ミナトマンスリー（英字広報紙）｣を見る","165","25.1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","総合支所の地域情報誌を見る","29","4.4"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","「暮らしのガイド（日本語版・英語版・中国語版・ハングル版）」を見る","63","9.6"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","家族・知人・町会・自治会等に聞く","74","11.2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","広報番組（｢ケーブルテレビ｣又は｢区公式ホームページから視聴｣）を見る","13","2.0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","ＦＭ広報番組｢MINATO VOICE（インターＦＭで日本語・英語・中国語・ハングルにより放送）を聞く","1","0.2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","その他","9","1.4"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","わからない","3","0.5"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。","特にない","5","0.8"

"第32回港区民世論調査単純集計表・区政全般Q5","Ver202003",,,,
