行,EPSGコード,経度,緯度,動物病院名,郵便番号,所在地,電話番号
1,EPSG:6668,139.3340869,35.60503008,はないずみ動物病院,194-0211,町田市相原町７８７－２－1Ｆ,042-770-6588
2,EPSG:6668,139.3159365,35.60583192,あいはら犬猫病院,194-0211,町田市相原町２１８７－１３,042-700-1020
3,EPSG:6668,139.3871335,35.58925883,ばんば動物病院,194-0212,町田市小山町１９４－２,042-794-6087
4,EPSG:6668,139.3625885,35.59937022,大室獣医科クリニック,194-0212,町田市小山町４２６２－２,042-771-7581
5,EPSG:6668,139.3576654,35.60473464,多摩境もみじペットクリニック,194-0215,町田市小山ヶ丘５－１８－８,042-703-5839
6,EPSG:6668,139.4243493,35.58266467,木もれ陽動物病院,194-0203,町田市図師町１４５９－１　コージーハウスＡ,042-789-0567
7,EPSG:6668,139.4144756,35.57812733,セラピスト動物病院,194-0035,町田市忠生３－１８－１,042-792-1180
8,EPSG:6668,139.4072213,35.57879331,みやの森どうぶつ病院,194-0034,町田市根岸町１００８－３２,042-789-5611
9,EPSG:6668,139.4106731,35.57633619,ALLONE動物病院根岸病院,194-0034,町田市根岸２－１８－１　ペットフォレストアメリア町田根岸店内,042-794-4633
10,EPSG:6668,139.4204821,35.56370531,ジョン動物病院,194-0037,町田市木曽西１－３－３２ オオノビル１Ｆ,042-794-9018
11,EPSG:6668,139.4221921,35.56964436,谷口動物病院,194-0037,町田市木曽西５－２８－３１,042-711-7612
12,EPSG:6668,139.4336331,35.55727067,角井ペットクリニック,194-0036,町田市木曽東１－１２－４３,042-722-3755
13,EPSG:6668,139.4268422,35.56006492,アルバーロ動物病院,194-0022,町田市木曽東１－４５－３３,042-722-1313
14,EPSG:6668,139.4579396,35.58858553,のづた動物病院,195-0063,町田市野津田町１０８６,042-736-2739
15,EPSG:6668,139.4696603,35.59796183,ベルどうぶつクリニック,195-0056,町田市広袴２－１１－１１,042-734-9404
16,EPSG:6668,139.4742899,35.59544228,吉川動物病院,195-0056,町田市広袴３－３－１１,042-735-3487
17,EPSG:6668,139.4808792,35.58743503,鶴川ペットクリニック,195-0053,町田市能ヶ谷４－５－１　ベルメゾン１-Ａ,042-708-8961
18,EPSG:6668,139.48764,35.58737931,PePeどうぶつ病院,195-0053,町田市能ヶ谷４－４０－２０,042-708-9155
19,EPSG:6668,139.4752088,35.58357422,ダクタリ動物病院まちだドギーリーグ,195-0062,町田市大蔵町１５８－４－１F,042-860-3287
20,EPSG:6668,139.4545507,35.57379842,西田動物病院,195-0072,町田市金井１－１０－５,042-736-2611
21,EPSG:6668,139.4613171,35.5799685,飯塚動物病院,195-0072,町田市金井５－１８－７,042-736-6066
22,EPSG:6668,139.4663602,35.57290425,小森どうぶつ病院,195-0076,町田市金井ヶ丘２－４３－１,042-736-0170
23,EPSG:6668,139.4891149,35.57374469,聖マリアンヌ緑山動物病院,195-0055,町田市三輪緑山１－５－２－３Ｆ,044-987-0001
24,EPSG:6668,139.4621068,35.56523897,くれよん動物病院,194-0041,町田市玉川学園２－１７－２２　１F,042-860-6249
25,EPSG:6668,139.4630885,35.56494086111111,玉川学園犬猫病院,194-0041,町田市玉川学園２ー１８ー２２,042-785-5818
26,EPSG:6668,139.4632531,35.56228619,動物病院町田,194-0041,町田市玉川学園７－４－３,042-851-7912
27,EPSG:6668,139.4647919,35.56420364,青木犬猫病院,194-0041,町田市玉川学園７－８－１１,042-725-7366
28,EPSG:6668,139.4452148,35.56301586,カノン動物病院,194-0032,町田市本町田１１９８－８,042-722-3301
29,EPSG:6668,139.4396718,35.57156506,モアフル動物病院,194-0032,町田市本町田２９４６－１０　Tees本町田１階,042-860-6112
30,EPSG:6668,139.4526723,35.56496842,うぇる動物病院,194-0032,町田市本町田３５９９－１５－１Ｆ,042-732-3712
31,EPSG:6668,139.4429279,35.54932414,明和動物愛護病院,194-0021,町田市中町１－８－７,042-707-6121
32,EPSG:6668,139.443586,35.55260214,モリヤ動物病院　中町センター病院,194-0021,町田市中町２－１５－１８,042-726-1500
33,EPSG:6668,139.4484284,35.55255289,りゅう動物病院,194-0021,町田市中町３－８－７,042-851-8581
34,EPSG:6668,139.4505363,35.54975161,はが動物病院,194-0021,町田市中町３－１３－１１　コスモスビル１０１,042-720-2370
35,EPSG:6668,139.4506909,35.54525417,メイ動物病院,194-0013,町田市原町田５－７－１６,042-739-6955
36,EPSG:6668,139.4602776,35.54205986,高ヶ坂動物病院,194-0014,町田市高ヶ坂６－１－１７,042-727-1414
37,EPSG:6668,139.4779409,35.5541375,成瀬台動物病院,194-0043,町田市成瀬台２－１６－５,042-722-8726
38,EPSG:6668,139.478286,35.55528156,スミレペットクリニック,194-0043,町田市成瀬台３－８－１４　ヒルズガーデン１F,042-851-7484
39,EPSG:6668,139.4807208,35.5382905,ながさわ動物病院,194-0044,町田市成瀬５－１２－２１,042-850-8544
40,EPSG:6668,139.48077,35.53650367,たかなし動物病院,194-0044,町田市成瀬６－１０－２８,042-726-0817
41,EPSG:6668,139.4737356,35.54057169,さとう動物病院,194-0045,町田市南成瀬３－１－７,042-727-6660
42,EPSG:6668,139.4531789,35.53769042,田所犬猫病院,194-0012,町田市金森１－６－１１,042-722-4563
43,EPSG:6668,139.458125,35.53338789,ももの木ペットクリニック,194-0012,町田市金森２－１９－２４,042-732-1862
44,EPSG:6668,139.476259,35.52559781,アミカル動物病院,194-0003,町田市小川１－４－１９　トリイビル１Ｆ,042-799-5122
45,EPSG:6668,139.4711589,35.52979083,山口動物病院,194-0003,町田市小川２－２６－９,042-799-0019
46,EPSG:6668,139.4675527,35.52481964,みなみ町田どうぶつ病院,194-0003,町田市小川３－２－８４,042-788-2211
47,EPSG:6668,139.4795619,35.52417933,香西獣医科病院,194-0001,町田市つくし野３－３－５９,042-795-5935
48,EPSG:6668,139.4712579,35.52052492,武相動物病院,194-0005,町田市南町田２－２－３,042-788-1350
49,EPSG:6668,139.4650161,35.51884261,まちやはら犬猫病院,194-0004,町田市南町田４－１－２８,042-706-1367
50,EPSG:6668,139.4744326,35.51307733,南町田ペットクリニック,194-0005,町田市南町田５－４－７－１０１,042-706-9307
51,EPSG:6668,139.4698348,35.50889933,アイリス動物病院南町田医院,194-8589,町田市鶴間３－４－１　グランベリーパーク内,042-850-6620
